;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N328MX ;Dornier 328-120;; 4 Sep 1996 ; 22 Apr 1998 ;N328MX Air Wisconsin ;;;
; N328PH ;Dornier 328-120; Y31 ; 21 Apr 1998 ; 30 Jun 1998 ;N328PH Air Wisconsin ;lsd ;;
; N329MX ;Dornier 328-110;; 4 Sep 1996 ; 22 Apr 1998 ;N329MX Air Wisconsin ;;;
; N329PH ;Dornier 328-120; Y31 ; 27 May 1998 ; 30 Jun 1998 ;N329PH Air Wisconsin ;lsd ;;
; N330MX ;Dornier 328-120;; 15 Oct 1996 ; 22 Apr 1998 ;N330MX Air Wisconsin ;;;
; N330PH ;Dornier 328-120; Y31 ; 30 Apr 1998 ; 30 Jun 1998 ;N330PH Air Wisconsin ;lsd ;;
; N331MX ;Dornier 328-120;; 15 Nov 1996 ; 22 Apr 1998 ;N331MX Air Wisconsin ;;;
; N332PH ;Dornier 328-120; Y31 ; 27 Jun 1997 ; 30 Jun 1998 ;N332PH Air Wisconsin ;lsd ;;
; N334PH ;Dornier 328-120; Y31 ; 20 May 1998 ; 30 Jun 1998 ;N334PH Air Wisconsin ;lsd ;;
; N336PH ;Dornier 328-120; Y31 ; 7 May 1998 ; 30 Jun 1998 ;N336PH Air Wisconsin ;lsd ;;
; N339PH ;Dornier 328-110; Y31 ; 27 Jun 1997 ; 30 Jun 1998 ;N339PH Air Wisconsin ;lsd ;;
