;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; ZS-NNM ;BAC 1-11-409AY(F) One-Eleven; Cargo ; 3 May 1994 ; Jun 2000 ; Scrapped ;;;
; ZS-NYZ ;BAC 1-11-416EK One-Eleven;; 23 Jul 1996 ;; Scrapped ;;;
; ZS-OAF ;BAC 1-11-408EF One-Eleven;; 4 Dec 1996 ; 18 Dec 2001 ; Scrapped ;;;
; ZS-OAG ;BAC 1-11-401AK One-Eleven;; 31 Jan 1997 ; 11 Mar 1998 ; Scrapped ;;;
; ZS-OAH ;BAC 1-11-408EF One-Eleven;; 7 Apr 1997 ; 18 Mar 2003 ; Scrapped ;;;
; ZS-NMS ;BAC 1-11-509EW One-Eleven;; 28 Nov 1994 ; 24 Apr 2000 ; Scrapped ;;;
; ZS-NMT ;BAC 1-11-518FG One-Eleven;; 20 Jan 1995 ; 2 Apr 1998 ; Scrapped ;;;
; ZS-NUG ;BAC 1-11-531FS One-Eleven;; 25 May 1995 ; 11 May 2000 ; Preserved ;;;
; ZS-NUH ;BAC 1-11-537GF One-Eleven;; 27 Jul 1995 ; 24 Jan 2001 ; Scrapped ;;;
; ZS-NUI ;BAC 1-11-537GF One-Eleven;; Jul 1995 ; 28 May 2001 ; Scrapped ;;;
; ZS-NUJ ;BAC 1-11-537GF One-Eleven;; Jul 1995 ; 27 Feb 2004 ;9Q-CDY International Trans Air Business (ITAB) ;;;
; ZS-OEZ ;Boeing 737-230(A); C8Y102 ; 1 Aug 1999 ; 7 Nov 2007 ; Written Off ;;;
; ZS-OIV ;Boeing 737-230(A); C8Y102 ; 26 Dec 1998 ; 27 Apr 2009 ;AP-BIP Shaheen Air ;lsf Aerotrans ;;
; ZS-OMG ;Boeing 737-230(A); C8Y102 ; 18 Oct 1999 ; 30 Nov 2007 ; Scrapped ;lsd ;;
; ZS-OOC ;Boeing 737-258(A); C8Y102 ; 3 May 2000 ;; Scrapped ;;;
; ZS-OOD ;Boeing 737-258(A); C8Y102 ; 13 Apr 2000 ; 19 May 2009 ;AP-BIQ Shaheen Air ;;;
; ZS-OVE ;Boeing 737-228(A); C8Y102 ; 12 Dec 2001 ; 9 Jul 2009 ;AP-BIR Shaheen Air ;;;
; ZS-OVF ;Boeing 737-228(A); C8Y102 ; 12 Dec 2001 ; 9 Feb 2010 ;AP-BIS Shaheen Air ;;;
; ZS-OVG ;Boeing 737-236(A); C12Y92 ; 6 Sep 2002 ; 1 May 2008 ; Scrapped ;;;
; ZS-PIU ;Boeing 737-205(A); C8Y102 ; 30 Aug 2004 ;; Scrapped ;;;
; ZS-PIV ;Boeing 737-2L9(A); C8Y102 ; 30 Aug 2004 ; 15 Apr 2009 ;9Q-CLG Lignes Aériennes Congolaises (LAC) ;lsd ;;
; ZS-PIW ;Boeing 737-2L9(A); C8Y102 ; 11 Nov 2004 ;; Scrapped ;;;
; ZS-PNU ;Boeing 737-205(A); C8Y102 ; 25 Mar 2005 ;; Stored ;;;
; ZS-PKU ;Boeing 737-529; C8Y102 ; 20 Jun 2005 ; 30 Nov 2007 ;Z3-AAH MAT Macedonian Airlines ;lsd ;;
; ZS-PKV ;Boeing 737-529; C8Y102 ; 19 Jan 2005 ; 30 Nov 2007 ;ZS-PKV LAM - Linhas Aéreas de Moçambique ;lsd ;;
; ZS-PBI ;Boeing 767-3Y0ER; C32Y182 ; 17 Nov 2003 ; 30 Apr 2008 ;N330DF GECAS ;lsd ;;
