;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; 5N-AUE ;Airbus A310-221; F24Y195 ; 14 Dec 1984 ; Dec 1988 ; Scrapped ;River Yobe ;;
; 5N-AUF ;Airbus A310-221; F24Y195 ; 14 Dec 1984 ; Jun 2000 ; Scrapped ;River Ethiope ;;
; 5N-AUG ;Airbus A310-221; F24Y195 ; 14 Dec 1984 ; 17 Nov 2020 ; Destroyed ;Lekki Peninsula ;;
; 5N-AUH ;Airbus A310-221; F24Y195 ; 14 Dec 1984 ; 1996 ; Scrapped ;Rima River ;;
; G-AWXJ ;BAC 1-11-416EK One-Eleven;; 19 Aug 1970 ; 10 Sep 1970 ;9V-BEF Private ;lsf British Aircraft Corporation (BAC) ;;
; 5N-ABD ;BAC Vickers VC-10 (1101); F16Y93 ; 29 Sep 1969 ; 20 Nov 1969 ; Written Off ;;;
; G-ARVC ;BAC Vickers VC-10 (1101); F16Y93 ; Jan 1966 ; Jul 1967 ;G-ARVC BOAC ;lsf BOAC ;;
; 4W-ABZ ;Boeing 737-2N8(A);; 10 Jun 1981 ; 30 Jun 1982 ;4W-ABZ Yemenia - Yemen Airways ;lsd ;;
; 5N-ANC ;Boeing 737-2F9(A);; 16 Jan 1973 ;; Scrapped ;;;
; 5N-AND ;Boeing 737-2F9(A);; 16 Jan 1973 ;; Scrapped ;;;
; 5N-ANW ;Boeing 737-2F9(A);; 11 Oct 1982 ; 15 Oct 1988 ; Written Off ;;;
; 5N-ANX ;Boeing 737-2F9(A);; 11 Oct 1982 ; 2 Oct 1989 ; Written Off ;;;
; 5N-ANY ;Boeing 737-2F9(A);; 8 Feb 1983 ; 1999 ; Stored ;;;
; 5N-ANZ ;Boeing 737-2F9(A);; 8 Feb 1983 ; 1998 ; Scrapped ;;;
; 5N-AUA ;Boeing 737-2F9(A);; 8 Feb 1983 ; 13 Nov 1995 ; Written Off ;;;
; 5N-AUB ;Boeing 737-2F9(A);; 8 Feb 1983 ;; Stored ;;;
; EI-ASA ;Boeing 737-248;; 30 Sep 1983 ; Nov 1983 ;EI-ASA Aer Lingus ;lsf Aer Lingus ;;
; EI-ASB ;Boeing 737-248;; 20 Oct 1971 ; 2 Apr 1973 ;EI-ASB Aer Lingus ;lsf Aer Lingus ;;
; EI-ASC ;Boeing 737-248C;; 15 Aug 1985 ; 18 Dec 1985 ;PP-SNY VASP ;lsd ;;
; EI-ASE ;Boeing 737-248C;; 1 Jun 1985 ; 15 Aug 1985 ;EI-ASE Aer Lingus ;lsf Aer Lingus ;;
; EI-ASH ;Boeing 737-248;; 1 Nov 1984 ; 7 Dec 1984 ;EI-ASH Aer Lingus ;lsf Aer Lingus ;;
; EI-BCC ;Boeing 737-219(A);; 20 Jun 1976 ; 1 Nov 1977 ;N7362F Frontier Airlines ;lsd ;;
; EI-BCR ;Boeing 737-281;; 18 Oct 1980 ; 1 Nov 1980 ;EI-BCR Aer Lingus ;lsd ;;
; EI-BEF ;Boeing 737-281;; 11 Aug 1979 ; 20 Dec 1982 ;OB-R-1263 Faucett Peru ;lsd ;;
; EI-BFC ;Boeing 737-2H4;; 21 Jul 1978 ; May 1986 ;EC-DZH Spantax ;lsd ;;
; EI-BJE ;Boeing 737-275;; 16 May 1980 ; 15 Jun 1985 ;4R-ULH Air Lanka ;lsd ;;
; EI-BJP ;Boeing 737-275C;; 8 Sep 1980 ; 1 Dec 1985 ;N331XV Presidential Airways ;lsd ;;
; EI-BNS ;Boeing 737-212(A);; 5 Apr 1983 ; 13 Oct 1983 ;N130AW America West Airlines ;lsd ;;
; N70721 ;Boeing 737-284(A);; 3 Apr 1982 ; 13 May 1983 ;N70721 Western Airlines ;lsf Shire Aviation ;;
; N70722 ;Boeing 737-284(A);; 31 Mar 1982 ; May 1983 ;N70722 Western Airlines ;;;
; OO-TEH ;Boeing 737-2M8(A);; 15 Nov 1981 ; 31 Mar 1982 ;OO-TEH TEA - Trans European Airlines ;lsf TEA - Trans European Airlines ;;
; OO-TEN ;Boeing 737-2M8(A);; 6 Nov 1981 ; 1 Apr 1982 ;OO-TEN TEA - Trans European Airlines ;lsf TEA - Trans European Airlines ;;
; G-BUHJ ;Boeing 737-4Q8;; 27 Mar 1999 ; 23 Apr 1999 ;G-BUHJ British Airways ;lsf British Airways ;;
; EI-BRR ;Boeing 747-133;; Jul 1986 ; 28 Oct 1986 ;C-FTOB Wardair Canada ;lsd ;;
; F-BPVA ;Boeing 747-128; CY477 ; Sep 1981 ; 1 Nov 1981 ;F-BPVA Air France ;lsf Air France ;;
; G-BDXB ;Boeing 747-236B;; 2 Nov 1999 ; 3 Aug 2000 ;G-BDXB British Airways ;lsf British Airways ;;
; HL7447 ;Boeing 747-230B;; Oct 1980 ; 1 Dec 1980 ;HL7447 Korean Air Lines ;lsf Korean Air Lines ;;
; LN-AEO ;Boeing 747-283B;; 1 Apr 1982 ; 3 Jun 1983 ;LN-AEO SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; N204AE ;Boeing 747-2B4B(M);; Jul 1987 ; 2 Oct 1987 ;N204AE Air India ;lsf Carter Leasing Inc ;;
; N4502R ;Boeing 747-283B;; 21 Jun 1983 ; 5 Mar 1984 ;N4502R SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; N741TV ;Boeing 747-271C;; Sep 1981 ; Oct 1981 ;N741TV Transamerica Airlines ;lsf Transamerica Airlines ;;
; N742TV ;Boeing 747-271C;; Sep 1981 ; Nov 1981 ;N742TV Transamerica Airlines ;lsf Transamerica Airlines ;;
; N749TA ;Boeing 747-212B;; Sep 1981 ; Oct 1981 ;N749TA Metro International ;lsf Metro International ;;
; OD-AGH ;Boeing 747-2B4B(M);; Sep 1981 ; Oct 1981 ;OD-AGH MEA - Middle East Airlines ;lsf MEA - Middle East Airlines ;;
; SE-DFZ ;Boeing 747-283B(M);; 28 Mar 1987 ; 1 Apr 1988 ;SE-DFZ SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; TF-ABA ;Boeing 747-267B;; 19 Apr 2002 ; 15 Aug 2002 ;TF-ABA Air Atlanta Icelandic ;lsf Air Atlanta Icelandic ;;
; TF-ABP ;Boeing 747-267B;; 19 Dec 2002 ; 4 Feb 2003 ;TF-ABP Air Atlanta Icelandic ;lsf Air Atlanta Icelandic ;;
; TF-ATN ;Boeing 747-219B;; 8 Jan 2002 ; May 2002 ;TF-ATN Air Atlanta Icelandic ;lsf Air Atlanta Icelandic ;;
; TF-ATR ;Boeing 767-204;; Mar 2002 ; May 2002 ;TF-ATR Excel Airways ;lsf Air Atlanta Icelandic ;;
; TF-ATY ;Boeing 767-204;; 2 May 2002 ; 5 Feb 2003 ;TF-ATY Air Atlanta Icelandic ;lsf Air Atlanta Icelandic ;;
