;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; HS-DBG ;Boeing 737-8FH(WL); Y189 ; 16 Nov 2012 ;lsd ; Nok Baitoey / นกใบเตย ; 15 Years ;;
; HS-DBK ;Boeing 737-86J(WL); Y189 ; 31 Jan 2013 ;lsd ; Nok Sabai / นกสบาย ; 9.1 Years ;;
; HS-DBO ;Boeing 737-8AS(WL); Y189 ; 16 Oct 2013 ; Parked, lsd ; Nok Dee Dee / นกดีดี ; 15.5 Years ;;
; HS-DBP ;Boeing 737-8FZ(WL); Y189 ; 14 Mar 2014 ;lsd ; Nok Petchnaamngern / นกเพชรน้ำเงิน ; 8 Years ;;
; HS-DBQ ;Boeing 737-86J(WL); Y189 ; 11 Jul 2014 ;lsd, 10th Anniversary cs ; Nok Bussarakam / นกบุษราคัม ; 7.7 Years ;;
; HS-DBR ;Boeing 737-86N(WL); Y189 ; 11 Dec 2014 ;lsd ; Nok Yoknapha / นกหยกนภา ; 7.3 Years ;;
; HS-DBS ;Boeing 737-86N(WL); Y189 ; 23 Oct 2014 ;lsd ; Nok Tongchomphoo / นกทองชมพู ; 7.4 Years ;;
; HS-DBT ;Boeing 737-88L(WL); Y189 ; 20 Aug 2015 ;lsd ; Nok Budhnampetch / นกบุษน้ำเพชร ; 6.6 Years ;;
; HS-DBU ;Boeing 737-88L(WL); Y189 ; 20 Nov 2015 ;lsd ; Nok Tubtim Siam / นกทับทิมสยาม ; 6.3 Years ;;
; HS-DBV ;Boeing 737-88L(WL); Y189 ; 10 Mar 2016 ;; Nok Phu Pha / นกภูผา ; 6 Years ;;
; HS-DBW ;Boeing 737-88L(WL); Y189 ; 17 Aug 2016 ;lsd ; Nok Fah Kram / นกฟ้าคราม ; 5.6 Years ;;
; HS-DBX ;Boeing 737-88L(WL); Y189 ; 16 Nov 2016 ;lsd ; Nok Tawan / นกตะวัน ; 5.3 Years ;;
; HS-DBY ;Boeing 737-88L(WL); Y189 ; 5 Jun 2017 ;; Nok Veha / นกเวหา ; 4.8 Years ;;
; HS-DBZ ;Boeing 737-88L(WL); Y189 ; 18 Sep 2017 ; Parked, lsd ; Nok Napa Proud / นกนภาพราว ; 4.5 Years ;;
; HS-DQA ;Bombardier DHC-8-402Q Dash 8; Y86 ; 26 Aug 2014 ;lsd ; Nok Anna / นกอันนา ; 7.6 Years ;;
; HS-DQB ;Bombardier DHC-8-402Q Dash 8; Y86 ; 30 Sep 2014 ;lsd ; Nok Kao Neaw / นกข้าวเหนียว ; 7.5 Years ;;
; HS-DQC ;Bombardier DHC-8-402Q Dash 8; Y86 ; 6 Nov 2014 ; Parked, lsd ; Nok Kao Pun / นกข้าวปั้น ; 7.4 Years ;;
; HS-DQD ;Bombardier DHC-8-402Q Dash 8; Y86 ; 12 Nov 2014 ; Parked, lsd ; Nok Kao Poon / นกข้าวปุ้น ; 7.4 Years ;;
; HS-DQE ;Bombardier DHC-8-402Q Dash 8; Y86 ; 28 Sep 2015 ; Parked, lsd ; Nok Latte / นกลาเต้ ; 6.6 Years ;;
; HS-DQF ;Bombardier DHC-8-402Q Dash 8; Y86 ; 29 Sep 2015 ; Parked, lsd ; Nok Cappu / นกคาปู ; 6.5 Years ;;
; HS-DQG ;Bombardier DHC-8-402Q Dash 8; Y86 ; 8 Jul 2016 ; Parked, lsd ; Nok Suk San / นกสุขสันต์ ; 5.7 Years ;;
