;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FCJV ;Boeing 737-2M2(A);; 15 Jul 2019 ; Parked ;; 39.7 Years ;;
; C-GFCN ;Boeing 737-2M2C(A);; 8 Jul 2019 ; Parked ;; 46.1 Years ;;
; C-GNLA ;Boeing 737-2L9(A);; 16 Sep 2016 ;;; 42.2 Years ;;
; C-GNLE ;Boeing 737-248C(A);; 28 Feb 2017 ;; 106 ; 46.9 Years ;;
; C-GNLK ;Boeing 737-2K2C(A); Y119/Cargo ; 29 Apr 2014 ;; 101 ; 47.8 Years ;;
; C-GNLN ;Boeing 737-2B6C(A); Y119/Cargo ; 29 Oct 2007 ;; 104 ; 38.7 Years ;;
; C-GNLW ;Boeing 737-2R4C(A);; 18 Mar 2016 ;Montreal Alouettes - Toujours Game cs ; 105 ; 37.6 Years ;;
; C-GNRD ;Boeing 737-229C(A); Cargo ; 16 Sep 2011 ;;; 42.8 Years ;;
; C-GTUK ;Boeing 737-2B6C(A); Y119/Cargo ; 11 Oct 2007 ;; 103 ; 39 Years ;;
; C-GNLQ ;Boeing 737-33A(QC); Y130/Cargo ; 27 May 2016 ;;; 30.7 Years ;;
; C-GGWF ;Boeing 737-4K5; Y158 ; 10 Nov 2020 ;;; 32.4 Years ;;
; C-GGWV ;Boeing 737-4Y0; Y158 ; 1 Sep 2020 ;opf OWG ; 688 ; 31.7 Years ;;
; C-GGWX ;Boeing 737-408; Y158 ; 25 Jun 2020 ;opf OWG ; 804 ; 31.9 Years ;;
; C-FHNM ;Boeing 737-8Q8(WL); Y189 ; 8 Oct 2021 ;opf OWG ;; 20.2 Years ;;
