;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-FNAB ;Boeing 737-242C;; 1972 ; 2 Jan 1987 ;C-FNAB Canadian Pacific Air Lines ;701 ;;
; C-FNAH ;Boeing 737-242C;; 1980 ; Oct 1986 ;C-FNAH Canadian Pacific Air Lines ;702 ;;
; C-FNAQ ;Boeing 737-242C;; Nov 1983 ; 2 Jan 1987 ;C-FNAQ Canadian Pacific Air Lines ;703, lsd ;;
; C-GNDC ;Boeing 737-242C(A);; 15 Jun 1979 ; 2 Jan 1987 ;C-GNDC Canadian Pacific Air Lines ;761 ;;
; C-GNDD ;Boeing 737-2E1(A);; 18 Oct 1978 ; 4 Apr 1982 ;EI-BDY Aer Lingus ;lsd ;;
; C-GNDG ;Boeing 737-2T4(A);; 1 Nov 1985 ; 29 Apr 1986 ;G-BJXL Dan-Air London ;798, lsf Dan-Air London ;;
; C-GNDG ;Boeing 737-2Q9(A);; 26 Jan 1979 ; 21 Jun 1979 ;OO-TEK TEA - Trans European Airlines ;lsd ;;
; C-GNDL ;Boeing 737-242(A);; Nov 1985 ; 2 Jan 1987 ;C-GNDL Canadian Pacific Air Lines ;;;
; C-GNDM ;Boeing 737-242(A);; 30 Nov 1979 ; 2 Jan 1987 ;C-GNDM Canadian Pacific Air Lines ;706 ;;
; C-GNDR ;Boeing 737-242(A);; 25 Apr 1981 ; 2 Jan 1987 ;C-GNDR Canadian Pacific Air Lines ;Terry Fox, 707 ;;
; C-GNDS ;Boeing 737-2Q8(A);; 31 Dec 1980 ; 2 Jan 1987 ;C-GNDS Canadian Pacific Air Lines ;771 ;;
; C-GNDU ;Boeing 737-242C(A);; 8 Jun 1982 ; 2 Jan 1987 ;C-GNDU Canadian Pacific Air Lines ;762 ;;
; C-GNDW ;Boeing 737-204(A); Y120 ; 1 May 1985 ; 1 May 1986 ;G-BFVB Britannia Airways ;lsf Britannia Airways ;;
; C-GNDX ;Boeing 737-229(A);; 15 Oct 1986 ; 2 Jan 1987 ;C-GNDX Canadian Pacific Air Lines ;781, lsf Sabena ;;
; CF-NAI ;Boeing 737-222;; 10 Jul 1969 ; 9 Sep 1970 ;N9064U United Airlines ;lsf United Airlines ;;
; CF-NAP ;Boeing 737-222;; 13 Jul 1969 ; 23 Dec 1969 ;N9065U United Airlines ;lsf United Airlines ;;
; CF-NAP ;Boeing 737-242C;; 16 Jun 1971 ; 2 Jan 1987 ;CF-NAP Canadian Pacific Air Lines ;704 ;;
; CF-NAW ;Boeing 737-212(A);; 27 Oct 1976 ; 5 Apr 1983 ;EI-BNS Nigeria Airways ;lsd ;;
; N73717 ;Boeing 737-2H4;; Apr 1979 ; Jun 1979 ;N73717 Air California ;lsf Aloha Airlines ;;
; N9057U ;Boeing 737-222;; 31 May 1969 ; 14 Jul 1969 ;N9057U United Airlines ;lsf United Airlines ;;
; N5615 ;Convair CV-990-30A-5; Y139 ; Jun 1968 ; Sep 1968 ;N5615 Modern Air ;lsf Modern Air ;;
; C-GNDE ;Douglas DC-8-52;; 31 Jan 1981 ; 5 Oct 1983 ;N4489M Onyx Aviation ;;;
; C-GNDF ;Douglas DC-8-52;; 25 Nov 1979 ; 30 Mar 1980 ;N3751X Air Fleets International ;;;
; C-GNDA ;Douglas DC-8-61CF;; 21 Oct 1974 ; 6 Dec 1978 ;N810EV Evergreen International Airlines ;;;
; CF-NAC ;Handley Page HPR-7 Herald 202; Y41 ; 13 Feb 1962 ; Nov 1962 ;CF-NAC Eastern Provincial Airways ;lsf Maritime Central Airways ;;
; CF-NAF ;Handley Page HPR-7 Herald 202; Y41 ; 13 Mar 1962 ; 1 Oct 1962 ;CF-NAF Eastern Provincial Airways ;lsf Maritime Central Airways ;;
; C-FNAY ;Lockheed L-188C Electra; Ice Reconnaissance ; 1 Jan 1974 ; 2 Jan 1987 ;C-FNAY Environment Canada ;;;
; C-GNDZ ;Lockheed L-188C Electra; Ice Reconnaissance ; 8 Feb 1978 ; 2 Jan 1987 ;C-GNDZ Environment Canada ;;;
; CF-NAX ;Lockheed L-188C(PF) Electra; Passenger / Cargo ; 12 Sep 1972 ; May 1976 ;N63AJ American Jet Industries ;;;
; CF-NAZ ;Lockheed L-188C Electra; Ice Reconnaissance ; 4 Apr 1972 ; 31 Mar 1977 ;CF-NAZ Environment Canada ;;;
