;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; LN-FNH ;Boeing 787-8 Dreamliner;; Due ; Stored, lsd ;; 7.7 Years ;;
; LN-FNM ;Boeing 787-8 Dreamliner;; Due ; Stored, lsd ;; 8 Years ;;
; LN-LNF ;Boeing 787-8 Dreamliner;; Due ; Stored, lsd ;; 7.8 Years ;;
; LN-FNA ;Boeing 787-9 Dreamliner;; 27 Jan 2022 ; Parked, lsd ; Heart of the Valley ; 2.8 Years ;;
; LN-FNB ;Boeing 787-9 Dreamliner;; 20 Dec 2021 ; Parked, lsd ; Rondane ; 2.6 Years ;;
; LN-FNC ;Boeing 787-9 Dreamliner;; Due ; Stored, lsd ; Everglades ; 3.8 Years ;;
; LN-FND ;Boeing 787-9 Dreamliner;; Due ; Stored, lsd ; Dartmoor ; 4 Years ;;
; LN-FNE ;Boeing 787-9 Dreamliner;; 12 Jan 2022 ; Parked, lsd ; Rago ; 3.9 Years ;;
; LN-FNG ;Boeing 787-9 Dreamliner;; 15 Feb 2022 ; Parked, lsd ; Yellowstone ; 3 Years ;;
; LN-FNI ;Boeing 787-9 Dreamliner;; Due ; Stored, lsd ; Jotunheimen ; 3.4 Years ;;
; LN-FNJ ;Boeing 787-9 Dreamliner;; Due ; Stored, lsd ; Grand Canyon ; 3.3 Years ;;
; LN-FNK ;Boeing 787-9 Dreamliner;; Due ; Stored, lsd ;; 4.1 Years ;;
; LN-FNL ;Boeing 787-9 Dreamliner;; Due ; Stored, lsd ;; 3 Years ;;
; LN-LNO ;Boeing 787-9 Dreamliner;; 21 Jan 2022 ; Parked, lsd ; Raet ; 4.7 Years ;;
; LN-LNR ;Boeing 787-9 Dreamliner;; Due ; Stored, lsd ; Lofotodden ; 4.6 Years ;;
