;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; D-AIAD ;Airbus A300B2-1C;; 24 Jan 1984 ; 19 Oct 1984 ;D-AIAD Lufthansa ;lsf Lufthansa ;;
; D-AIAE ;Airbus A300B2-1C;; 4 Feb 1984 ; 11 Oct 1984 ;D-AIAE Lufthansa ;lsf Lufthansa ;;
; F-ODRD ;Airbus A300B2-1C;; 29 May 1984 ; 16 Oct 1984 ;F-ODRD Airbus Industrie ;lsf Airbus Industrie ;;
; F-ODRE ;Airbus A300B2-1C;; 29 May 1984 ; 15 Oct 1984 ;F-ODRE Airbus Financial Services (AFS) ;lsd ;;
; N800EV ;Douglas DC-8-52;; 20 Jan 1982 ;; Scrapped ;lsf Evergreen International Airlines ;;
; N801EV ;Douglas DC-8-52;; 1 Mar 1982 ;; Scrapped ;lsf Evergreen International Airlines ;;
; N162QS ;Douglas DC-8-62;; Jan 1985 ; 15 Apr 1985 ;N752UA United Air Leasing ;;;
; N8973U ;Douglas DC-8-62H;; 15 Jan 1984 ; 21 Sep 1984 ;N8973U Arrow Air ;lsf United Airlines ;;
; OY-KTE ;Douglas DC-8-62CF;; 10 Dec 1983 ; 6 Oct 1984 ;OY-KTE Thai Airways International ;lsf SAS Scandinavian Airlines ;;
; HB-IKL ;McDonnell Douglas MD-82 (DC-9-82);; Dec 1985 ; 7 Mar 1986 ;HB-IKL Alisarda ;lsf Alisarda ;;
