;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N360WA ;Boeing 737-301(SF); Cargo ; 28 Oct 2010 ;;; 34.7 Years ;;
; N362NC ;Boeing 737-330(SF); Cargo ; 17 May 2019 ;;; 30.7 Years ;;
; N401YK ;Boeing 737-436(SF); Cargo ; 13 Jun 2017 ;;; 28.4 Years ;;
; N403YK ;Boeing 737-436(SF); Cargo ; 22 Aug 2019 ;;; 30 Years ;;
; N405YK ;Boeing 737-436(SF); Cargo ; 20 Mar 2020 ;;; 30.4 Years ;;
; N407YK ;Boeing 737-436(SF); Cargo ; Due ; Stored, lsd ;; 28.6 Years ;;
; N321CM ;Boeing 767-323ER(BDSF)(WL); Cargo ; 6 Mar 2021 ;lsd ;; 23.8 Years ;;
; N351CM ;Boeing 767-323ER(BDSF); Cargo ; 27 Jul 2018 ;lsd, opf Strat Air ;; 29.7 Years ;;
; N379CX ;Boeing 767-323ER(BDSF)(WL); Cargo ; 5 Feb 2018 ;lsd ; 379 ; 29.8 Years ;;
; N399CM ;Boeing 767-323ER(BDSF)(WL); Cargo ; 10 Jun 2021 ;lsd, opf Aloha Air Cargo ; 399 ; 28.8 Years ;;
