;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-FYA ;Boeing 737-8 MAX; Y189 ; 29 Jun 2017 ; 12 Mar 2019 ;SE-RYJ Norwegian Air Sweden ;Sir Freddie Laker , lsd ;;
; EI-FYB ;Boeing 737-8 MAX; Y189 ; 29 Jun 2017 ; 12 Mar 2019 ;SE-RYK Norwegian Air Sweden ;​Tom Crean, lsd ;;
; EI-FYC ;Boeing 737-8 MAX; Y189 ; 17 Jul 2017 ; 12 Mar 2019 ;SE-RYL Norwegian Air Sweden ;Jonathan Swift , lsd ;;
; EI-FYD ;Boeing 737-8 MAX; Y189 ; 17 Jul 2017 ; 12 Mar 2019 ;OE-LCM Arctic Aviation ;Benjamin Franklin , lsd ;;
; EI-FYE ;Boeing 737-8 MAX; Y189 ; 31 Jul 2017 ; 12 Mar 2019 ;OE-LCQ Arctic Aviation ;Sojourner Truth , lsd ;;
; EI-FYF ;Boeing 737-8 MAX; Y189 ; 10 Aug 2017 ; 12 Mar 2019 ;SE-RYF Norwegian Air Sweden ;lsd, "Clara Barton" tail ;;
; EI-FYG ;Boeing 737-8 MAX; Y189 ; 16 May 2018 ; 12 Mar 2019 ;SE-RYG Norwegian Air Sweden ;lsd, "Maria Zambrano" tail ;;
; EI-FYH ;Boeing 737-8 MAX; Y189 ; 26 Jun 2018 ; 12 Mar 2019 ;SE-RYH Norwegian Air Sweden ;Tycho Brahe, lsd ;;
; EI-FYI ;Boeing 737-8 MAX; Y189 ; 24 Sep 2018 ; 12 Mar 2019 ;SE-RYI Norwegian Air Sweden ;Arthur Collins, lsd ;;
; EI-FHA ;Boeing 737-8JP(WL); Y186 ; 17 Feb 2015 ; 24 Jun 2021 ;LN-DYY Norwegian Air Shuttle AOC ;Vilhelm Bjerknes , lsd ;;
; EI-FHB ;Boeing 737-8Q8(WL); Y186 ; 19 Feb 2015 ; 14 Dec 2016 ;PK-CRC Sriwijaya Air ;Henrik Wergeland, lsd ;;
; EI-FHC ;Boeing 737-8Q8(WL); Y186 ; 26 Feb 2015 ; 10 Feb 2017 ;PK-CRD Sriwijaya Air ;lsd, 6000th B737 cs ;;
; EI-FHD ;Boeing 737-8JP(WL); Y186 ; 17 Feb 2015 ; 20 Mar 2020 ;LN-DYX Norwegian Air Shuttle AOC ;lsd ;;
; EI-FHE ;Boeing 737-8Q8(WL); Y189 ; 19 Feb 2015 ; 7 Mar 2020 ;LN-NOD Norwegian Air Shuttle AOC ;Sonja Henie, lsd ;;
; EI-FHF ;Boeing 737-8FZ(WL); Y186 ; 18 Feb 2015 ; 5 Dec 2015 ;XA-AMW Aeromexico ;Edvard Grieg, lsd ;;
; EI-FHG ;Boeing 737-86N(WL); Y186 ; 26 Feb 2015 ; 5 Nov 2017 ;OK-TST Smartwings ;Tycho Brahe, lsd ;;
; EI-FHH ;Boeing 737-8FZ(WL); Y189 ; 25 Feb 2015 ; 12 Jan 2020 ;EI-FHH BBAM ;Evert Taube, lsd ;;
; EI-FHI ;Boeing 737-8JP(WL); Y186 ; 12 Feb 2015 ; 12 Nov 2015 ;G-NRWY Norwegian Air UK ;Carl Nielsen, lsd ;;
