;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; SE-RTB ;Boeing 737-8 MAX; Y189 ; 21 Dec 2021 ; Parked, lsd ; Elsa Beskow ; 3.2 Years ;;
; SE-RTC ;Boeing 737-8 MAX; Y189 ; 21 Dec 2021 ; Parked, lsd ; Felix Rodríguez de la Fuente ; 3.3 Years ;;
; SE-RYF ;Boeing 737-8 MAX; Y189 ; 22 Dec 2021 ; Parked, lsd, "Clara Barton" tail ;; 4.6 Years ;;
; SE-RYG ;Boeing 737-8 MAX; Y189 ; 22 Dec 2021 ; Parked, lsd, "Maria Zambrano" tail ;; 3.8 Years ;;
; SE-RYJ ;Boeing 737-8 MAX; Y189 ; 22 Dec 2021 ; Parked, lsd ; Freddie Laker ; 4.8 Years ;;
; SE-RPD ;Boeing 737-8JP(WL); Y186 ; 10 May 2021 ;lsd ;; 5.8 Years ;;
; SE-RPE ;Boeing 737-8JP(WL); Y186 ; 10 May 2021 ;lsd ;; 5.9 Years ;;
; SE-RPF ;Boeing 737-8JP(WL); Y186 ; 11 May 2021 ;lsd ;; 5.8 Years ;;
; SE-RPG ;Boeing 737-8JP(WL); Y186 ; 18 May 2021 ;lsd ;; 5.7 Years ;;
; SE-RPH ;Boeing 737-8JP(WL); Y189 ; 25 May 2021 ;lsd ; Fredrika Bremer ; 5.6 Years ;;
; SE-RPI ;Boeing 737-8JP(WL); Y186 ; 12 May 2021 ;lsd ;; 6 Years ;;
; SE-RPJ ;Boeing 737-8JP(WL); Y189 ; 12 May 2021 ;lsd ; Karin Larsson ; 5.7 Years ;;
; SE-RPK ;Boeing 737-8JP(WL); Y186 ; 11 May 2021 ;lsd ;; 5.9 Years ;;
; SE-RPL ;Boeing 737-8JP(WL); Y189 ; 18 May 2021 ;lsd ; Gustav Vigeland ; 5.5 Years ;;
; SE-RPM ;Boeing 737-8JP(WL); Y189 ; 25 May 2021 ;lsd ;; 5.5 Years ;;
; SE-RPR ;Boeing 737-8JP(WL); Y186 ; 19 May 2021 ;lsd ; N.F.S. Grundtvig ; 6.2 Years ;;
; SE-RPS ;Boeing 737-8JP(WL); Y186 ; 3 Jun 2021 ; Parked ;; 6.1 Years ;;
; SE-RPT ;Boeing 737-8JP(WL); Y186 ; 19 May 2021 ;lsd ;; 6.5 Years ;;
; SE-RPU ;Boeing 737-8JP(WL); Y186 ; 27 May 2021 ;lsd ;; 6.5 Years ;;
; SE-RRB ;Boeing 737-8JP(WL); Y186 ; 21 May 2021 ; Parked, lsd ; Bjørnstjerne Bjørnson ; 12.4 Years ;;
; SE-RRE ;Boeing 737-8JP(WL); Y186 ; 21 May 2021 ;lsd ; Ludvig Holberg ; 11.5 Years ;;
; SE-RRF ;Boeing 737-8JP(WL); Y186 ; 28 May 2021 ;lsd ; Fridtjof Nansen ; 11.3 Years ;;
; SE-RRG ;Boeing 737-8JP(WL); Y186 ; 20 May 2021 ;lsd ; Jenny Lind ; 11.2 Years ;;
; SE-RRJ ;Boeing 737-8JP(WL); Y189 ; 5 May 2021 ;lsd ; Jens Moe ; 4.1 Years ;;
; SE-RRN ;Boeing 737-8JP(WL); Y186 ; 27 May 2021 ;lsd ; Karen Blixen ; 11 Years ;;
; SE-RRO ;Boeing 737-8JP(WL); Y186 ; 8 Jun 2021 ;lsd ; Otto Sverdrup ; 11 Years ;;
; SE-RRP ;Boeing 737-8JP(WL); Y186 ; 20 May 2021 ;lsd ; Aksel Sandemose ; 10.9 Years ;;
; SE-RRS ;Boeing 737-8JP(WL); Y186 ; 27 May 2021 ;lsd ;; 10.8 Years ;;
; SE-RRT ;Boeing 737-8JP(WL); Y186 ; 2 Jul 2021 ;lsd ; Amalie Skram ; 11 Years ;;
