;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; TS-INC ;Airbus A320-214; Y177 ; 10 Sep 2018 ;; 20 Years ;;
; TS-IND ;Airbus A320-214; Y180 ; 17 Mar 2020 ;lsd ; 10.1 Years ;;
; TS-INE ;Airbus A320-214; Y180 ; 28 Jun 2021 ;lsd ; 9.3 Years ;;
; TS-INH ;Airbus A320-214; Y180 ; 8 Jun 2018 ;Mohamed Aziz Milad ; 11 Years ;;
; TS-INO ;Airbus A320-214; Y180 ; 29 Apr 2008 ;lsd ; 13.9 Years ;;
; TS-INP ;Airbus A320-214; Y180 ; 15 Oct 2016 ; Parked, lsd ; 20.4 Years ;;
; TS-INQ ;Airbus A320-214; Y180 ; 12 Oct 2015 ;lsd ; 18 Years ;;
; TS-INR ;Airbus A320-214; Y180 ; 18 Jun 2014 ;lsd ; 13.9 Years ;;
; TS-INT ;Airbus A320-214; Y180 ; 19 Apr 2019 ;lsd ; 13.1 Years ;;
; TS-INU ;Airbus A320-214; Y180 ; 15 Jun 2019 ;lsd ; 13 Years ;;
