;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BMZK ;Airbus A300B4-203;; 21 Apr 1987 ; 26 Jan 1989 ;G-BMZK Britannia Airways ;;;
; G-BMZL ;Airbus A300B4-203;; 19 May 1987 ; 26 Jan 1989 ;G-BMZL Britannia Airways ;;;
; G-BGTV ;Boeing 737-2T5(A);; 27 Feb 1980 ; 21 Mar 1985 ;EI-BPV Haiti Air ;lsd ;;
; G-BGTW ;Boeing 737-2T5(A);; 11 Feb 1980 ; 7 Mar 1985 ;PH-TVX Transavia ;;;
; G-BGTY ;Boeing 737-2Q8(A);; 25 Apr 1988 ; 1 Jun 1988 ;EI-BTW British Airways ;lsd ;;
; G-BHCL ;Boeing 737-2M8(A);; 24 Apr 1980 ; 23 Jan 1981 ;OO-TEN TEA - Trans European Airlines ;lsf TEA - Trans European Airlines ;;
; G-BHVG ;Boeing 737-2T5(A);; 12 Jan 1981 ; 1 Mar 1985 ;C-GEPM Eastern Provincial Airways ;;;
; G-BHVH ;Boeing 737-2T5(A);; 21 Mar 1988 ; 1 Dec 1988 ;C-GVRE Vacationair ;lsd ;;
; G-BHVI ;Boeing 737-2T5(A);; 1 Apr 1987 ; 10 Apr 1987 ;CC-CJW LAN Chile ;;;
; G-BJBJ ;Boeing 737-2T5(A);; 4 Apr 1987 ; 15 Apr 1987 ;G-BJBJ Britannia Airways ;;;
; G-BKAP ;Boeing 737-2L9(A);; 1 Nov 1983 ; 31 Oct 1984 ;OY-APJ Maersk Air ;lsf Maersk Air ;;
; G-BKHO ;Boeing 737-2T5(A);; 14 Mar 1988 ; 18 Nov 1988 ;HA-LEC Malév Hungarian Airlines ;;;
; G-BKMS ;Boeing 737-2Q8(A);; 1 Mar 1983 ; 10 Oct 1983 ;G-BKMS Wien Air Alaska ;;;
; G-GPAB ;Boeing 737-2L9(A);; 15 May 1984 ; 15 Nov 1984 ;EI-BOJ Midway Express ;lsd ;;
; G-BLKB ;Boeing 737-3T5;; 29 Jan 1985 ; 26 Jan 1989 ;G-BLKB Britannia Airways ;;;
; G-BLKC ;Boeing 737-3T5;; 11 Mar 1985 ; 26 Jan 1989 ;G-BLKC Britannia Airways ;;;
; G-BLKD ;Boeing 737-3T5;; 28 Feb 1987 ; 26 Jan 1989 ;G-BLKD Britannia Airways ;;;
; G-BLKE ;Boeing 737-3T5;; 25 Mar 1985 ; 26 Jan 1989 ;G-BLKE Britannia Airways ;lsd ;;
; G-BNRT ;Boeing 737-3T5;; 28 Mar 1988 ; 9 Nov 1988 ;EC-213 Hispania Lineas Aereas ;;;
; G-BOLM ;Boeing 737-3T0;; 20 Apr 1988 ; 26 Jan 1989 ;G-BOLM Britannia Airways ;;;
; G-BOWR ;Boeing 737-3Q8;; 31 Oct 1988 ; 26 Jan 1989 ;G-BOWR Britannia Airways ;lsd ;;
