;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PP-PSD ;Airbus A310-322;; 19 Dec 1997 ; 19 Dec 2000 ;PK-AWD Region Air ;lsd ;;
; PP-PSE ;Airbus A310-324; Y247 ; 26 Jun 1998 ; 30 Oct 1999 ;7O-ADJ Yemenia - Yemen Airways ;lsd ;;
; PP-PSF ;ATR 42-320;; 19 Dec 1998 ; Jul 2000 ;YV-1018C Santa Barbara Airlines ;lsd ;;
; PP-PSG ;ATR 42-320;; 30 Mar 1999 ; 31 Aug 1999 ;YV-1017C Santa Barbara Airlines ;lsd ;;
; PP-PTM ;ATR 72-500 (72-212A); Y68 ; 21 May 2015 ; 21 Aug 2019 ;PP-PTM Voepass ;Curió, lsd ;;
; PP-PTN ;ATR 72-500 (72-212A); Y74 ; Aug 2015 ; 21 Aug 2019 ;PP-PTN Voepass ;Jaçana, lsd ;;
; PP-PTO ;ATR 72-500 (72-212A); Y74 ; 8 Jun 2015 ; 21 Aug 2019 ;PP-PTO Voepass ;Araponga, lsd ;;
; PP-PTP ;ATR 72-500 (72-212A); Y74 ; 6 Mar 2015 ; 21 Aug 2019 ;PP-PTP Voepass ;Tuiuiu, lsd ;;
; PP-PTQ ;ATR 72-500 (72-212A); Y74 ; 22 Jan 2015 ; 21 Aug 2019 ;PP-PTQ Voepass ;Quero-Quero, lsd ;;
; PR-PDA ;ATR 72-600 (72-212A); Y70 ; 23 May 2012 ; 27 May 2017 ;2-RPDA Nordic Aviation Capital (NAC) ;Bem-te-vi, lsd ;;
; PR-PDB ;ATR 72-600 (72-212A); Y70 ; 26 Jun 2012 ; 4 Jun 2016 ;M-ABKL Elix Aviation Capital ;Canário, lsd ;;
; PR-PDC ;ATR 72-600 (72-212A); Y70 ; 31 Aug 2012 ; 29 May 2017 ;2-RPDC Nordic Aviation Capital (NAC) ;Sabiá, lsd ;;
; PR-PDD ;ATR 72-500 (72-212A); Y68 ; 25 Aug 2012 ; 9 Jan 2016 ; Written Off ;Beija-flor ;;
; PR-PDE ;ATR 72-500 (72-212A);; 8 Dec 2012 ; Aug 2016 ;F-WKVE ATRiam Capital ;João de barro, lsd ;;
; PR-PDH ;ATR 72-500 (72-212A);; 6 Nov 2013 ; 2 Sep 2020 ;EI-FAN Unknown ;Tucano ;;
; PR-PDI ;ATR 72-600 (72-212A); Y70 ; 14 Dec 2012 ; 29 Sep 2017 ;2-RPDI Nordic Aviation Capital (NAC) ;Pica-Pau, lsd, Levity - Mineral Water cs ;;
; PR-PDJ ;ATR 72-500 (72-212A);; 5 Nov 2013 ; 20 Oct 2014 ;EI-EYY Unknown ;Andorinha ;;
; PR-PDK ;ATR 72-500 (72-212A);; 5 Nov 2013 ; 2 Sep 2020 ;EI-EZK Unknown ;Arara ;;
; PT-TJA ;Embraer ERJ-135LR;; 19 Feb 2009 ; 25 Nov 2011 ;ZS-SUV Airlink ;;;
; PR-PSF ;Embraer ERJ-145EP;; 28 Apr 2009 ; 4 Sep 2015 ;N255EC ECC Leasing Company ;lsd ;;
; PR-PSG ;Embraer ERJ-145EP;; 26 May 2009 ; 17 Feb 2015 ;N241EC ECC Leasing Company ;lsd ;;
; PR-PSH ;Embraer ERJ-145LR; Y50 ; 11 Aug 2009 ; 17 Sep 2012 ;ZS-BBM Solenta Aviation ;lsd ;;
; PR-PSI ;Embraer ERJ-145LR; Y50 ; 31 Jul 2009 ; 28 Feb 2013 ;ZS-BBH Solenta Aviation ;lsd ;;
; PR-PSJ ;Embraer ERJ-145LU;; 24 Jun 2010 ; 25 Aug 2010 ; Written Off ;;;
; PR-PSK ;Embraer ERJ-145LU; Y50 ; 19 Apr 2010 ; 2 Apr 2013 ;N855HK Trans States Airlines ;lsd ;;
; PR-PSL ;Embraer ERJ-145LR; Y50 ; 7 May 2010 ; 22 Feb 2013 ;N834HK Trans States Airlines ;lsd ;;
; PR-PSM ;Embraer ERJ-145LR; Y50 ; 2 Jun 2010 ; 7 Mar 2013 ;N829HK Trans States Airlines ;lsd ;;
; PR-PSN ;Embraer ERJ-145MP; Y50 ; 30 Jul 2010 ; 8 Apr 2013 ;N853HK Trans States Airlines ;lsd ;;
; PR-PSO ;Embraer ERJ-145MP; Y50 ; 10 Dec 2010 ; 7 Mar 2013 ;N854HK Trans States Airlines ;lsd ;;
; PR-PSP ;Embraer ERJ-145MP; Y50 ; 17 Jan 2011 ; 9 Apr 2013 ;N856HK Trans States Airlines ;;;
; PR-PSQ ;Embraer ERJ-145MP; Y50 ; 22 Dec 2010 ; 18 Mar 2013 ;ZS-DFB Punto Azul ;;;
; PR-PSR ;Embraer ERJ-145MP; Y50 ; 10 Feb 2011 ; 13 May 2013 ;ZS-DFC Solenta Aviation ;lsd ;;
; PR-PST ;Embraer ERJ-145MP; Y50 ; 16 Apr 2011 ; 14 Feb 2013 ;N538CL GECAS ;lsd ;;
; PT-PSS ;Embraer ERJ-145MP; Y50 ; 15 Jun 2011 ;; Stored ;lsd ;;
