;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N200AU ;Boeing 737-201; F8Y102 ; 21 Oct 1988 ; 5 Aug 1989 ;N200AU USAir ;Piedmont Pacemaker, 200 ;;
; N202AU ;Boeing 737-201; F8Y102 ; 8 Nov 1988 ; 5 Aug 1989 ;N202AU USAir ;Appalachian Pacemaker, lsf CIS Corporation ;;
; N203AU ;Boeing 737-201; F8Y102 ; 18 Oct 1988 ; 5 Aug 1989 ;N203AU USAir ;Sunshine State Pacemaker ;;
; N204AU ;Boeing 737-247; F8Y102 ; 28 Oct 1988 ; 5 Aug 1989 ;N204AU USAir ;Buckeye Pacemaker ;;
; N206AU ;Boeing 737-201; F8Y102 ; 5 Nov 1988 ; 5 Aug 1989 ;N206AU USAir ;Hampton Roads Pacemaker, lsf CIS Corporation ;;
; N207AU ;Boeing 737-201; F8Y102 ; 10 Nov 1988 ; 5 Aug 1989 ;N207AU USAir ;Empire State Pacemaker ;;
; N208AU ;Boeing 737-222; F8Y102 ; 29 Oct 1988 ; 5 Aug 1989 ;N208AU USAir ;Manhattan Pacemaker ;;
; N209US ;Boeing 737-222; F8Y102 ; 30 Oct 1988 ; 5 Aug 1989 ;N209US USAir ;Commonwealth Pacemaker ;;
; N212US ;Boeing 737-201; F8Y102 ; 14 Oct 1988 ; 5 Aug 1989 ;N212US USAir ;Garden State Pacemaker ;;
; N214AU ;Boeing 737-201; F8Y102 ; 30 Oct 1988 ; 5 Aug 1989 ;N214AU USAir ;Blue Ridge Pacemaker ;;
; N215US ;Boeing 737-2A1; F8Y102 ; 11 Nov 1988 ; 5 Aug 1989 ;N215US USAir ;Rocky Mountain Pacemaker ;;
; N216US ;Boeing 737-222; F8Y102 ; 10 Oct 1988 ; 5 Aug 1989 ;N216US USAir ;Bicentennial Pacemaker ;;
; N217US ;Boeing 737-201; F8Y102 ; 17 Oct 1988 ; 5 Aug 1989 ;N217US USAir ;Great Lakes Pacemaker ;;
; N218US ;Boeing 737-201; F8Y102 ; 9 Nov 1988 ; 5 Aug 1989 ;N218US USAir ;Outer Banks Pacemaker, lsf AAR Corporation ;;
; N220US ;Boeing 737-2H5; F8Y102 ; 1 Nov 1988 ; 5 Aug 1989 ;N220US USAir ;Yadkin Valley Pacemaker ;;
; N221US ;Boeing 737-2H5; F8Y102 ; 12 Nov 1988 ; 5 Aug 1989 ;N221US USAir ;James River Pacemaker ;;
