;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N602AE ;Embraer ERJ-145LR; Y50 ; 22 Dec 2016 ; Parked, opf American Eagle ; 602 ; 24 Years ;;
; N608LM ;Embraer ERJ-145LR; Y50 ; 19 Nov 2016 ; Parked, opf American Eagle ; 608 ; 23.7 Years ;;
; N609DP ;Embraer ERJ-145LR; Y50 ; 1 Dec 2016 ; Parked, opf American Eagle ; 609 ; 23.6 Years ;;
; N617AE ;Embraer ERJ-145LR; Y50 ; 25 Jul 2017 ;opf American Eagle ; 617 ; 23.4 Years ;;
; N620AE ;Embraer ERJ-145LR; Y50 ; 4 Oct 2017 ;opf American Eagle ; 620 ; 23.2 Years ;;
; N621AE ;Embraer ERJ-145LR; Y50 ; 16 Apr 2018 ;opf American Eagle ; 621 ; 23.2 Years ;;
; N624AE ;Embraer ERJ-145LR; Y50 ; 2 Jun 2017 ;opf American Eagle ; 624 ; 23.1 Years ;;
; N625AE ;Embraer ERJ-145LR; Y50 ; 4 Apr 2017 ;opf American Eagle ; 625 ; 23 Years ;;
; N626AE ;Embraer ERJ-145LR; Y50 ; 20 May 2017 ;opf American Eagle ; 626 ; 23 Years ;;
; N627AE ;Embraer ERJ-145LR; Y50 ; 5 Oct 2015 ;opf American Eagle ; 627 ; 23 Years ;;
; N629AE ;Embraer ERJ-145LR; Y50 ; 29 Nov 2017 ;opf American Eagle ; 629 ; 22.9 Years ;;
; N630AE ;Embraer ERJ-145LR; Y50 ; 2 May 2017 ;opf American Eagle ; 630 ; 22.9 Years ;;
; N631AE ;Embraer ERJ-145LR; Y50 ; 3 Jul 2017 ;opf American Eagle ; 631 ; 22.8 Years ;;
; N632AE ;Embraer ERJ-145LR; Y50 ; 26 Jul 2017 ;opf American Eagle ; 632 ; 22.8 Years ;;
; N633AE ;Embraer ERJ-145LR; Y50 ; 25 Aug 2017 ;opf American Eagle ; 633 ; 22.7 Years ;;
; N634AE ;Embraer ERJ-145LR; Y50 ; 30 Jan 2016 ;opf American Eagle ; 634 ; 22.7 Years ;;
; N635AE ;Embraer ERJ-145LR; Y50 ; 22 Mar 2016 ;opf American Eagle ; 635 ; 22.6 Years ;;
; N636AE ;Embraer ERJ-145LR; Y50 ; 13 May 2016 ;opf American Eagle ; 636 ; 22.6 Years ;;
; N637AE ;Embraer ERJ-145LR; Y50 ; 22 Jun 2016 ;opf American Eagle ; 637 ; 22.5 Years ;;
; N638AE ;Embraer ERJ-145LR; Y50 ; 29 Jan 2018 ;opf American Eagle ; 638 ; 22.5 Years ;;
; N639AE ;Embraer ERJ-145LR; Y50 ; 5 Jan 2018 ;opf American Eagle ; 639 ; 22.5 Years ;;
; N640AE ;Embraer ERJ-145LR; Y50 ; 22 Apr 2016 ;opf American Eagle ; 640 ; 22.5 Years ;;
; N641AE ;Embraer ERJ-145LR; Y50 ; 25 Feb 2016 ;opf American Eagle ; 641 ; 22.4 Years ;;
; N642AE ;Embraer ERJ-145LR; Y50 ; 26 Oct 2018 ;opf American Eagle ; 642 ; 22.4 Years ;;
; N643AE ;Embraer ERJ-145LR; Y50 ; 1 Mar 2018 ; Parked, opf American Eagle ; 643 ; 22.3 Years ;;
; N644AE ;Embraer ERJ-145LR; Y50 ; 25 Sep 2018 ;opf American Eagle ; 644 ; 22.3 Years ;;
; N645AE ;Embraer ERJ-145LR; Y50 ; 30 Jan 2019 ; Parked, opf American Eagle ; 645 ; 22.2 Years ;;
; N646AE ;Embraer ERJ-145LR; Y50 ; 14 Aug 2018 ;opf American Eagle ; 646 ; 22.2 Years ;;
; N647AE ;Embraer ERJ-145LR; Y50 ; 27 May 2018 ;opf American Eagle ; 647 ; 22.1 Years ;;
; N648AE ;Embraer ERJ-145LR; Y50 ; 3 Jul 2018 ;opf American Eagle ; 648 ; 22.1 Years ;;
; N649PP ;Embraer ERJ-145LR; Y50 ; 12 Dec 2018 ;opf American Eagle ; 649 ; 22 Years ;;
; N650AE ;Embraer ERJ-145LR; Y50 ; 16 Apr 2019 ;opf American Eagle ; 650 ; 21 Years ;;
; N651AE ;Embraer ERJ-145LR; Y50 ; 27 Mar 2018 ;opf American Eagle ; 651 ; 20.9 Years ;;
; N652RS ;Embraer ERJ-145LR; Y50 ; 22 Oct 2018 ;opf American Eagle ; 652 ; 20.9 Years ;;
; N654AE ;Embraer ERJ-145LR; Y50 ; 4 Aug 2018 ;opf American Eagle ; 654 ; 20.8 Years ;;
; N655AE ;Embraer ERJ-145LR; Y50 ; 19 Sep 2018 ;opf American Eagle ; 655 ; 20.7 Years ;;
; N656AE ;Embraer ERJ-145LR; Y50 ; 10 Mar 2019 ;opf American Eagle ; 656 ; 18.6 Years ;;
; N657AE ;Embraer ERJ-145LR; Y50 ; 6 Dec 2018 ;opf American Eagle ; 657 ; 18.5 Years ;;
; N658AE ;Embraer ERJ-145LR; Y50 ; 28 Apr 2019 ; Parked, opf American Eagle ; 658 ; 18.4 Years ;;
; N659AE ;Embraer ERJ-145LR; Y50 ; 20 Feb 2017 ;opf American Eagle ; 659 ; 18.4 Years ;;
; N660CL ;Embraer ERJ-145LR; Y50 ; 5 Mar 2017 ;opf American Eagle ; 660 ; 18.3 Years ;;
; N665BC ;Embraer ERJ-145LR; Y50 ; 16 Feb 2017 ;opf American Eagle ; 665 ; 18.1 Years ;;
; N669MB ;Embraer ERJ-145LR; Y50 ; 16 Mar 2017 ; Parked, opf American Eagle ; 669 ; 18 Years ;;
; N672AE ;Embraer ERJ-145LR; Y50 ; 2 Sep 2017 ;opf American Eagle ; 672 ; 18 Years ;;
; N682AE ;Embraer ERJ-145LR; Y50 ; 3 Oct 2017 ;opf American Eagle ; 682 ; 17.6 Years ;;
; N683AE ;Embraer ERJ-145LR; Y50 ; 28 Oct 2017 ;opf American Eagle ; 683 ; 17.6 Years ;;
; N686AE ;Embraer ERJ-145LR; Y50 ; 27 Oct 2017 ;opf American Eagle ; 686 ; 17.5 Years ;;
; N690AE ;Embraer ERJ-145LR; Y50 ; 23 Feb 2018 ;opf American Eagle ; 690 ; 17.4 Years ;;
; N691AE ;Embraer ERJ-145LR; Y50 ; 23 Dec 2017 ;opf American Eagle ; 691 ; 17.4 Years ;;
; N692AE ;Embraer ERJ-145LR; Y50 ; 24 Jan 2018 ;opf American Eagle ; 692 ; 17.4 Years ;;
; N695AE ;Embraer ERJ-145LR; Y50 ; 22 Nov 2017 ;opf American Eagle ; 695 ; 17.3 Years ;;
; N699AE ;Embraer ERJ-145LR; Y50 ; 4 Jul 2018 ;opf American Eagle ; 699 ; 17.2 Years ;;
; N906AE ;Embraer ERJ-145LR; Y50 ; 20 Mar 2018 ;opf American Eagle ; 906 ; 17 Years ;;
; N907AE ;Embraer ERJ-145LR; Y50 ; 22 May 2018 ;opf American Eagle ; 907 ; 17 Years ;;
