;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N455CA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 3 Sep 2009 ; 23 Sep 2011 ;N455CA Delta Connection ;7592 ;;
; N528CA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; Aug 2009 ; 5 Dec 2012 ;N528CA ExpressJet Airlines ;;;
; N601XJ ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N601XJ Delta Connection ;601 ;;
; N602XJ ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N602XJ Delta Connection ;602 ;;
; N800AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 14 Dec 2004 ; 1 Aug 2013 ;N800AY Northwest Airlink ;8000 ;;
; N801AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 14 Dec 2004 ; 1 Aug 2013 ;N801AY Northwest Airlink ;8001 ;;
; N805AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 26 Jan 2005 ; 1 Aug 2013 ;N805AY Endeavor Air ;8005, lsd ;;
; N812AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N812AY Delta Connection ;812 ;;
; N813AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N813AY Delta Connection ;813 ;;
; N819AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 17 Mar 2005 ; 17 Mar 2005 ;N819AY Northwest Airlink ;8019 ;;
; N820AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 31 Mar 2005 ; 31 Mar 2005 ;N820AY Northwest Airlink ;8020 ;;
; N821AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 31 Mar 2005 ; 1 Aug 2013 ;N821AY Endeavor Air ;;;
; N823AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 6 Apr 2005 ; 1 Aug 2013 ;N823AY Endeavor Air ;;;
; N824AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 11 Apr 2005 ; 1 Aug 2013 ;N824AY Endeavor Air ;;;
; N825AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 14 Apr 2005 ; 1 Aug 2013 ;N825AY Endeavor Air ;;;
; N826AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 20 Apr 2005 ; 1 Aug 2013 ;N826AY Endeavor Air ;;;
; N827AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 21 Apr 2005 ; 1 Aug 2013 ;N827AY Endeavor Air ;;;
; N829AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 29 Apr 2005 ; 1 Aug 2013 ;N829AY Endeavor Air ;;;
; N830AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 29 Apr 2005 ; 1 Aug 2013 ;N830AY Endeavor Air ;;;
; N831AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N831AY Endeavor Air ;;;
; N832AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N832AY Delta Connection ;832 ;;
; N833AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N833AY Delta Connection ;833 ;;
; N834AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N834AY Delta Connection ;606 ;;
; N835AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N835AY Delta Connection ;835 ;;
; N836AY ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 4 Jan 2012 ; 1 Aug 2013 ;N836AY Delta Connection ;836 ;;
; N8390A ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 8 May 2002 ; 1 Aug 2013 ;N8390A Endeavor Air ;Spirit of Memphis Belle, 8390, lsd ;;
