;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-BFC ;Boeing 737-2H4;; 18 Dec 1986 ; 15 Jan 1987 ;N709ML Midway Airlines ;lsd ;;
; N301XV ;Boeing 737-230C;; 19 Aug 1985 ; 31 Jan 1988 ;HP-1134CMP Copa Airlines ;George Washington, lsd ;;
; N302XV ;Boeing 737-230C;; 5 Sep 1985 ; 14 May 1987 ;N302XV TAN Honduras ;John Adams, lsd ;;
; N303XV ;Boeing 737-230C;; 8 Sep 1985 ; Jul 1988 ;N303XV Inter-Canadien ;lsd ;;
; N304XV ;Boeing 737-230C; C8Y110 ; 10 Sep 1985 ; 7 Sep 1988 ;F-GFVI InterCargo Service ;James Madison, lsd ;;
; N311XV ;Boeing 737-204; F8Y110 ; 3 Apr 1986 ; 24 Apr 1987 ;N311XV America West Airlines ;lsf CG Air Leasing Inc ;;
; N312XV ;Boeing 737-204; F8Y110 ; 30 Jan 1986 ; Nov 1986 ;N312XV Key Airlines ;John Quincy Adams, lsf CG Air Leasing Inc ;;
; N313XV ;Boeing 737-204; F8Y110 ; 2 May 1986 ; 7 May 1987 ;N313XV America West Airlines ;lsf CG Air Leasing Inc ;;
; N321XV ;Boeing 737-219; F8Y110 ; 24 Apr 1986 ; 27 May 1987 ;N321XV America West Airlines ;lsd ;;
; N322XV ;Boeing 737-219; F8Y110 ; 1 Mar 1986 ; 27 May 1987 ;N322XV America West Airlines ;lsd ;;
; N323XV ;Boeing 737-214; F8Y110 ; Mar 1986 ; 29 Jun 1987 ;N323XV America West Airlines ;lsd ;;
; N331XV ;Boeing 737-275C;; Sep 1987 ; 31 May 1990 ;N331XV Air Zaïre ;lsd ;;
; N700ML ;Boeing 737-2K9(A); Y122 ; Jan 1987 ; Jun 1987 ;N700ML Midway Airlines ;lsf Midway Airlines ;;
; N146AP ;British Aerospace 146-100A;; 1 Aug 1986 ; 1 Sep 1986 ;N146AP Pacific Southwest Airlines (PSA) ;lsd ;;
; N401XV ;British Aerospace 146-200; Y90 ; 5 Aug 1986 ; 12 Oct 1989 ;CC-CEJ LAN Chile ;Franklin Pierce , 01, lsd ;;
; N402XV ;British Aerospace 146-200; Y90 ; 28 Aug 1986 ; 30 Nov 1989 ;XA-RMO AVIACSA ;James Buchanan , 02, lsd ;;
; N403XV ;British Aerospace 146-200A; Y90 ; 9 Sep 1986 ; 23 Oct 1989 ;N403XV Continental Express ;Abraham Lincoln , 03, lsd ;;
; N404XV ;British Aerospace 146-200; Y90 ; 20 Nov 1986 ; 30 Nov 1989 ;N404XV Continental Express ;Andrew Johnson , 04, lsd ;;
; N405XV ;British Aerospace 146-200; Y90 ; 21 Dec 1986 ; 30 Nov 1989 ;N405XV Continental Express ;Ulysses S. Grant , 05, lsd ;;
; N406XV ;British Aerospace 146-200A; Y90 ; 18 Mar 1987 ; 17 Sep 1989 ;N406XV Continental Express ;Teddy Roosevelt , 06, lsd ;;
; N407XV ;British Aerospace 146-200; Y90 ; 27 Jun 1989 ; 18 Aug 1989 ;G-BNKJ British Aerospace Asset Management ;Franklin D. Roosevelt , 07, lsd ;;
; N408XV ;British Aerospace 146-200; Y90 ; 4 Aug 1987 ; 19 Feb 1989 ;N408XV Continental Express ;Harry S. Truman , 08, lsd ;;
; N801XV ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; 3 Aug 1989 ; 10 May 1990 ;N801XV United Express ;801 ;;
; N802XV ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; 28 Sep 1989 ; 10 May 1990 ;N802XV United Express ;802 ;;
