;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; D-CATZ ;Dornier 328-110; Y32 ; 24 Jul 2007 ;; 24.5 Years ;;
; D-CAWA ;Dornier 328-110; Y32 ; 20 Aug 2014 ;; 22.9 Years ;;
; D-CDAX ;Dornier 328-110; Y32 ; 11 Mar 2006 ;; 24.3 Years ;;
; D-CITO ;Dornier 328-110; Y32 ; 19 Jun 2015 ;lsd ; 26.3 Years ;;
; D-CLAY ;Dornier 328-110; Y32 ; Mar 2020 ;; 23 Years ;;
; D-COSY ;Dornier 328-110; Y32 ; Nov 2014 ;; 26 Years ;;
; D-CPWF ;Dornier 328-110; Y32 ; 10 Apr 2003 ;; 23.2 Years ;;
; D-CREW ;Dornier 328-110; Y32 ; 13 Apr 2004 ;; 23.1 Years ;;
; D-CSUE ;Dornier 328-110; Y32 ; 5 Apr 2011 ;; 27.4 Years ;;
; D-BJET ;Dornier Do-328JET-310; Y32 ; 5 Aug 2005 ;; 20.1 Years ;;
