;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; F-GNBS ;Dornier 328-110;; 12 Apr 1996 ; 20 Jun 2000 ;G-BZIF Scot Airways ;;;
; F-GNPA ;Dornier 328-110;; Mar 1996 ; 6 Jun 2000 ;D-CALP KLM alps ;;;
; F-GNPB ;Dornier 328-110;; 31 Mar 1997 ; 9 Feb 1999 ;D-CDXG Dornier ;;;
; F-GNPR ;Dornier 328-110;; 23 Mar 1998 ; 10 Oct 2000 ;D-CDXN Millenium Leasing Company ;lsd ;;
; F-GOAC ;Dornier 328-110;; 29 Sep 1997 ; 27 Jun 2000 ;N328ML Air Wisconsin ;;;
; F-GOFB ;Dornier 328-110;; 17 Mar 1998 ; 27 Jun 2000 ;N329ML Air Wisconsin ;;;
; F-GTJL ;Dornier 328-110;; 11 Sep 1998 ; 6 Dec 1999 ;D-CGEP Gandalf Airlines ;;;
; LN-ASK ;Dornier 328-110;; 1 Mar 1998 ; 9 Jun 1999 ;G-BYMK Suckling Airways ;lsf Air Stord ;;
; F-GOHA ;Embraer ERJ-135ER; Y37 ; 10 Apr 2000 ; 1 Apr 2001 ;F-GOHA Régional ;lsd ;;
; F-GOHB ;Embraer ERJ-135ER; Y37 ; 10 Apr 2000 ; 1 Apr 2001 ;F-GOHB Régional ;;;
; F-GOHC ;Embraer ERJ-135ER; Y37 ; 28 Apr 2000 ; 1 Apr 2001 ;F-GOHC Régional ;;;
; F-GOHD ;Embraer ERJ-135ER; Y37 ; 25 Sep 2000 ; 1 Apr 2001 ;F-GOHD Régional ;;;
; F-GOHE ;Embraer ERJ-135ER; Y37 ; 30 Oct 2000 ; 1 Apr 2001 ;F-GOHE Régional ;;;
; F-GOHF ;Embraer ERJ-135ER; Y37 ; 19 Dec 2000 ; 30 Mar 2001 ;F-GOHF Régional ;;;
; F-GUAM ;Embraer ERJ-145MP; Y50 ; 20 Jul 2000 ; 30 Mar 2001 ;F-GUAM Régional ;lsf Eurojet Aircraft Leasing ;;
; F-GUBA ;Embraer ERJ-145MP; Y50 ; 15 Mar 2001 ; 30 Mar 2001 ;F-GUBA Régional ;;;
; F-GUBD ;Embraer ERJ-145MP; Y50 ; 30 Oct 2000 ; 30 Mar 2001 ;F-GUBD Régional ;;;
; F-GUEA ;Embraer ERJ-145MP; Y50 ; 19 Dec 2000 ; 30 Mar 2001 ;F-GUEA Régional ;lsf Eurojet Aircraft Leasing ;;
; F-GUFD ;Embraer ERJ-145MP; Y50 ; 27 Jan 2000 ; 30 Mar 2001 ;F-GUFD Régional ;lsf GIE Catalina Bail ;;
; F-GUJA ;Embraer ERJ-145MP; Y50 ; 29 Mar 2001 ; 1 Oct 2001 ;F-GUJA Régional ;lsd ;;
; F-GUPT ;Embraer ERJ-145MP; Y50 ; 25 Sep 2000 ; 30 Mar 2001 ;F-GUPT Régional ;lsf Eurojet Aircraft Leasing ;;
; F-GVGS ;Embraer ERJ-145MP; Y50 ; 15 Mar 2001 ; 1 Apr 2001 ;F-GVGS Régional ;lsd ;;
; F-GVHD ;Embraer ERJ-145MP; Y50 ; 18 Oct 1999 ; 30 Mar 2001 ;F-GVHD Régional ;lsf GIE Catalina Bail ;;
; F-GPXA ;Fokker F100; Y109 ; 24 Mar 1999 ; 1 Apr 2001 ;F-GPXA Air France ;lsd ;;
