;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; A7-AHA ;Airbus A320-232; C12Y132 ; 11 Dec 2009 ;lsd ; الجميل (Al Jameel) ; 12.3 Years ;;;
; A7-AHB ;Airbus A320-232; C12Y132 ; 11 Dec 2009 ;;; 12.3 Years ;;;
; A7-AHC ;Airbus A320-232; C12Y132 ; 1 Feb 2010 ;lsd ;; 12.1 Years ;;;
; A7-AHD ;Airbus A320-232; C12Y132 ; 28 Sep 2010 ;lsd ;; 11.5 Years ;;;
; A7-AHE ;Airbus A320-232; C12Y132 ; 3 Nov 2010 ;lsd ;; 11.4 Years ;;;
; A7-AHF ;Airbus A320-232; C12Y132 ; 29 Nov 2010 ;lsd ;; 11.3 Years ;;;
; A7-AHG ;Airbus A320-232; C12Y132 ; 10 Mar 2011 ;lsd, "25 Years Of Excellence" sticker ;; 11 Years ;;;
; A7-AHH ;Airbus A320-232; C12Y132 ; 25 May 2011 ;lsd ;; 10.8 Years ;;;
; A7-AHI ;Airbus A320-232; C12Y132 ; 12 Jul 2011 ;lsd ; مكين ; 10.7 Years ;;;
; A7-AHJ ;Airbus A320-232; C12Y132 ; 8 Aug 2011 ;lsd ;; 10.6 Years ;;;
; A7-AHL ;Airbus A320-232; C12Y132 ; 29 Aug 2011 ;lsd, oneworld cs ;; 10.6 Years ;;;
; A7-AHO ;Airbus A320-232; C12Y132 ; 1 Sep 2011 ;lsd, oneworld cs ;; 10.6 Years ;;;
; A7-AHP ;Airbus A320-232(WL); C12Y120 ; 18 Oct 2011 ;lsd ;; 10.4 Years ;;;
; A7-AHQ ;Airbus A320-232(WL); C12Y120 ; 21 Dec 2011 ;lsd ;; 10.3 Years ;;;
; A7-AHR ;Airbus A320-232(WL); C12Y120 ; 19 Jan 2012 ;lsd ;; 10.2 Years ;;;
; A7-AHS ;Airbus A320-232(WL); C12Y120 ; 20 Feb 2012 ;lsd ;; 10.1 Years ;;;
; A7-AHT ;Airbus A320-232(WL); C12Y120 ; 10 Apr 2012 ;lsd ;; 10 Years ;;;
; A7-AHU ;Airbus A320-232(WL); C12Y120 ; 24 May 2012 ;lsd ;; 9.9 Years ;;;
; A7-AHW ;Airbus A320-232(WL); C12Y120 ; 13 Jul 2012 ;lsd ;; 9.7 Years ;;;
; A7-AHX ;Airbus A320-232(WL); C12Y120 ; 23 Nov 2012 ;;; 9.3 Years ;;;
; A7-AHY ;Airbus A320-232(WL); C12Y120 ; 13 Dec 2012 ;lsd ;; 9.3 Years ;;;
; A7-LAA ;Airbus A320-214(WL); C12Y132 ; 22 Apr 2015 ;lsd ;; 7.3 Years ;;;
; A7-LAB ;Airbus A320-214(WL); C12Y132 ; 22 Apr 2015 ;lsd ;; 7.1 Years ;;;
; A7-LAC ;Airbus A320-214(WL); C12Y153 ; 22 Apr 2015 ;lsd ;; 7 Years ;;;
; A7-LAD ;Airbus A320-214(WL); C12Y153 ; 22 Apr 2015 ;lsd, "25 Years Of Excellence" sticker ;; 7 Years ;;;
; A7-LAE ;Airbus A320-214(WL); C12Y156 ; 25 Jun 2015 ;lsd ;; 6.8 Years ;;;
; A7-LAF ;Airbus A320-214(WL); C12Y156 ; 3 Jul 2015 ;lsd ;; 6.7 Years ;;;
; A7-LAG ;Airbus A320-214(WL); C12Y156 ; 15 Sep 2015 ;lsd ;; 6.5 Years ;;;
; A7-LAH ;Airbus A320-214(WL); C12Y156 ; 19 Nov 2015 ;lsd ;; 6.4 Years ;;;
; A7-AIA ;Airbus A321-231; C12Y170 ; 8 Feb 2010 ; Parked, lsd ;; 12.1 Years ;;;
; A7-AIC ;Airbus A321-231; C12Y170 ; 13 Aug 2010 ;lsd ;; 11.6 Years ;;;
; A7-AID ;Airbus A321-231; C12Y170 ; 9 Dec 2010 ;lsd ;; 11.2 Years ;;;
; A7-ACG ;Airbus A330-202; C24Y236 ; 28 Apr 2006 ;lsd ; Al Wabra ; 15.9 Years ;;;
; A7-ACI ;Airbus A330-202; C24Y236 ; 17 May 2006 ;lsd ; Muaither ; 15.8 Years ;;;
; A7-ACK ;Airbus A330-202; C24Y236 ; 23 Nov 2006 ;lsd ;; 15.4 Years ;;;
