;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N804RA ;McDonnell Douglas MD-82 (DC-9-82);; 21 Jul 1998 ; 5 Aug 1998 ;N804RA Spirit Airlines ;;;
; N805RA ;McDonnell Douglas MD-82 (DC-9-82);; 17 Feb 1998 ; 30 Sep 1998 ;N805RA Spirit Airlines ;;;
; N821RA ;McDonnell Douglas MD-82 (DC-9-82);; 3 Jun 1992 ; 31 Aug 1999 ;N821RA American Airlines ;821 ;;
; N822RA ;McDonnell Douglas MD-82 (DC-9-82);; 9 Jun 1992 ; 31 Aug 1999 ;N822RA American Airlines ;;;
; N823RA ;McDonnell Douglas MD-82 (DC-9-82);; 1 May 1995 ; 31 Aug 1999 ;N823RA American Airlines ;;;
; N824RA ;McDonnell Douglas MD-82 (DC-9-82);; 8 May 1995 ; 31 Aug 1999 ;N824RA American Airlines ;;;
; N840RA ;McDonnell Douglas MD-82 (DC-9-82);; 18 Feb 1993 ; 15 Feb 1998 ;SE-DFX SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; N841RA ;McDonnell Douglas MD-82 (DC-9-82);; 1 Apr 1993 ; 12 Feb 1998 ;SE-DFU SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; N842RA ;McDonnell Douglas MD-82 (DC-9-82);; 30 Apr 1993 ; 13 Jul 1998 ;OY-KHE SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; N843RA ;McDonnell Douglas MD-82 (DC-9-82);; 2 Jun 1993 ; 16 Mar 1998 ;SE-DID SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; N844RA ;McDonnell Douglas MD-82 (DC-9-82);; 1 Oct 1993 ; 18 Jan 1995 ;LN-RLG SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; N845RA ;McDonnell Douglas MD-82 (DC-9-82);; Oct 1993 ; 16 Mar 1995 ;OY-KGT SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; N832RA ;McDonnell Douglas MD-83 (DC-9-83);; 17 Jul 1992 ; 31 Aug 1999 ;N832RA American Airlines ;lsd ;;
; N833RA ;McDonnell Douglas MD-83 (DC-9-83);; Aug 1992 ; 31 Aug 1999 ;N833RA American Airlines ;;;
; N834RA ;McDonnell Douglas MD-83 (DC-9-83);; Nov 1992 ; 31 Aug 1999 ;N834RA American Airlines ;;;
; N836RA ;McDonnell Douglas MD-83 (DC-9-83);; 15 Mar 1993 ; 31 Aug 1999 ;N836RA American Airlines ;;;
; N871RA ;McDonnell Douglas MD-83 (DC-9-83);; Jun 1993 ; 31 Aug 1999 ;N871RA American Airlines ;;;
; N872RA ;McDonnell Douglas MD-83 (DC-9-83);; Jun 1993 ; 31 Aug 1999 ;N872RA American Airlines ;lsd ;;
; N873RA ;McDonnell Douglas MD-83 (DC-9-83);; Aug 1993 ; 6 Nov 1998 ;HK-4167X Avianca ;;;
; N875RA ;McDonnell Douglas MD-83 (DC-9-83);; Sep 1993 ; 26 Apr 1999 ;I-SMED Meridiana ;lsd ;;
; N876RA ;McDonnell Douglas MD-83 (DC-9-83);; Oct 1993 ; Apr 1999 ;HK-4184X Avianca ;lsd ;;
; N878RA ;McDonnell Douglas MD-83 (DC-9-83);; 29 Jul 1994 ; 31 Aug 1999 ;N878RA American Airlines ;lsd ;;
; N879RA ;McDonnell Douglas MD-83 (DC-9-83);; 20 Sep 1994 ; 31 Aug 1999 ;N879RA American Airlines ;lsd ;;
; N880RA ;McDonnell Douglas MD-83 (DC-9-83);; 4 Oct 1994 ; 31 Aug 1999 ;N880RA American Airlines ;lsd ;;
; N881RA ;McDonnell Douglas MD-83 (DC-9-83);; 20 Apr 1996 ; 31 Aug 1999 ;N881RA American Airlines ;lsd ;;
; N882RA ;McDonnell Douglas MD-83 (DC-9-83);; 18 May 1996 ; 31 Aug 1999 ;N882RA American Airlines ;lsd ;;
; N750RA ;McDonnell Douglas MD-87 (DC-9-87);; Jan 1995 ; 28 Aug 1995 ;N750RA Great American Airways ;lsf Concord Asset Management ;;
; N751RA ;McDonnell Douglas MD-87 (DC-9-87); C12Y105 ; 17 Feb 1995 ; 31 Aug 1999 ;N751RA American Airlines ;751, lsd ;;
; N752RA ;McDonnell Douglas MD-87 (DC-9-87); F12Y105 ; 1 May 1995 ; 31 Aug 1999 ;N752RA American Airlines ;lsd ;;
; N753RA ;McDonnell Douglas MD-87 (DC-9-87);; 16 Nov 1995 ; 31 Aug 1999 ;N753RA American Airlines ;;;
; N754RA ;McDonnell Douglas MD-87 (DC-9-87);; 28 Nov 1995 ; 31 Aug 1999 ;N754RA American Airlines ;;;
; N755RA ;McDonnell Douglas MD-87 (DC-9-87);; 25 Mar 1997 ; 31 Aug 1999 ;N755RA American Airlines ;;;
; N901RA ;McDonnell Douglas MD-90-30;; 15 Mar 1996 ; 31 Aug 1999 ;N901RA American Airlines ;Orange County Flyer, 901 ;;
; N902RA ;McDonnell Douglas MD-90-30;; 28 Mar 1996 ; 31 Aug 1999 ;N902RA American Airlines ;Orange County Flyer, 902 ;;
; N903RA ;McDonnell Douglas MD-90-30;; 30 Jul 1996 ; 31 Aug 1999 ;N903RA American Airlines ;Silicon Valley Flyer, 903 ;;
; N904RA ;McDonnell Douglas MD-90-30;; 8 Dec 1997 ; 31 Aug 1999 ;N904RA American Airlines ;5th Anniversary Flyer, 904 ;;
; N905RA ;McDonnell Douglas MD-90-30;; 12 Dec 1997 ; 31 Aug 1999 ;N905RA American Airlines ;Ski Lake Tahoe, 905 ;;
