;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N8166A ;Douglas DC-8-33(F); Cargo ; 20 Jul 1980 ; Nov 1986 ;N8166A TAAG - Linhas Aereas de Angola Airlines ;;;
; N902R ;Douglas DC-8-55(F); Cargo ; 8 Jan 1983 ; 1 Jul 1983 ;N902R Zantop International Airlines ;lsd ;;
; N911R ;Douglas DC-8-55CF Jet Trader;; 7 Jan 1983 ; Feb 1984 ;N911R Air Transport International ;lsf Overseas National Airways (ONA) ;;
; PH-DCT ;Douglas DC-8-55CF Jet Trader;; 29 Sep 1981 ; Jul 1983 ;N29953 United Air Leasing ;lsf KLM Royal Dutch Airlines ;;
; PH-DCU ;Douglas DC-8-55CF Jet Trader;; 29 Sep 1981 ; 16 Sep 1983 ;N29954 United Air Leasing ;lsf KLM Royal Dutch Airlines ;;
; N1804 ;Douglas DC-8-62(F); Cargo ; 15 Oct 1990 ; Jun 1992 ;N1804 Arrow Air ;lsf Arrow Air ;;
; N1805 ;Douglas DC-8-62; Y189 ; Mar 1984 ; 1 Apr 1989 ;N1805 Pegasus International Travel Club ;lsd ;;
; N1806 ;Douglas DC-8-62;; Jan 1984 ; May 1984 ;N1806 Surinam Airways ;lsd ;;
; N1808E ;Douglas DC-8-62; Y189 ; Oct 1983 ; 15 Dec 1990 ;N1808E Arrow Air ;lsd ;;
; N4935C ;Douglas DC-8-63; Y250 ; 21 Nov 1992 ; 10 Mar 1999 ;N4935C Agro Air ;lsd ;;
; N772CA ;Douglas DC-8-62; Y189 ; 2 Apr 1990 ;; Scrapped ;;;
; N810BN ;Douglas DC-8-62;; 1 Dec 1983 ; 15 Aug 1986 ;N810BN LACSA Lineas Aéreas Costarricenses ;lsd ;;
; N8973U ;Douglas DC-8-62H;; 27 Feb 1987 ; 15 Apr 1987 ;N8973U Hawaiian Airlines ;lsd ;;
; N8974U ;Douglas DC-8-62H(F); Cargo ; 26 Apr 1991 ; 27 Feb 1997 ;N8974U Air Transport International ;lsd ;;
; N303EA ;Lockheed L-1011-385-1 TriStar 1; Y345 ; 18 May 1991 ; Apr 1996 ;TC-RAG Holiday Airlines ;lsd ;;
; N304EA ;Lockheed L-1011-385-1 TriStar 1; Y345 ; 17 Dec 1993 ; Apr 1996 ;N304EA Cruda Ray Investments ;lsd ;;
; N313EA ;Lockheed L-1011-385-1 TriStar 1; Y345 ; 26 Jun 1991 ; 1 Sep 1996 ; Scrapped ;lsd ;;
; N319EA ;Lockheed L-1011-385-1 TriStar 1; Y345 ; 15 Nov 1992 ; 1 Sep 1996 ;P4-IAH IAL Aircraft Holdings ;lsd ;;
