;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N819F ;Douglas DC-8-21(F); Cargo ; 30 Jun 1978 ; Jun 1980 ;N819F Zantop International Airlines ;;;
; N821F ;Douglas DC-8-21(F); Cargo ; 1 Jul 1978 ; 1 Nov 1989 ;S9-NAN Transafrik International ;lsf Plymouth Leasing Corporation ;;
; N421AJ ;Douglas DC-8-33(F); Cargo ; 29 Mar 1977 ; May 1980 ;N421AJ Zantop International Airlines ;lsd ;;
; N711LF ;Douglas DC-8-33(F); Cargo ; 4 Oct 1977 ; 7 Feb 1978 ;N711LF Antillean Airlines (ALM) ;;;
; N8246U ;Douglas DC-8-33(F); Cargo ; 4 Jan 1978 ; Jul 1981 ;N8246U Emery Worldwide Airlines ;lsf Plymouth Leasing Corporation ;;
; N8252U ;Douglas DC-8-33(F); Cargo ; 4 Jan 1978 ; Jul 1982 ;N8252U Emery Worldwide Airlines ;lsf Plymouth Leasing Corporation ;;
; N8258U ;Douglas DC-8-33(F); Cargo ; 1 Sep 1975 ; 29 Jul 1980 ;C-GSWQ Swiftair Cargo ;lsd ;;
; N8266U ;Douglas DC-8-33(F); Cargo ; 3 Jul 1979 ; 3 Sep 1980 ;C-GSWX Swiftair Cargo ;;;
; N900CL ;Douglas DC-8-33;; 7 Jan 1982 ; Jun 1982 ; Scrapped ;;;
; N906CL ;Douglas DC-8-31;; 7 Jan 1982 ; Jun 1982 ; Scrapped ;;;
; N54FA ;Douglas DC-8-54(F); Cargo ; 3 Sep 1983 ; 3 Apr 1985 ;N54FA Aeromar Airlines ;lsd ;;
