;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; 9XR-WN ;Airbus A330-243; C20W21Y203 ; 26 Sep 2016 ;; Ubumwe ; 5.6 Years ;;
; 9XR-WP ;Airbus A330-343; C30W21Y223 ; 30 Nov 2016 ;; Umurage ; 5.3 Years ;;
; 9XR-WJ ;Boeing 737-7K5(WL); C12Y108 ; 17 Apr 2013 ;lsd ;; 14.9 Years ;;
; 9XR-WK ;Boeing 737-7K5(WL); C12Y108 ; 27 Jun 2013 ;lsd ;; 14.7 Years ;;
; 9XR-WF ;Boeing 737-84Y(WL); C16Y138 ; 25 Aug 2011 ;;; 10.6 Years ;;
; 9XR-WG ;Boeing 737-84Y(WL); C16Y138 ; 26 Oct 2011 ;;; 10.4 Years ;;
; 9XR-WQ ;Boeing 737-8SH(WL); C16Y138 ; 14 Nov 2016 ;lsd ; Kalisimbi ; 5.3 Years ;;
; 9XR-WR ;Boeing 737-8SH(WL); C16Y138 ; 25 May 2017 ;lsd ; Muhabura ; 4.8 Years ;;
; 9XR-WH ;Bombardier CRJ-900 (CL-600-2D24); C6Y69 ; 17 Oct 2012 ;;; 9.4 Years ;;
; 9XR-WI ;Bombardier CRJ-900 (CL-600-2D24); C6Y69 ; 31 Oct 2012 ;;; 9.3 Years ;;
; 9XR-WL ;Bombardier DHC-8-402Q Dash 8; C7Y60 ; 25 Feb 2014 ;;; 8.1 Years ;;
; 9XR-WM ;Bombardier DHC-8-402Q Dash 8; C7Y60 ; 22 Jun 2015 ;;; 6.9 Years ;;
