;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; LN-BRE ;Boeing 737-405; CY150 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BRE SAS Scandinavian Airlines ;Hakon V Magnusson ;;
; LN-BRI ;Boeing 737-405; CY150 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BRI SAS Scandinavian Airlines ;Harald Harfagre, lsd ;;
; LN-BRQ ;Boeing 737-405; CY150 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BRQ SAS Scandinavian Airlines ;Harald Grafell ;;
; LN-BUF ;Boeing 737-405; CY150 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BUF SAS Scandinavian Airlines ;Magnus den Gode, lsd ;;
; LN-BRD ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 24 Sep 2007 ;VP-BRP Aeroflot-Nord ;Harald Gille ;;
; LN-BRH ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BRH SAS Scandinavian Airlines ;Hakon den Gode ;;
; LN-BRJ ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BRJ SAS Scandinavian Airlines ;Olav Tryggvason ;;
; LN-BRK ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 30 Sep 2009 ;YR-BAH Blue Air ;Olav Trygvasson ;;
; LN-BRM ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 29 Aug 2009 ;EI-EOE BBAM ;Olav den Hellige, lsd ;;
; LN-BRO ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BRO SAS Scandinavian Airlines ;Magnus Haraldsson, lsd ;;
; LN-BRR ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 15 Mar 2009 ;N647SR European Aviation ;Halvdan Svarte ;;
; LN-BRS ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 23 Dec 2009 ;N139MN Southern Aircraft Consultancy ;Olav Kyrre ;;
; LN-BRV ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BRV SAS Scandinavian Airlines ;Hakon Sverresson, lsd ;;
; LN-BRX ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BRX SAS Scandinavian Airlines ;Sigurd Munn, lsd ;;
; LN-BUC ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BUC SAS Scandinavian Airlines ;Magnus Erlingsson, lsd ;;
; LN-BUD ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BUD SAS Scandinavian Airlines ;Inge Krokrygg, lsd ;;
; LN-BUE ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BUE SAS Scandinavian Airlines ;Erling Skjalgsson, lsd ;;
; LN-BUG ;Boeing 737-505; CY120 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-BUG SAS Scandinavian Airlines ;Oystein Haraldsson, lsd ;;
; LN-RPE ;Boeing 737-683; CY116 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RPE SAS Scandinavian Airlines ;Edla Viking ;;
; LN-RPF ;Boeing 737-683; CY112 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RPF SAS Scandinavian Airlines ;Frede Viking ;;
; LN-RRD ;Boeing 737-683; CY123 ; 21 Jan 2008 ; 1 Oct 2009 ;LN-RRD SAS Scandinavian Airlines ;Embla Viking ;;
; LN-RRY ;Boeing 737-683; CY112 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RRY SAS Scandinavian Airlines ;Signe Viking ;;
; LN-RNN ;Boeing 737-783; CY140 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RNN SAS Scandinavian Airlines ;Borgny Viking ;;
; LN-RNO ;Boeing 737-783; CY140 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RNO SAS Scandinavian Airlines ;Gjuke Viking, lsd ;;
; LN-RPJ ;Boeing 737-783; CY140 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RPJ SAS Scandinavian Airlines ;Grimhild Viking ;;
; LN-RRA ;Boeing 737-783(WL); CY131 ; 19 Jun 2007 ; 1 Oct 2009 ;LN-RRA SAS Scandinavian Airlines ;Steinar Viking ;;
; LN-RRB ;Boeing 737-783(WL); CY131 ; 30 Jul 2007 ; 1 Oct 2009 ;LN-RRB SAS Scandinavian Airlines ;Dag Viking ;;
; LN-RRM ;Boeing 737-783; CY140 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RRM SAS Scandinavian Airlines ;Erland Viking ;;
; LN-TUA ;Boeing 737-705; CY134 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-TUA SAS Scandinavian Airlines ;Ingeborg Eriksdatter, lsd ;;
; LN-TUD ;Boeing 737-705; CY134 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-TUD SAS Scandinavian Airlines ;Margrete Skulesdatter, lsd ;;
; LN-TUF ;Boeing 737-705; CY134 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-TUF SAS Scandinavian Airlines ;Tyra Haraldsdatter, lsd ;;
; LN-TUH ;Boeing 737-705; CY134 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-TUH SAS Scandinavian Airlines ;Margrete Ingesdatter, lsd ;;
; LN-TUI ;Boeing 737-705; CY134 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-TUI SAS Scandinavian Airlines ;Kristin Knudsdatter, lsd ;;
; LN-TUJ ;Boeing 737-705(WL); CY134 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-TUJ SAS Scandinavian Airlines ;Eirik Blodøks ;;
; LN-TUK ;Boeing 737-705(WL); CY134 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-TUK SAS Scandinavian Airlines ;Inge Bårdsson ;;
; LN-TUL ;Boeing 737-705(WL); CY134 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-TUL SAS Scandinavian Airlines ;Håkon IV Håkonsson ;;
; LN-TUM ;Boeing 737-705(WL); CY134 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-TUM SAS Scandinavian Airlines ;Øystein Magnusson ;;
; LN-RCN ;Boeing 737-883;; 1 Jun 2007 ; 1 Oct 2009 ;LN-RCN SAS Scandinavian Airlines ;Hedrun Viking ;;
; LN-RRE ;Boeing 737-85P(WL);; 24 Apr 2008 ; 1 Oct 2009 ;LN-RRE SAS Scandinavian Airlines ;Knut Viking ;;
; LN-RRF ;Boeing 737-85P(WL);; 15 May 2008 ; 1 Oct 2009 ;LN-RRF SAS Scandinavian Airlines ;Froydis Viking, lsd ;;
; LN-RRG ;Boeing 737-85P(WL);; 26 Jun 2008 ; 1 Oct 2009 ;LN-RRG SAS Scandinavian Airlines ;Einar Viking, lsd ;;
; LN-RNC ;Fokker F50; Y50 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RNC SAS Scandinavian Airlines ;Eivind Viking, lsd ;;
; LN-RND ;Fokker F50; Y50 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RND SAS Scandinavian Airlines ;Inge Viking, lsd ;;
; LN-RNE ;Fokker F50; Y50 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RNE SAS Scandinavian Airlines ;Ebbe Viking, lsd ;;
; LN-RNF ;Fokker F50; Y50 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RNF SAS Scandinavian Airlines ;Leif Viking, lsd ;;
; LN-RNG ;Fokker F50; Y50 ; 1 Jun 2007 ; 1 Oct 2009 ;LN-RNG SAS Scandinavian Airlines ;Gudrid Viking, lsd ;;
; LN-RNM ;Fokker F50; Y50 ; 1 Jun 2007 ; 27 Feb 2009 ;PH-ZDI Aircraft Finance & Trading ;Ingemar Viking, lsd ;;
