;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; UP-B3720 ;Boeing 737-8 MAX; Y186 ; 28 Mar 2018 ;; 3.9 Years ;;
; UP-B3726 ;Boeing 737-9 MAX; Y213 ; 27 Aug 2021 ;lsd ; 0.6 Years ;;
; UP-B3710 ;Boeing 737-31S; Y144 ; 27 Sep 2011 ; Parked ; 24 Years ;;
; UP-B3712 ;Boeing 737-35B; Y144 ; 29 Dec 2012 ; Parked ; 30.8 Years ;;
; UP-B3718 ;Boeing 737-3U3; Y144 ; 24 Jun 2017 ;; 24.1 Years ;;
; UP-B3721 ;Boeing 737-3H4(WL); Y144 ; 17 Jul 2018 ;; 25.2 Years ;;
; UP-B3729 ;Boeing 737-3K2; Y144 ; Jul 2019 ; Parked ; 31.9 Years ;;
; UP-B3722 ;Boeing 737-522; Y118 ; 17 Aug 2018 ; Parked ; 28.7 Years ;;
; UP-B3723 ;Boeing 737-522; Y118 ; 12 Aug 2018 ;; 29.3 Years ;;
; UP-B3724 ;Boeing 737-548; Y118 ; 25 Aug 2018 ; Parked ; 29.9 Years ;;
; UP-B3725 ;Boeing 737-7GL(WL); Y149 ; 6 Sep 2018 ; Parked ; 13.9 Years ;;
; UP-B3730 ;Boeing 737-82R(WL); Y189 ; 30 Jul 2021 ;; 11.9 Years ;;
; UP-B3731 ;Boeing 737-82R(WL); Y189 ; 10 Jul 2021 ;; 11 Years ;;
; UP-B3732 ;Boeing 737-82R(WL); Y189 ; 3 Oct 2021 ;; 13.5 Years ;;
; UP-B5702 ;Boeing 757-21B; C8Y192 ; 3 May 2011 ;opf Sunday Airlines ; 30.9 Years ;;
; UP-B5703 ;Boeing 757-21B; Y235 ; 6 Sep 2012 ;opf Sunday Airlines ; 30.5 Years ;;
; UP-B5704 ;Boeing 757-21B; Y235 ; 20 Mar 2013 ;opf Sunday Airlines ; 29.8 Years ;;
; UP-B5705 ;Boeing 757-204; Y235 ; May 2018 ;opf Sunday Airlines ; 28 Years ;;
; UP-B6703 ;Boeing 767-332ER; C12Y278 ; 4 Jul 2014 ;opf Sunday Airlines ; 21.7 Years ;;
; UP-CJ004 ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 7 Dec 2011 ;; 18.1 Years ;;
; UP-CJ005 ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 18 Jan 2012 ;; 18.1 Years ;;
; UP-CJ007 ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 26 Dec 2012 ;; 19.5 Years ;;
; UP-CJ008 ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 8 Oct 2012 ;; 22.2 Years ;;
; UP-CJ011 ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; Aug 2013 ; Parked ; 19.2 Years ;;
; UP-CJ012 ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 21 Aug 2013 ; Parked ; 19 Years ;;
; UP-CJ015 ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 29 Nov 2017 ; Parked ; 19.5 Years ;;
