;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; TC-SGA ;Airbus A300B2K-3C;; 12 Mar 2006 ; 9 May 2006 ;TC-SGA Mahan Airlines ;;;
; TC-SGB ;Airbus A310-304;; Dec 2012 ; 30 Nov 2011 ; Stored ;;;
; TC-SGC ;Airbus A310-304; C22Y187 ; 27 Dec 2011 ; 27 Sep 2012 ;TC-SGC Iran Airtour ;;;
; TC-SGN ;Airbus A320-214;; 29 Apr 2013 ; 5 Sep 2013 ;M-RAFF Air Salvage International ;lsd ;;
; TC-SGJ ;Airbus A330-343; C36Y282 ; 20 Dec 2010 ; 22 May 2011 ;C-GTSD Air Transat ;lsd ;;
; TC-SGD ;Boeing 737-48E;; 30 Mar 2010 ; Jul 2010 ;TC-SGD Atlasjet ;;;
; TC-SGE ;Boeing 737-48E;; 1 May 2010 ; 28 Sep 2010 ;N775SJ WFBN Wells Fargo Bank Northwest ;;;
; TC-SGF ;Boeing 737-83N(WL);; 11 Apr 2010 ; Jan 2011 ;N151LF ILFC ;lsd ;;
; TC-SGG ;Boeing 737-83N(WL);; 31 Oct 2010 ; Jan 2011 ;N161LF ILFC ;lsd ;;
; TC-SGH ;Boeing 737-86J(WL); Y186 ; 28 Apr 2009 ; 9 Jun 2011 ;N862AG Aviation Capital Group (ACG) ;Vakfıkebir ;;
; TC-SGI ;Boeing 737-86J(WL); Y186 ; 13 Mar 2010 ; 31 May 2011 ;N962AG Aviation Capital Group (ACG) ;Maçka ;;
; TC-SGK ;Boeing 737-8S3;; 9 Sep 2010 ; 15 Apr 2011 ;TC-TJI Corendon Airlines ;lsd ;;
; TC-SGL ;Boeing 737-8S3;; 10 Oct 2010 ; 19 Apr 2011 ;TC-TJJ Corendon Airlines ;lsd ;;
