;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; YV-1016C ;ATR 42-320;; 11 May 1999 ; Jul 2003 ;N215BB Johnson Aviation ;lsd ;;
; YV-1019C ;ATR 42-320;; 16 Nov 2000 ; 1 Jun 2004 ;5H-PAP Precision Air ;lsd ;;
; YV-1023C ;ATR 42-320;; 28 Jun 2001 ; 8 Apr 2003 ;VT-ADF Air Deccan ;lsd ;;
; YV-1036C ;ATR 42-320;; 26 Mar 2001 ; 8 Apr 2003 ;F-WQNC ATRiam Capital ;lsd ;;
; YV1421 ;ATR 42-320;; Sep 2006 ; 2009 ; Stored ;La Inmaculada Concepción ;;
; YV1422 ;ATR 42-320;; Jun 2006 ; 2011 ; Stored ;Virgen de Coromoto ;;
; YV1423 ;ATR 42-320;; 2 Oct 2006 ;; Stored ;Virgen del Carmen ;;
; YV1424 ;ATR 42-320;; Jun 2006 ;; Stored ;Mi Chinita ;;
; YV1449 ;ATR 42-300; Y46 ; 28 Oct 2005 ; 21 Feb 2008 ; Written Off ;;;
; YV2314 ;ATR 42-300; Y46 ; 15 Mar 2007 ;; Stored ;lsd ;;
; N720TW ;Boeing 757-231;; 1 Jul 2004 ; 29 Dec 2005 ;N720TW Pegasus Aviation ;lsd ;;
; N740PA ;Boeing 757-2G5;; Jul 2005 ; 1 Oct 2006 ;N740PA Primaris Airlines ;lsf Primaris Airlines ;;
; TF-FII ;Boeing 757-208;; 3 May 2010 ; 24 May 2010 ;TF-FII Icelandair ;lsf Icelandair ;;
; YV2242 ;Boeing 757-236; C12Y154 ; 28 Nov 2006 ; 2008 ;YV2242 SBA Airlines ;lsd ;;
; YV2243 ;Boeing 757-236; C12Y154 ; 3 Oct 2006 ; 2008 ;YV2243 SBA Airlines ;lsd ;;
; SP-LPC ;Boeing 767-35DER;; 13 Dec 2006 ; 21 Mar 2007 ;SP-LPC LOT - Polish Airlines ;lsf LOT - Polish Airlines ;;
; TF-FIA ;Boeing 767-3Y0ER;; 3 Jan 2006 ; 16 May 2006 ;4X-EAP El Al Israel Airlines ;lsf Icelandair ;;
; TF-FIB ;Boeing 767-383ER; C28Y239 ; 6 Nov 2006 ; 13 Sep 2008 ;TF-FIB Travel Service ;lsf Icelandair ;;
; TF-LLA ;Boeing 767-366ER;; 14 Jul 2006 ; 10 Nov 2006 ;TF-LLA Ghana International Airlines ;lsf Icelandair ;;
; YV-1040C ;McDonnell Douglas DC-10-30;; 24 Sep 2002 ;; Scrapped ;Ciudad Puerto de la Cruz ;;
; YV-1052C ;McDonnell Douglas DC-10-30;; 14 May 2003 ; 13 Dec 2005 ; Scrapped ;lsd ;;
