;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-ZAPK ;British Aerospace 146-200QC; Y80 / Cargo ; 20 May 2005 ; Aug 2006 ;G-ZAPK Titan Airways ;lsf Titan Airways ;;
; G-BWIR ;Dornier 328-110; CY31 ; 1 Jan 2011 ; 1 Aug 2011 ;G-BWIR Aer Arann ;;;
; G-BWWT ;Dornier 328-110; CY31 ; 26 Mar 2011 ; Jul 2011 ;G-BWWT Suckling Airways ;;;
; G-BYHG ;Dornier 328-110; Y31 ; 22 Jun 2011 ; Jul 2011 ;G-BYHG Suckling Airways ;;;
; G-BYMK ;Dornier 328-110; CY31 ; 1 Jan 2011 ; Jul 2011 ;G-BYMK Suckling Airways ;;;
; G-BYML ;Dornier 328-110; CY31 ; 31 Oct 1999 ; 31 Jul 2009 ;G-BYML Cityjet ;lsd ;;
; G-BYTY ;Dornier 328-110; CY31 ; 19 Nov 1999 ; 18 Nov 2004 ;D-CIAA Dornier ;lsf Dornier ;;
; G-BZIF ;Dornier 328-110;; 20 Jun 2000 ; 2 Dec 2004 ;D-CIAB Dornier ;;;
; G-BZOG ;Dornier 328-110; CY31 ; 19 Dec 2000 ; Jul 2011 ;G-BZOG Suckling Airways ;;;
; G-CCGS ;Dornier 328-110; Y31 ; 5 May 2011 ; Jul 2011 ;G-CCGS Suckling Airways ;;;
