;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-1016 ;Airbus A319-133(WL); C8Y120 ; 1 Dec 2017 ;lsd ; 4.3 Years ;;
; B-6153 ;Airbus A319-115; C8Y120 ; 1 Aug 2006 ;lsd ; 15.6 Years ;;
; B-6196 ;Airbus A319-115; C8Y120 ; 16 Feb 2006 ;lsd ; 16.1 Years ;;
; B-6197 ;Airbus A319-115; C8Y120 ; 16 Feb 2006 ;lsd ; 16.1 Years ;;
; B-8665 ;Airbus A319-133(WL); C8Y120 ; 4 Sep 2017 ;lsd ; 4.5 Years ;;
; B-8667 ;Airbus A319-133(WL); C8Y120 ; 16 Oct 2017 ;lsd ; 4.4 Years ;;
; B-8693 ;Airbus A319-133(WL); C8Y120 ; 10 Nov 2017 ;lsd ; 4.3 Years ;;
; B-8798 ;Airbus A319-133(WL); C8Y120 ; 26 Jun 2017 ;lsd ; 4.7 Years ;;
; B-1601 ;Airbus A320-232; C8Y144 ; 17 Oct 2014 ;lsd ; 7.4 Years ;;
; B-1602 ;Airbus A320-232(WL); C8Y144 ; 3 Nov 2014 ;lsd ; 7.4 Years ;;
; B-1683 ;Airbus A320-214(WL); C8Y150 ; 23 Apr 2015 ;lsd ; 6.9 Years ;;
; B-1685 ;Airbus A320-214(WL); C8Y150 ; 22 Jul 2015 ;lsd ; 6.7 Years ;;
; B-1841 ;Airbus A320-232; C8Y150 ; 5 Jun 2014 ;lsd ; 7.8 Years ;;
; B-1842 ;Airbus A320-232; C8Y150 ; 1 Jul 2014 ;lsd ; 7.7 Years ;;
; B-6286 ;Airbus A320-214; C8Y144 ; 19 Oct 2006 ;; 15.4 Years ;;
; B-6296 ;Airbus A320-214; C8Y144 ; 5 Dec 2006 ;Star Alliance cs ; 15.3 Years ;;
; B-6297 ;Airbus A320-214; C8Y144 ; 11 Dec 2006 ;Star Alliance cs ; 15.3 Years ;;
; B-6351 ;Airbus A320-214; C8Y150 ; 22 Jan 2008 ;lsd ; 14.2 Years ;;
; B-6352 ;Airbus A320-214; C8Y150 ; 25 Jan 2008 ;lsd ; 14.2 Years ;;
; B-6357 ;Airbus A320-214; C8Y150 ; 28 Mar 2008 ;lsd ; 14 Years ;;
; B-6358 ;Airbus A320-214; C8Y144 ; 17 Mar 2008 ;; 14 Years ;;
; B-6359 ;Airbus A320-214; C8Y150 ; 29 May 2008 ;lsd ; 13.8 Years ;;
; B-6360 ;Airbus A320-214; C8Y144 ; 26 Jun 2008 ;; 13.7 Years ;;
; B-6377 ;Airbus A320-214; C8Y150 ; 11 Sep 2008 ;lsd ; 13.5 Years ;;
; B-6392 ;Airbus A320-214; C8Y144 ; 7 Nov 2008 ;; 13.3 Years ;;
; B-6550 ;Airbus A320-214; C8Y144 ; 21 Jan 2009 ;; 13.1 Years ;;
; B-6563 ;Airbus A320-214; C8Y144 ; 6 Aug 2009 ;; 12.6 Years ;;
; B-6565 ;Airbus A320-214; C8Y144 ; 16 Jul 2009 ;; 12.7 Years ;;
; B-6566 ;Airbus A320-214; C8Y144 ; 7 Apr 2009 ;; 12.9 Years ;;
; B-6567 ;Airbus A320-214; C8Y144 ; 5 May 2009 ;; 12.9 Years ;;
; B-6568 ;Airbus A320-214; C8Y144 ; 13 May 2009 ;; 12.8 Years ;;
; B-6569 ;Airbus A320-214; C8Y144 ; 7 Apr 2009 ;; 13 Years ;;
; B-6570 ;Airbus A320-214; C8Y144 ; 13 Jan 2010 ;; 12.2 Years ;;
; B-6571 ;Airbus A320-232; C8Y150 ; 15 Jun 2009 ;; 12.8 Years ;;
; B-6589 ;Airbus A320-214; C8Y144 ; 21 Sep 2009 ;; 12.5 Years ;;
; B-6613 ;Airbus A320-232; C8Y150 ; 21 Jan 2010 ;; 12.1 Years ;;
; B-6615 ;Airbus A320-232; C8Y150 ; 25 Feb 2010 ;; 12.1 Years ;;
; B-6647 ;Airbus A320-214; C8Y144 ; 1 Mar 2010 ;; 12 Years ;;
; B-6648 ;Airbus A320-214; C8Y144 ; 28 Apr 2010 ;; 11.9 Years ;;
; B-6649 ;Airbus A320-214; C8Y144 ; 26 May 2010 ;; 11.8 Years ;;
; B-6650 ;Airbus A320-232; C8Y150 ; 17 May 2010 ;; 11.8 Years ;;
; B-6690 ;Airbus A320-232; C8Y150 ; 15 Jul 2010 ;; 11.7 Years ;;
; B-6691 ;Airbus A320-232; C8Y150 ; 17 Aug 2010 ; Parked ; 11.6 Years ;;
; B-6692 ;Airbus A320-232; C8Y150 ; 9 Sep 2010 ;; 11.5 Years ;;
; B-6720 ;Airbus A320-232; C8Y150 ; 5 Nov 2010 ;; 11.4 Years ;;
; B-6721 ;Airbus A320-232; C8Y150 ; 2 Dec 2010 ;; 11.3 Years ;;
; B-6722 ;Airbus A320-232; C8Y150 ; 20 Dec 2010 ;; 11.2 Years ;;
; B-6740 ;Airbus A320-232; C8Y150 ; 21 Jan 2011 ;; 11.1 Years ;;
; B-6749 ;Airbus A320-232; C8Y150 ; 31 Mar 2011 ;; 11 Years ;;
; B-6750 ;Airbus A320-232; C8Y150 ; 29 Apr 2011 ;; 10.9 Years ;;
; B-6780 ;Airbus A320-232; C8Y150 ; 27 May 2011 ;; 10.8 Years ;;
; B-6781 ;Airbus A320-232; C8Y150 ; 16 Jun 2011 ;; 10.7 Years ;;
; B-6806 ;Airbus A320-232; C8Y144 ; 21 Sep 2011 ;; 10.5 Years ;;
; B-6807 ;Airbus A320-232; C8Y144 ; 27 Oct 2011 ;; 10.4 Years ;;
