;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N801SA ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; Nov 1998 ; 22 Jul 2003 ;C-GZEW Bombardier Capital ;lsd ;;
; N802SA ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; Nov 1998 ; 27 Jun 2002 ;V2-LFU Caribbean Star Airlines ;lsd ;;
; N803SA ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 12 Nov 1998 ; 5 Apr 2002 ;N803SA Bombardier Capital ;lsd ;;
; N804SA ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 27 Jan 1999 ; 18 Mar 2002 ;N804SA Piedmont Airlines ;;;
; N805SA ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 22 Oct 1999 ; 20 Jul 2001 ;N330EN Piedmont Airlines ;;;
; N806SA ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 12 Jul 1999 ; 25 Jan 2002 ;N806SA Piedmont Airlines ;;;
; N295SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 27 Jan 2017 ;VH-ZJE JetGo Australia ;lsd ;;
; N297SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 24 Oct 2016 ;VH-ZJG JetGo Australia ;297, lsd ;;
; N299SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 14 May 2018 ;N299SK Southern Aircraft Consultancy ;299, lsd ;;
; N371SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 14 May 2018 ;N371SK Southern Aircraft Consultancy ;371, lsd ;;
; N372SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 26 Oct 2016 ;ZS-ALL Airlink ;372 ;;
; N373SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 26 Oct 2016 ;ZS-ALM Airlink ;373 ;;
; N374SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 4 Oct 2017 ;ZS-ALF Airlink ;374 ;;
; N375SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 31 May 2017 ;ZS-ALO Airlink ;;;
; N378SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 10 Jul 2015 ; 10 May 2018 ;ZS-ALU Airlink ;378 ;;
; N379SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 9 Feb 2017 ;ZS-ALR Airlink ;;;
; N380SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 1 Jan 2015 ; 19 Apr 2017 ;ZS-ALN Airlink ;;;
; N381SK ;Embraer ERJ-140LR (ERJ-135KL); Y44 ; 10 Jul 2015 ; 17 Oct 2018 ;ZS-ALY Airlink ;381 ;;
; N257JQ ;Embraer ERJ-145LR; Y50 ; 1 Jan 2015 ; 28 May 2019 ;N257JQ Key Lime Air ;257 ;;
; N258JQ ;Embraer ERJ-145LR; Y50 ; 1 Jan 2015 ; 7 Jul 2016 ;N258JQ CIT Leasing Corporation ;258 ;;
; N259JQ ;Embraer ERJ-145LR; Y50 ; 1 Jan 2015 ; 22 Apr 2016 ;N259JQ Delta Connection ;259 ;;
; N260SK ;Embraer ERJ-145LR; Y50 ; 21 Apr 2016 ; 31 Jan 2017 ;N260SK Republic Airlines ;;;
; N261SK ;Embraer ERJ-145LR; Y50 ; 2 Jun 2015 ; 14 Aug 2017 ;5N-BUY Air Peace ;261 ;;
; N262SK ;Embraer ERJ-145LR; Y50 ; 21 Jul 2015 ; 16 Aug 2017 ;5N-BUZ Air Peace ;262 ;;
; N263SK ;Embraer ERJ-145LR; Y50 ; 30 Oct 2015 ; 16 Aug 2017 ;5N-BVD Air Peace ;263 ;;
; N264SK ;Embraer ERJ-145LR; Y50 ; 20 May 2016 ; 12 Dec 2017 ;D2-FDF AeroJet ;;;
; N265SK ;Embraer ERJ-145LR; Y50 ; 1 Jan 2015 ; 8 Sep 2018 ; Scrapped ;265 ;;
; N266SK ;Embraer ERJ-145LR; Y50 ; 1 Jan 2015 ; 20 Nov 2015 ;N266SK Southern Aircraft Consultancy ;266 ;;
; N267SK ;Embraer ERJ-145LR; Y50 ; 3 Aug 2015 ; 8 Sep 2018 ; Scrapped ;267, lsd ;;
