;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-2298 ;Airbus A319-133; C8Y124 ; 4 Aug 2005 ;lsd ; 16.6 Years ;;;
; B-2299 ;Airbus A319-133; C8Y124 ; 14 Nov 2005 ;lsd ; 16.3 Years ;;;
; B-2300 ;Airbus A319-133; C8Y124 ; 20 Dec 2005 ;lsd ; 16.2 Years ;;;
; B-6043 ;Airbus A319-133; C8Y124 ; 29 Oct 2004 ;lsd ; 17.4 Years ;;;
; B-6045 ;Airbus A319-133; C8Y124 ; 7 Dec 2004 ;lsd ; 17.3 Years ;;;
; B-6054 ;Airbus A319-133; C8Y124 ; 14 Jul 2005 ;lsd ; 16.7 Years ;;;
; B-6171 ;Airbus A319-133; C8Y124 ; 27 Apr 2007 ;lsd ; 17 Years ;;;
; B-6173 ;Airbus A319-133; C8Y124 ; 31 May 2007 ;lsd ; 14.8 Years ;;;
; B-6175 ;Airbus A319-133; C8Y124 ; 31 May 2007 ; Parked, lsd ; 14.8 Years ;;;
; B-6176 ;Airbus A319-133; C8Y124 ; 31 May 2007 ; Parked, lsd ; 14.8 Years ;;;
; B-6185 ;Airbus A319-133; C8Y124 ; 23 Oct 2008 ;; 13.4 Years ;;;
; B-6406 ;Airbus A319-133; C8Y124 ; 7 Jul 2009 ;; 12.7 Years ;;;
; B-6410 ;Airbus A319-133; C8Y124 ; 27 Aug 2009 ;; 12.5 Years ;;;
; B-6419 ;Airbus A319-133; C8Y124 ; 26 Jul 2011 ;lsd ; 10.6 Years ;;;
; B-6422 ;Airbus A319-133; C8Y124 ; 5 Jul 2012 ;; 9.7 Years ;;;
; B-6433 ;Airbus A319-133; C8Y124 ; 12 Sep 2012 ;; 9.5 Years ;;;
; B-6442 ;Airbus A319-133; C8Y124 ; 4 Mar 2013 ;; 9 Years ;;;
; B-6445 ;Airbus A319-133; C8Y124 ; 28 May 2013 ;lsd ; 8.8 Years ;;;
; B-6447 ;Airbus A319-133; C8Y124 ; 6 Sep 2013 ;lsd, Chengdu FISU World University Games cs ; 8.5 Years ;;;
; B-6448 ;Airbus A319-133; C8Y124 ; 13 Sep 2013 ;lsd ; 8.5 Years ;;;
; B-6449 ;Airbus A319-133(WL); C8Y124 ; 29 Nov 2013 ;lsd ; 8.3 Years ;;;
; B-6453 ;Airbus A319-133(WL); C8Y124 ; 4 Apr 2014 ;lsd ; 7.9 Years ;;;
; B-6455 ;Airbus A319-133(WL); C8Y124 ; 9 May 2014 ;; 7.8 Years ;;;
; B-1660 ;Airbus A320-232(WL); C8Y156 ; 19 Mar 2015 ;lsd ; 7 Years ;;;
; B-1661 ;Airbus A320-232(WL); C8Y156 ; 1 Apr 2015 ;lsd ; 7 Years ;;;
; B-1662 ;Airbus A320-232(WL); C8Y156 ; 18 May 2015 ;lsd ; 6.8 Years ;;;
; B-1665 ;Airbus A320-214(WL); C8Y156 ; 19 Jun 2015 ;lsd ; 6.7 Years ;;;
; B-1818 ;Airbus A320-232(WL); C8Y156 ; 16 May 2014 ;lsd ; 7.8 Years ;;;
; B-1819 ;Airbus A320-232(WL); C8Y156 ; 28 Mar 2014 ;lsd ; 8 Years ;;;
; B-1820 ;Airbus A320-232(WL); C8Y156 ; 20 Jun 2014 ;lsd ; 7.7 Years ;;;
; B-1821 ;Airbus A320-232(WL); C8Y156 ; 10 Jun 2014 ;lsd ; 7.8 Years ;;;
; B-1822 ;Airbus A320-232(WL); C8Y156 ; 22 Jan 2014 ;lsd ; 8.2 Years ;;;
; B-1881 ;Airbus A320-214(WL); C8Y156 ; 7 Nov 2014 ;lsd ; 7.3 Years ;;;
; B-1882 ;Airbus A320-214(WL); C8Y156 ; 21 Nov 2014 ;lsd ; 7.3 Years ;;;
; B-1883 ;Airbus A320-214(WL); C8Y156 ; 5 Dec 2014 ;lsd ; 7.3 Years ;;;
; B-1885 ;Airbus A320-214(WL); C8Y156 ; 16 Dec 2014 ;lsd ; 7.3 Years ;;;
; B-1886 ;Airbus A320-214(WL); C8Y156 ; 23 Dec 2014 ;lsd ; 7.2 Years ;;;
; B-1887 ;Airbus A320-232(WL); C8Y156 ; 3 Jul 2014 ;lsd ; 7.7 Years ;;;
; B-6321 ;Airbus A320-232; C8Y156 ; 7 Aug 2007 ;lsd ; 14.6 Years ;;;
; B-6322 ;Airbus A320-232; C8Y156 ; 22 Jun 2007 ;; 14.8 Years ;;;
; B-6323 ;Airbus A320-232; C8Y156 ; 3 Jul 2007 ;; 14.7 Years ;;;
; B-6325 ;Airbus A320-232; C8Y156 ; 17 Aug 2007 ;; 14.7 Years ;;;
; B-6347 ;Airbus A320-232; C8Y156 ; 1 Feb 2008 ; Parked ; 14.1 Years ;;;
; B-6348 ;Airbus A320-232; C8Y156 ; 25 Mar 2008 ;; 14 Years ;;;
; B-6388 ;Airbus A320-232; C8Y156 ; 23 Jun 2009 ;lsd, Chinese Dragon cs ; 12.8 Years ;;;
; B-6621 ;Airbus A320-232; C8Y156 ; 29 Oct 2009 ;Yunnan, lsd ; 12.4 Years ;;;
; B-6697 ;Airbus A320-232; C8Y156 ; 10 May 2010 ;; 11.9 Years ;;;
; B-6700 ;Airbus A320-232; C8Y156 ; 10 Jun 2010 ;; 11.8 Years ;;;
; B-6719 ;Airbus A320-232; C8Y156 ; 28 Sep 2010 ;Yunnan cs ; 11.5 Years ;;;
; B-6732 ;Airbus A320-232; C8Y156 ; 9 Nov 2010 ;; 11.3 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-6770 ;Airbus A320-232; C8Y156 ; 25 Mar 2011 ;lsd ; 11 Years ;;;
; B-6771 ;Airbus A320-232; C8Y156 ; 15 Mar 2011 ;lsd ; 11 Years ;;;
; B-6772 ;Airbus A320-232; C8Y156 ; 1 Apr 2011 ;lsd ; 11 Years ;;;
; B-6778 ;Airbus A320-232; C8Y156 ; 9 Jun 2011 ;; 10.8 Years ;;;
; B-6779 ;Airbus A320-232; C8Y156 ; 18 May 2011 ;lsd ; 10.8 Years ;;;
; B-6843 ;Airbus A320-232; C8Y156 ; 8 Nov 2011 ;lsd ; 10.3 Years ;;;
; B-6905 ;Airbus A320-232(WL); C8Y156 ; 12 Apr 2012 ;; 9.9 Years ;;;
; B-6953 ;Airbus A320-232(WL); C8Y156 ; 10 Aug 2012 ;; 9.6 Years ;;;
; B-6955 ;Airbus A320-232(WL); C8Y156 ; 26 Oct 2012 ;; 9.4 Years ;;;
