;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; PR-SDF ;Boeing 737-3H6(SF); Cargo ; 23 Nov 2015 ;; 27.8 Years ;;
; PR-SDG ;Boeing 737-33A(QC); Cargo / Y144 ; 28 Dec 2015 ;; 30.3 Years ;;
; PR-SDL ;Boeing 737-3S3(SF); Cargo ; 31 Aug 2010 ;Toinho ; 34 Years ;;
; PR-SDO ;Boeing 737-3B3(QC); Cargo / Y144 ; 4 Nov 2016 ;; 29.9 Years ;;
; PR-SDQ ;Boeing 737-3M8(BDSF); Cargo ; 27 Sep 2017 ;lsd ; 33.1 Years ;;
; PR-SDW ;Boeing 737-31L; Y144 ; 11 Apr 2017 ;; 28.3 Years ;;
; PR-SLI ;Boeing 737-375(BDSF); Cargo ; Nov 2021 ;; 34.7 Years ;;
; PP-WSA ;Boeing 737-4Q8(SF); Cargo ; 22 Feb 2017 ;lsf RIO Linhas Aéreas, opf MercadoLibre ; 27.9 Years ;;
; PR-SDJ ;Boeing 737-4Y0(SF); Cargo ; 12 Apr 2013 ;; 31 Years ;;
; PR-SDM ;Boeing 737-4Y0(SF); Cargo ; 30 Jan 2017 ;opf MercadoLibre ; 31.7 Years ;;
; PR-SDT ;Boeing 737-4B6(SF); Cargo ; 3 Aug 2015 ;lsd, opf Correios ; 28 Years ;;
; PR-SDU ;Boeing 737-4B6(SF); Cargo ; 28 Jan 2014 ;; 31.7 Years ;;
; PR-SDV ;Boeing 737-4Q8(SF); Cargo ; 29 May 2015 ;; 26.9 Years ;;
; PR-SLU ;Boeing 737-4Y0(SF); Cargo ; Apr 2019 ;lsd ; 29.9 Years ;;
; PR-SDH ;Boeing 737-55D(WL); C52 ; 23 Aug 2018 ;; 29.3 Years ;;
; PR-SHE ;Boeing 737-5H6;; 11 Sep 2019 ;; 29.7 Years ;;
