;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; 9V-SQZ ;Boeing 737-3M8(QC);; 20 Dec 1992 ; 14 Jun 1996 ;F-GIXP L'Aéropostale ;;;
; 9V-SKQ ;Boeing 747-212F(SCD); Cargo ; 29 Aug 1988 ; 3 Oct 1997 ;N750SJ Southern Air Transport ;;;
; 9V-SCA ;Boeing 747-412(BCF); Cargo ; 9 Jun 2011 ; 23 Sep 2014 ;N313SQ Delta Material Services ;;;
; 9V-SCB ;Boeing 747-412(BCF); Cargo ; 20 Sep 2011 ; 29 Aug 2014 ;N314SQ Delta Material Services ;;;
; 9V-SFA ;Boeing 747-412F; Cargo ; 5 Aug 1994 ; 20 Feb 2010 ;4X-ELF El Al Israel Airlines ;;;
; 9V-SFB ;Boeing 747-412F; Cargo ; 29 Sep 1994 ; 5 May 2010 ;N491EV Evergreen International Airlines ;;;
; 9V-SFC ;Boeing 747-412F; Cargo ; 14 Feb 1995 ; Sep 2003 ;B-2409 Air China Cargo ;;;
; 9V-SFD ;Boeing 747-412F; Cargo ; 29 Aug 1995 ; 23 Mar 2014 ;N328SC GECAS ;;;
; 9V-SFE ;Boeing 747-412F; Cargo ; Sep 2006 ; Mar 2007 ;B-2428 Great Wall Airlines ;;;
; 9V-SFF ;Boeing 747-412F; Cargo ; 13 Mar 1997 ; 27 Apr 2017 ;N908AR Sky Lease Cargo ;;;
; 9V-SFG ;Boeing 747-412F; Cargo ; 3 Sep 1998 ; 10 Oct 2016 ;ER-BBJ Aerotranscargo ;lsd ;;
; 9V-SFH ;Boeing 747-412F; Cargo ; Sep 2006 ; Feb 2007 ;B-2429 Great Wall Airlines ;;;
; 9V-SFI ;Boeing 747-412F; Cargo ; 12 Oct 2015 ; 1 Apr 2018 ;9V-SFI Singapore Airlines ;;;
; 9V-SFJ ;Boeing 747-412F; Cargo ; 17 Sep 2001 ; 19 Mar 2016 ;TC-MCT ACT Airlines ;;;
; 9V-SFK ;Boeing 747-412F; Cargo ; 1 Mar 2002 ; 1 Apr 2018 ;9V-SFK Singapore Airlines ;;;
; 9V-SFL ;Boeing 747-412F; Cargo ; 27 Feb 2003 ; 5 Dec 2015 ;TC-MCL ACT Airlines ;;;
; 9V-SFM ;Boeing 747-412F; Cargo ; 21 Aug 2003 ; 1 Apr 2018 ;9V-SFM Singapore Airlines ;;;
; 9V-SFN ;Boeing 747-412F; Cargo ; 5 Mar 2004 ; 1 Apr 2018 ;9V-SFN Singapore Airlines ;;;
; 9V-SFO ;Boeing 747-412F; Cargo ; 2 Aug 2004 ; 1 Apr 2018 ;9V-SFO Singapore Airlines ;;;
; 9V-SFP ;Boeing 747-412F; Cargo ; 19 Oct 2005 ; 1 Apr 2018 ;9V-SFP Singapore Airlines ;;;
; 9V-SFQ ;Boeing 747-412F; Cargo ; 14 Feb 2006 ; 1 Apr 2018 ;9V-SFQ Singapore Airlines ;;;
