;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VQ-BLY ;Airbus A319-111; Y156 ; 16 Sep 2011 ; 29 Oct 2011 ;VQ-BLY Kuban Airlines ;lsd ;;
; VQ-BMN ;Airbus A319-111; Y156 ; 21 Jul 2011 ; 29 Oct 2011 ;VQ-BMN Kuban Airlines ;lsd ;;
; VQ-BMO ;Airbus A319-111; Y156 ; 8 Jul 2011 ; 29 Oct 2011 ;VQ-BMO Kuban Airlines ;lsd ;;
; VP-BBN ;Boeing 737-330; Y148 ; 14 Nov 2006 ;; Scrapped ;lsd ;;
; VP-BOT ;Boeing 737-341;; 20 Nov 2007 ; 29 Oct 2011 ;VP-BOT Kuban Airlines ;lsd ;;
; VP-BOU ;Boeing 737-341;; 6 Sep 2007 ; 29 Oct 2011 ;VP-BOU Kuban Airlines ;lsd ;;
; VP-BET ;Boeing 737-53C; Y133 ; 4 Sep 2008 ; 13 Oct 2011 ;N248AG Aviation Capital Group (ACG) ;;;
; VP-BFB ;Boeing 737-5Y0;; 9 Jan 2007 ; 20 Sep 2011 ; Scrapped ;lsd ;;
; VP-BFJ ;Boeing 737-5L9;; 11 Apr 2007 ;; Scrapped ;lsd ;;
; VP-BFK ;Boeing 737-5L9;; 17 May 2007 ; 29 Oct 2011 ;VP-BFK Kuban Airlines ;lsd ;;
; VP-BFM ;Boeing 737-53A;; 9 Mar 2007 ; 24 May 2011 ;N249AN Ansett Worldwide (AWAS) ;lsd ;;
; VP-BFN ;Boeing 737-53A;; 21 Mar 2007 ; 20 Oct 2011 ; Scrapped ;lsd ;;
; VP-BHA ;Boeing 737-529;; 19 Dec 2007 ; 29 Oct 2011 ;VP-BHA Kuban Airlines ;lsd ;;
