;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N501SX ;Airbus A319-112; Y144 ; 6 Dec 2007 ; 5 May 2008 ;EI-DZX AerCap ;;;
; N502SX ;Airbus A319-112; Y144 ; 3 Mar 2008 ; 5 May 2008 ;EI-DZY AerCap ;lsd ;;
; N504SX ;Airbus A319-112; Y144 ; 6 Feb 2008 ; 5 May 2008 ;EI-DZZ AerCap ;lsd ;;
; N521VA ;Airbus A319-112; Y144 ; 11 May 2007 ; 3 Aug 2008 ;N521VA Virgin America ;Spirit of Columbus, lsf Virgin America ;;
; N522VA ;Airbus A319-112; Y144 ; 18 Mar 2007 ; 31 Jul 2008 ;N522VA Virgin America ;lsf Virgin America, Nationwide Insurance cs ;;
; N551SX ;Airbus A319-112; Y144 ; 17 May 2007 ; 3 Jul 2008 ;C-GTDS Skyservice Airlines ;lsf Skyservice Airlines, Capital One cs ;;
; N552SX ;Airbus A319-112; Y144 ; 10 May 2007 ; 7 Jul 2008 ;C-GTDT Skyservice Airlines ;lsf Skyservice Airlines ;;
; N553SX ;Airbus A319-112; Y144 ; 29 Jun 2007 ; 5 May 2008 ;EI-EAF AerCap ;lsd ;;
; N554SX ;Airbus A319-112; Y144 ; 21 Nov 2007 ; 4 Apr 2008 ;EI-DZW AerCap ;lsd ;;
; N571SX ;Airbus A319-112; Y144 ; 2 Nov 2007 ; 18 Jun 2008 ;C-GKOB Air Canada ;lsf Air Canada ;;
; N572SX ;Airbus A319-112; Y144 ; 9 Nov 2007 ; 10 Jul 2008 ;C-FWTF Air Canada ;lsf Air Canada ;;
; N573SX ;Airbus A319-114; Y144 ; 12 Dec 2007 ; 16 May 2008 ;F-HBMI Aigle Azur ;;;
; N574SX ;Airbus A319-114; Y144 ; 28 Jan 2008 ; 5 Aug 2008 ;VP-BIU Rossiya - Russian Airlines ;;;
