;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 5Y-BWG ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 23 Nov 2016 ;; 26.6 Years ;;
; 5Y-SMK ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 24 Jul 2015 ;lsd ; 26.7 Years ;;
; 5Y-JRN ;Fokker F50; Y50 ; Jun 2016 ;; 29.6 Years ;;
; 5Y-JXJ ;Fokker F50; Y50 ; 20 Jan 2015 ;; 30.4 Years ;;
; 5Y-JXK ;Fokker F50; Y50 ; 7 Oct 2014 ;lst Som Express Airways ; 30.4 Years ;;
; 5Y-JXN ;Fokker F50; Y50 ; 30 May 2016 ;lst Jubba Airways ; 30.1 Years ;;
; 5Y-SED ;Fokker F50; Y50 ; 13 Sep 2014 ;; 34.3 Years ;;
; 5Y-SMT ;Fokker F50; Y50 ; 13 Jan 2017 ;; 32 Years ;;
; 5Y-SMX ;Fokker F50; Y50 ; 24 Jun 2016 ;; 33.8 Years ;;
; 5Y-SMZ ;Fokker F50; Y50 ; 10 Sep 2015 ;; 31.5 Years ;;
; 5Y-SVN ;Fokker F50; Y50 ; 15 Apr 2015 ;; 34 Years ;;
