;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; OY-RUD ;ATR 72-201; Y68 ; Jun 2010 ; Aug 2011 ;OY-RUD Danish Air Transport (DAT) ;opby Danish Air Transport (DAT) ;;
; SE-DRM ;British Aerospace 146-200;; 16 May 2003 ; 18 Sep 2004 ;SE-DRM Malmö Aviation ;lsf Malmö Aviation ;;
; SE-DSO ;British Aerospace Avro RJ100; Y112 ; 20 Aug 2006 ; 4 Sep 2007 ;SE-DSO Malmö Aviation ;lsf Malmö Aviation, Halmstad 700 ar 2007 cs ;;
; LX-LGY ;Embraer ERJ-145LU; Y49 ; 18 Jun 2001 ; 27 Jul 2002 ;LX-LGY Luxair ;lsf Luxair ;;
; SE-DZA ;Embraer ERJ-145EP; Y49 ; 6 Jun 2001 ; 23 Sep 2004 ;G-CCYH Eastern Airways ;;;
; SE-DZB ;Embraer ERJ-145EP; Y50 ; Nov 2000 ; 7 May 2005 ;SE-DZB City Airline ;;;
; SE-DZC ;Embraer ERJ-145EP; Y50 ; 15 Sep 2004 ; 27 Sep 2004 ;N978RP Chautauqua Airlines ;;;
; SE-DZD ;Embraer ERJ-145EP; Y50 ; 15 Oct 1999 ; 4 May 2004 ;N977RP Chautauqua Airlines ;;;
; SE-DUU ;Fokker F100; Y100 ; 15 Aug 2007 ; 31 Mar 2008 ;SE-DUU Air Express ;lsf Air Express ;;
; PH-PRG ;Fokker F50; Y50 ; 6 Feb 2003 ; 22 Apr 2004 ;ST-ASF Sudan Airways ;lsd ;;
; PH-ZDI ;Fokker F50; Y50 ; 28 Mar 2001 ; 1 Aug 2001 ;PH-ZDI Aircraft Finance & Trading ;lsd ;;
; SE-KTC ;Fokker F50; Y50 ; 1 Feb 2001 ; 10 Aug 2006 ;SE-KTC Amapola Flyg ;;;
; SE-KTD ;Fokker F50; Y50 ; 1 Feb 2001 ; 18 Aug 2004 ;SE-KTD Amapola Flyg ;;;
; SE-LEA ;Fokker F50; Y50 ; 4 May 1995 ; 21 May 2012 ;PH-GHK SAMCO Aircraft Maintenance ;lsd ;;
; SE-LEB ;Fokker F50; Y50 ; 11 Aug 1995 ; 10 Nov 2008 ;YL-BAA Air Baltic ;Gotland, lsd ;;
; SE-LEC ;Fokker F50; Y50 ; 18 Jan 1996 ; 21 May 2012 ;SE-LEC Gotlandsflyg ;Västerbotten, lsd ;;
; SE-LED ;Fokker F50; Y50 ; 13 Mar 1996 ; 21 May 2012 ;PH-AMP SAMCO Aircraft Maintenance ;Södermanland, lsd ;;
; SE-LEH ;Fokker F50; Y50 ; 15 Aug 1996 ; 21 May 2012 ;PH-MUJ SAMCO Aircraft Maintenance ;lsd ;;
; SE-LEL ;Fokker F50; Y50 ; 22 Jan 1997 ; 21 May 2012 ;SE-LEL Gotlandsflyg ;lsd ;;
; SE-LEM ;Fokker F50; Y50 ; 9 Apr 1997 ; 15 Jan 1999 ;PH-DMD Denim Air ;lsf Tyrolean Airways ;;
; SE-LEU ;Fokker F50; Y50 ; 24 Oct 1997 ; 21 May 2012 ;PH-EDJ SAMCO Aircraft Maintenance ;lsd ;;
; SE-LEZ ;Fokker F50; Y50 ; 14 Aug 1998 ; 20 Apr 2012 ;SE-LEZ Amapola Flyg ;lsd ;;
; SE-LFS ;Fokker F50; Y50 ; 2 Oct 2003 ; Apr 2009 ;SE-LFS Sundsvallsflyg ;lsd ;;
; SE-LIN ;Fokker F50; Y50 ; 8 Jan 1999 ; 30 Jan 2006 ;PH-PRB Aircraft Finance & Trading ;lsd ;;
; SE-LIO ;Fokker F50; Y50 ; 11 Feb 1999 ; 21 May 2012 ;SE-LIO Amapola Flyg ;lsd ;;
; SE-LIP ;Fokker F50; Y50 ; 6 Sep 2002 ; 31 Mar 2009 ;SE-LIP Amapola Flyg ;lsd ;;
; SE-LIR ;Fokker F50; Y50 ; 16 Jun 1999 ; 21 May 2012 ;SE-LIR Amapola Flyg ;lsd ;;
; SE-LIS ;Fokker F50; Y50 ; 27 Oct 1999 ; 18 Jun 2009 ;SE-LIS Amapola Flyg ;lsd ;;
; SE-LIT ;Fokker F50; Y50 ; 14 Nov 2000 ; 21 May 2012 ;SE-LIT Amapola Flyg ;lsd ;;
; SE-LJG ;Fokker F50; Y50 ; 12 May 2005 ; 13 Sep 2006 ;SE-LJG Amapola Flyg ;lsd ;;
; SE-LJH ;Fokker F50; Y50 ; 7 Apr 2005 ; 13 Sep 2006 ;SE-LJH Amapola Flyg ;lsd ;;
