;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VH-FNP ;Airbus A320-231; Y168 ; 12 Apr 2010 ; 7 May 2013 ;VH-FNP Virgin Australia Regional ;;;
; VH-FVH ;ATR 72-500 (72-212A); Y68 ; 15 Aug 2011 ; 7 May 2013 ;VH-FVH Virgin Australia Regional ;Four Mile Beach, lsd ;;
; VH-FVI ;ATR 72-500 (72-212A); Y68 ; 22 Aug 2011 ; 7 May 2013 ;VH-FVI Virgin Australia Regional ;Mission Beach, lsd ;;
; VH-FVL ;ATR 72-500 (72-212A); Y68 ; 14 Oct 2011 ; 7 May 2013 ;VH-FVL Virgin Australia Regional ;Preston Beach, lsd ;;
; VH-FVM ;ATR 72-500 (72-212A); Y68 ; 29 Nov 2011 ; 7 May 2013 ;VH-FVM Virgin Australia Regional ;Woolamai Beach, lsd ;;
; VH-FVN ;ATR 72-600 (72-212A); Y68 ; 8 Sep 2012 ; 7 May 2013 ;VH-FVN Virgin Australia Regional ;Whitehaven Beach, lsd ;;
; VH-FVP ;ATR 72-600 (72-212A); Y68 ; 3 Aug 2012 ; 7 May 2013 ;VH-FVP Virgin Australia Regional ;Wategos Beach, lsd ;;
; VH-FVQ ;ATR 72-600 (72-212A); Y68 ; 26 Nov 2012 ; 7 May 2013 ;VH-FVQ Virgin Australia Regional ;Christies Beach, lsd ;;
; VH-FVR ;ATR 72-600 (72-212A); Y68 ; 19 Dec 2012 ; 7 May 2013 ;VH-FVR Virgin Australia Regional ;Yallingup Beach, lsd ;;
; VH-FVU ;ATR 72-500 (72-212A); Y68 ; 17 Feb 2012 ; 7 May 2013 ;VH-FVU Virgin Australia Regional ;Double Island Point, lsd ;;
; VH-FVX ;ATR 72-500 (72-212A); Y68 ; 18 May 2012 ; 7 May 2013 ;VH-FVX Virgin Australia Regional ;Kirra Beach, lsd ;;
; VH-FVY ;ATR 72-600 (72-212A); Y68 ; 28 Feb 2013 ; 7 May 2013 ;VH-FVY Virgin Australia Regional ;Marcoola Beach, lsd ;;
; VH-LAR ;De Havilland Canada DHC-8-103 Dash 8;; 23 Jan 1992 ; 6 Jul 1995 ;VH-LAR National Jet Systems ;;;
; VH-FNC ;Fokker F100; Y100 ; 26 Feb 2008 ; 7 May 2013 ;VH-FNC Virgin Australia Regional ;;;
; VH-FNJ ;Fokker F100; Y100 ; 28 Apr 2004 ; 7 May 2013 ;VH-FNJ Virgin Australia Regional ;;;
; VH-FNN ;Fokker F100; Y100 ; 15 Oct 2007 ; 7 May 2013 ;VH-FNN Virgin Australia Regional ;;;
; VH-FNR ;Fokker F100; Y100 ; 31 Aug 2004 ; 7 May 2013 ;VH-FNR Virgin Australia Regional ;;;
; VH-FNT ;Fokker F100; Y100 ; 28 Sep 2007 ; 7 May 2013 ;VH-FNT Virgin Australia Regional ;;;
; VH-FNU ;Fokker F100; Y100 ; 20 Aug 2008 ; 7 May 2013 ;VH-FNU Virgin Australia Regional ;;;
; VH-FNY ;Fokker F100; Y100 ; 4 Nov 2002 ; 7 May 2013 ;VH-FNY Virgin Australia Regional ;;;
; VH-FSQ ;Fokker F100; Y100 ; 13 Oct 2009 ; 7 May 2013 ;VH-FSQ Virgin Australia Regional ;;;
; VH-FSW ;Fokker F100; Y100 ; 14 Aug 2008 ; 7 May 2013 ;VH-FSW Virgin Australia Regional ;;;
; VH-FXF ;Fokker F100; Y109 ; 29 Feb 2012 ; 8 Mar 2017 ;VH-FXF Alliance Airlines ;;;
; VH-FZO ;Fokker F100; Y100 ; 22 Mar 2012 ; 7 May 2013 ;VH-FZO Virgin Australia Regional ;;;
; VH-FNA ;Fokker F50; Y46 ; 1 Aug 1995 ; 7 May 2013 ;VH-FNA Virgin Australia Regional ;;;
; VH-FNB ;Fokker F50; Y46 ; 31 Dec 1995 ; 7 May 2013 ;VH-FNB Virgin Australia Regional ;Shire of Esperance ;;
; VH-FND ;Fokker F50; Y46 ; 8 Dec 1995 ; 7 May 2013 ;VH-FND Virgin Australia Regional ;Shire of Shark Bay ;;
; VH-FNE ;Fokker F50; Y46 ; 16 Sep 2006 ; 7 May 2013 ;VH-FNE Virgin Australia Regional ;;;
; VH-FNE ;Fokker F50; Y50 ; 8 Oct 1996 ; 13 Nov 1996 ;SE-LEL Skyways ;lsf Ansett Australia ;;
; VH-FNF ;Fokker F50; Y50 ; 24 Nov 1994 ; 1 Aug 1995 ;VH-FNF Ansett Australia ;lsf Ansett Australia ;;
; VH-FNF ;Fokker F50; Y46 ; 8 Dec 2006 ; 7 May 2013 ;VH-FNF Virgin Australia Regional ;;;
; VH-FNG ;Fokker F50; Y50 ; 26 Jan 1995 ; 8 Dec 1995 ;VH-FNG Ansett Australia ;lsf Ansett Australia ;;
; VH-FNH ;Fokker F50; Y46 ; 30 Apr 1996 ; 7 May 2013 ;VH-FNH Virgin Australia Regional ;City of Carnarvon ;;
; VH-FNI ;Fokker F50; Y46 ; 7 Sep 1996 ; 7 May 2013 ;VH-FNI Virgin Australia Regional ;City of Geraldton ;;
; VH-FSL ;Fokker F50; Y50 ; 9 Mar 2010 ; 7 May 2013 ;VH-FSL Virgin Australia Regional ;;;
; VH-SBA ;Saab 340B;; 1 Jul 1994 ; 15 Dec 1994 ;VH-SBA Hazelton Airlines ;lsd ;;
