;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; SP-HAB ;Airbus A320-232; Y180 ; 31 Mar 2011 ; 6 Sep 2018 ;LY-SPK Small Planet Airlines ;lsd ;;
; SP-HAC ;Airbus A320-233; Y180 ; 4 Jun 2018 ; 6 Sep 2018 ;LY-SPJ Small Planet Airlines ;lsd ;;
; SP-HAD ;Airbus A320-232; Y180 ; 16 Apr 2017 ; 1 Oct 2018 ;2-ROSE Rockton Aviation ;lsd ;;
; SP-HAE ;Airbus A320-214; Y180 ; 10 Mar 2016 ; 4 May 2016 ;LY-SPH Small Planet Airlines ;lsd ;;
; SP-HAF ;Airbus A320-214; Y180 ; 10 Mar 2016 ; Apr 2016 ;LY-SPI Small Planet Airlines ;lsd ;;
; SP-HAG ;Airbus A320-232; Y180 ; 27 Nov 2014 ; 2 Oct 2018 ;N320UA Unical Aviation ;lsd ;;
; SP-HAH ;Airbus A320-233; Y180 ; 5 Feb 2015 ; 2 Oct 2018 ;LY-EMU GetJet Airlines ;lsd ;;
; SP-HAI ;Airbus A320-233; Y180 ; 24 Apr 2015 ; 9 Nov 2018 ; Scrapped ;lsd ;;
; SP-HAU ;Airbus A321-231; Y220 ; 24 Jul 2018 ; 1 Oct 2018 ;OE-IBB AerCap ;lsd ;;
; SP-HAV ;Airbus A321-231; Y220 ; 21 Jun 2018 ; 1 Oct 2018 ;OE-IBD AerCap ;lsd ;;
; SP-HAW ;Airbus A321-211; Y220 ; Apr 2016 ; 8 Oct 2018 ;YL-LDB SmartLynx ;lsd ;;
; SP-HAX ;Airbus A321-211; Y220 ; 1 May 2017 ; 15 Sep 2018 ;YL-LDA SmartLynx ;lsd ;;
; SP-HAY ;Airbus A321-211; Y220 ; 1 May 2017 ; 8 Oct 2018 ;YL-LCZ SmartLynx ;lsd ;;
; SP-HAZ ;Airbus A321-211; Y220 ; Apr 2016 ; 8 Oct 2018 ;YL-LCX SmartLynx ;lsd ;;
; SP-HAA ;Boeing 737-322; Y148 ; 22 Jul 2010 ; 29 Dec 2011 ;SP-HAA Tor Air ;;;
