;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; LY-ONJ ;Airbus A320-214; Y180 ; 8 May 2015 ; 28 Nov 2018 ;5A-ONJ Afriqiyah Airways ;lsf Afriqiyah Airways ;;
; LY-ONL ;Airbus A320-214; Y180 ; 24 Jun 2015 ; 28 Nov 2018 ;5A-ONL Afriqiyah Airways ;lsf Afriqiyah Airways ;;
; LY-SPA ;Airbus A320-232; Y180 ; 16 Apr 2017 ; 28 Nov 2018 ;OE-IHN Apollo Aviation ;lsd ;;
; LY-SPB ;Airbus A320-232; Y180 ; 4 Jul 2016 ; 4 Nov 2018 ;VP-CAG Aviation Capital Group (ACG) ;lsd, Detur cs ;;
; LY-SPC ;Airbus A320-231; Y180 ; 19 Apr 2018 ; 4 Oct 2018 ;LY-SPC GetJet Airlines ;lsf GetJet Airlines ;;
; LY-SPD ;Airbus A320-232; Y180 ; 15 Jul 2014 ; 4 Nov 2018 ; Scrapped ;lsd ;;
; LY-SPF ;Airbus A320-214; Y180 ; 31 Jul 2015 ; 4 Nov 2018 ; Scrapped ;lsd ;;
; LY-SPG ;Airbus A320-214; Y180 ; 30 Nov 2015 ; Nov 2017 ;XU-802 Small Planet Airlines Cambodia ;lsd ;;
; LY-SPH ;Airbus A320-214; Y180 ; 4 May 2016 ; 7 Sep 2017 ;XU-801 Small Planet Airlines Cambodia ;lsd ;;
; LY-SPI ;Airbus A320-214; Y180 ; Apr 2018 ; 23 Sep 2018 ; Scrapped ;lsd ;;
; LY-SPJ ;Airbus A320-233; Y180 ; 6 Sep 2018 ; 26 Nov 2018 ;OE-IIK Apollo Aviation ;lsd ;;
; LY-SPK ;Airbus A320-232; Y180 ; 6 Sep 2018 ; 17 Oct 2018 ;OE-IHM Apollo Aviation ;lsd ;;
; YL-LCE ;Airbus A320-211; Y180 ; 27 May 2011 ; 31 Oct 2011 ;YL-LCE SmartLynx ;lsf SmartLynx ;;
; LY-AQV ;Boeing 737-35B; Y148 ; Jan 2012 ; 29 Dec 2012 ;UP-B3712 SCAT Airlines ;;;
; LY-AQX ;Boeing 737-322; Y148 ; 29 Dec 2011 ; 18 Jun 2015 ;UP-B3717 Sunkar Air ;;;
; LY-FLE ;Boeing 737-3L9; Y148 ; 22 Jul 2010 ; 9 Apr 2014 ;LY-AZU AviaAM Leasing ;lsd ;;
; LY-FLH ;Boeing 737-382; Y148 ; 26 Jul 2010 ; 10 Oct 2015 ; Scrapped ;lsd ;;
; LY-FLJ ;Boeing 737-3K2;; 12 May 2011 ; 19 Oct 2013 ;EW-386PA Belavia ;;;
; LY-SPE ;Boeing 737-31S; Y148 ; Feb 2014 ; 16 Oct 2015 ;UR-COK DART Ukrainian Airlines ;;;
; LY-FLA ;Boeing 757-29J(WL); Y235 ; 22 Jul 2010 ; Mar 2011 ;VQ-BKM Nordwind Airlines ;lsd ;;
