;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-CJK ;Airbus A300B4-103; Y314 ; 29 Jun 1999 ; 4 Sep 1999 ;EI-CJK TransAer International Airlines ;lsf TransAer International Airlines ;;
; EI-TLB ;Airbus A300B4-103; Y314 ; 5 Jul 1999 ; 30 Sep 1999 ;EI-TLB TransAer International Airlines ;lsf TransAer International Airlines ;;
; OY-CNL ;Airbus A300B4-120;; 20 Jun 1993 ; 21 Sep 1993 ;OY-CNL Conair ;lsf Conair ;;
; SE-DSF ;Airbus A300B4-203;; 27 Jun 1995 ; 19 Jul 1995 ;SE-DSF Air Ops ;lsf Air Ops ;;
; EI-TLI ;Airbus A320-231;; 1 Jul 2000 ; 2 Sep 2000 ;EI-TLI TransAer International Airlines ;lsf TransAer International Airlines ;;
; 9H-ABB ;Boeing 737-2Y5(A);; 24 Jun 1993 ; 6 Nov 1994 ;ZK-NAH Air New Zealand ;lsf Air Malta ;;
; CS-TET ;Boeing 737-2K9(A);; 28 Mar 1990 ; 31 Oct 1990 ;CS-TET Air Atlantis ;lsf Air Atlantis ;;
; G-BECH ;Boeing 737-204(A); Y130 ; 24 Jun 1995 ; 16 Oct 1995 ;G-BECH GB Airways ;lsf GB Airways ;;
; OO-SBQ ;Boeing 737-229(A); Y135 ; 8 Feb 1993 ; 1 Sep 1997 ;CC-CVC Avant Airlines ;;;
; OO-SBS ;Boeing 737-229(A); Y135 ; 26 Mar 1987 ; 22 May 1990 ;I-JETA ItalJet ;;;
; OO-SBT ;Boeing 737-229(A);; 30 Sep 1985 ; 27 Oct 1997 ;CC-CVD Avant Airlines ;;;
; OO-SDA ;Boeing 737-229(A);; 29 Jun 1996 ; 1 Sep 1996 ;OO-SDA Sabena ;;;
; OO-SDJ ;Boeing 737-229C(A);; Jun 1992 ; 31 Oct 1992 ;OO-SDJ Sabena ;lsf Sabena ;;
; OO-SDN ;Boeing 737-229(A);; 21 May 1994 ; 15 Jun 1994 ;OO-SDN Sabena ;;;
; EI-CLW ;Boeing 737-3Y0;; 23 Jun 1995 ; 30 Oct 1995 ;EI-CLW Air One ;lsd ;;
; F-GFUF ;Boeing 737-3B3(QC); Y147/Cargo ; 30 Mar 1998 ; 10 Nov 1998 ;F-GFUF L'Aéropostale ;lsf L'Aéropostale ;;
; OO-SBX ;Boeing 737-3M8;; 11 May 1996 ; 11 Mar 2004 ;LN-KKP Norwegian Air Shuttle ;lsd ;;
; OO-SBZ ;Boeing 737-329;; 17 Jul 1987 ; 29 Apr 2004 ;TF-ELR Islandsflug ;;;
