;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; JA8250 ;Boeing 737-2Q3(A);; 17 Jun 1986 ; 1 Jul 1993 ;JA8250 Japan Transocean Air ;;;
; JA8262 ;Boeing 737-2Q3(A);; 15 Jun 1988 ; 1 Jul 1993 ;JA8262 Japan Transocean Air ;;;
; JA8366 ;Boeing 737-205(A);; 16 May 1990 ; 1 Jul 1993 ;JA8366 Japan Transocean Air ;lsd ;;
; JA8443 ;Boeing 737-2Q3(A);; 26 May 1978 ; 1 Jul 1993 ;JA8443 Japan Transocean Air ;;;
; JA8444 ;Boeing 737-2Q3(A);; 18 Jan 1979 ; 26 Aug 1982 ; Written Off ;;;
; JA8445 ;Boeing 737-2Q3(A);; 2 Aug 1979 ; 1 Jul 1993 ;JA8445 Japan Transocean Air ;;;
; JA8467 ;Boeing 737-2Q3(A);; 13 Nov 1980 ; 1 Jul 1993 ;JA8467 Japan Transocean Air ;;;
; JA8475 ;Boeing 737-2Q3(A);; 8 Oct 1982 ; 1 Jul 1993 ;JA8475 Japan Transocean Air ;;;
; JA8492 ;Boeing 737-2Q3(A);; 19 Jun 1984 ; 1 Jul 1993 ;JA8492 Japan Transocean Air ;;;
; JA8577 ;Boeing 737-205(A);; 19 Jan 1993 ; 1 Jul 1993 ;JA8577 Japan Transocean Air ;lsd ;;
; JA8231 ;Boeing 767-246;; 7 Apr 1993 ; 1 Jul 1993 ;JA8231 Japan Transocean Air ;lsf Japan Airlines ;;
; JA8253 ;Boeing 767-346;; 14 Mar 1993 ; 7 Apr 1993 ;JA8253 Japan Airlines ;lsf Japan Airlines ;;
; JA8267 ;Boeing 767-346;; 13 May 1992 ; 14 Mar 1993 ;JA8267 Japan Airlines ;lsf Japan Airlines ;;
