;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; B-3011 ;Bombardier CRJ-200ER (CL-600-2B19); VIP ; 13 Oct 2015 ; 2018 ; Stored ;;;
; B-3013 ;Bombardier CRJ-200ER (CL-600-2B19); VIP ; 2 Feb 2016 ; Oct 2018 ;B-3013 Liaoning Meridian Jet ;;;
; B-3019 ;Bombardier CRJ-200ER (CL-600-2B19); VIP ; 2 Feb 2016 ;; Stored ;;;
; B-3020 ;Bombardier CRJ-200ER (CL-600-2B19); VIP ; 13 Oct 2015 ; 2017 ; Preserved ;;;
; B-3021 ;Bombardier CRJ-200ER (CL-600-2B19); VIP ; 2 Feb 2016 ; 13 Mar 2017 ; Stored ;;;
; B-3070 ;Bombardier CRJ-200ER (CL-600-2B19); VIP ; 2 Feb 2016 ; 27 Mar 2017 ; Stored ;;;
; B-3071 ;Bombardier CRJ-200ER (CL-600-2B19); VIP ; 2 Feb 2016 ;; Stored ;;;
; B-3367 ;Bombardier CRJ-200ER (CL-600-2B19); VIP ; 15 Nov 2017 ; 7 Aug 2019 ;B-3367 Liaoning Meridian Jet ;;;
; B-3373 ;Bombardier Challenger 850 (CL-600-2B19); VIP ; 8 May 2015 ; 30 Aug 2018 ;B-3373 Astro Air ;;;
; N688JC ;Embraer EMB-135BJ Legacy 650; VIP ; Oct 2016 ; 18 Mar 2019 ;T7-VVV Private ;;;
; B-3219 ;Embraer Lineage 1000 (ERJ-190-100 ECJ); VIP ; 19 Sep 2016 ; 18 Dec 2019 ;9H-FAB AIR X Charter ;;;
; B-3220 ;Embraer Lineage 1000 (ERJ-190-100 ECJ); VIP ; 1 Dec 2016 ; 18 Dec 2019 ;9H-FCM AIR X Charter ;;;
