;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; ZS-NNN ;McDonnell Douglas DC-9-32;; 4 Mar 2002 ; Apr 2004 ;ZS-NNN United Nations ;lsf Million Air Charter ;;
; ZS-NRA ;McDonnell Douglas DC-9-32;; 3 Jan 1995 ; Dec 2003 ;ZS-NRA 1Time ;lsf Million Air Charter ;;
; ZS-NRB ;McDonnell Douglas DC-9-32;; 16 Feb 1995 ; 4 Mar 2004 ;ZS-NRB 1Time ;lsf Million Air Charter ;;
; ZS-NRC ;McDonnell Douglas DC-9-32;; 11 Nov 1995 ; 13 Aug 1999 ;ZS-NRC 1Time ;;;
; ZS-NRD ;McDonnell Douglas DC-9-32; CY98 ; 24 Jan 1996 ; 1 Sep 1997 ;ZS-NRD Zimbabwe Express Airlines ;;;
; ZS-OBI ;McDonnell Douglas MD-81 (DC-9-81);; 4 Dec 1997 ; 1 Dec 2000 ;N819NK Spirit Airlines ;lsf Safair ;;
; ZS-OBJ ;McDonnell Douglas MD-81 (DC-9-81);; 2 Dec 1998 ; 26 Oct 2000 ;N818NK Spirit Airlines ;lsf Safair ;;
; ZS-OBF ;McDonnell Douglas MD-82 (DC-9-82);; 2 May 1997 ; 20 Feb 2001 ;F-GPZC Air Liberté ;lsf Safair ;;
; ZS-OBG ;McDonnell Douglas MD-82 (DC-9-82);; 14 Apr 1997 ; Feb 2000 ;LV-ZSU Dinar Lineas Aereas ;lsf Safair ;;
; ZS-OBH ;McDonnell Douglas MD-82 (DC-9-82);; 15 May 1997 ; 13 Aug 1999 ;ZS-OBH Air Liberté ;lsf Safair ;;
