;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-2112 ;Boeing 737-36N(SF); Cargo ; 7 Jul 2017 ;lsd ; 22.7 Years ;;
; B-2113 ;Boeing 737-36N(SF); Cargo ; 7 Jul 2017 ;lsd ; 22.6 Years ;;
; B-2115 ;Boeing 737-36N(SF); Cargo ; 7 Jul 2017 ;lsd ; 22.4 Years ;;
; B-3000 ;Boeing 737-36Q(SF); Cargo ; 7 Jul 2017 ; Parked ; 23.9 Years ;;
; B-2993 ;Boeing 737-46Q(SF); Cargo ; 7 Jul 2017 ;lsd ; 24.2 Years ;;
; B-1313 ;Boeing 737-84P(WL); C8Y156 ; 15 Sep 2017 ;lsd ; 4.5 Years ;;
; B-1391 ;Boeing 737-84P(WL); C8Y156 ; 27 Dec 2017 ;lsd, "Boao" sticker ; 4.2 Years ;;
; B-1571 ;Boeing 737-8EH(WL); Y177 ; 7 Jul 2017 ;lsd ; 5.8 Years ;;
; B-1577 ;Boeing 737-8EH(WL); Y177 ; 7 Jul 2017 ;lsd ; 5.6 Years ;;
; B-1992 ;Boeing 737-84P(WL); Y186 ; 7 Jul 2017 ;; 7.7 Years ;;
; B-5403 ;Boeing 737-84P(WL); Y186 ; 7 Jul 2017 ;; 13.6 Years ;;
; B-5663 ;Boeing 737-84P(WL); Y186 ; 24 Oct 2018 ;; 9.8 Years ;;
; B-5685 ;Boeing 737-84P(WL); Y186 ; 16 Oct 2018 ; Parked ; 9.6 Years ;;
; B-5711 ;Boeing 737-84P(WL); Y186 ; 7 Jul 2017 ;; 9.2 Years ;;
; B-1340 ;Boeing 747-4HAERF; Cargo ; 11 Aug 2017 ;lsd ; 14.7 Years ;;
; B-2432 ;Boeing 747-481(BDSF); Cargo ; 7 Jul 2017 ;lsd ; 24.1 Years ;;
; B-2437 ;Boeing 747-481(BDSF); Cargo ; 7 Jul 2017 ;; 30.6 Years ;;
; B-208C ;Boeing 787-9 Dreamliner; C30Y262 ; 19 Feb 2019 ; Parked, lsd ; 3 Years ;;
; B-20AF ;Boeing 787-9 Dreamliner; C30Y262 ; 22 Jul 2019 ; Parked, lsd ; 2.6 Years ;;
