;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; EC-ISX ;ATR 42-300(F); Cargo ; 21 Nov 2003 ;; 30.8 Years ;;
; EC-IVP ;ATR 42-300(F); Cargo ; 25 Mar 2004 ;; 31.1 Years ;;
; EC-JAD ;ATR 42-300;; 16 Jun 2004 ;; 29.5 Years ;;
; EC-JBN ;ATR 42-300(QC); Cargo ; 13 Aug 2004 ;; 31.3 Years ;;
; EC-JBX ;ATR 42-300(F); Cargo ; 23 Sep 2004 ;; 30.7 Years ;;
; EC-KAI ;ATR 42-300(F); Cargo ; 8 Jan 2007 ;lsf FedEx Express, opf FedEx Feeder ; 32.8 Years ;;
; EC-INV ;ATR 72-212(F); Cargo ; May 2003 ;; 30.2 Years ;;
; EC-IYH ;ATR 72-202(F); Cargo ; 14 May 2004 ;lsd ; 29.4 Years ;;
; EC-KAD ;ATR 72-202;; 24 Oct 2014 ;; 31.8 Years ;;
; EC-KIZ ;ATR 72-202(QC);; 23 Jul 2007 ;; 31.3 Years ;;
; EC-KJA ;ATR 72-202(F); Cargo ; 23 Jul 2007 ;; 31.2 Years ;;
; EC-KKQ ;ATR 72-500 (72-212A); Y68 ; 24 Oct 2007 ;opf United Nations ; 14.4 Years ;;
; EC-KUL ;ATR 72-500 (72-212A); Y68 ; 8 Jan 2020 ;opf United Nations ; 13.6 Years ;;
; EC-KVI ;ATR 72-500 (72-212A); Y68 ; 28 May 2019 ;; 13.4 Years ;;
; EC-LHV ;ATR 72-202; Y68 ; 23 Sep 2015 ;; 27.5 Years ;;
; EC-LSN ;ATR 72-202;; 2 Aug 2014 ;; 31.4 Years ;;
; EC-LST ;ATR 72-201;; 1 Mar 2021 ;opf Uep! Fly ; 30.8 Years ;;
; EC-LYB ;ATR 72-500 (72-212A); Y68 ; 28 Apr 2021 ;; 23.9 Years ;;
; EC-LYJ ;ATR 72-500 (72-212A); Y68 ; 17 Mar 2020 ;lsd ; 26.1 Years ;;
; EC-MAF ;ATR 72-500(F) (72-212A); Cargo ; 12 Dec 2015 ;lsd ; 23 Years ;;
; EC-MEC ;ATR 72-500 (72-212A);; 19 Mar 2020 ;lsd ; 22.4 Years ;;
; EC-MIY ;ATR 72-500 (72-212A);; 9 Sep 2017 ;; 24.6 Years ;;
; EC-MKE ;ATR 72-500 (72-212A);; 18 Jan 2016 ;; 24.6 Years ;;
; EC-KLR ;Boeing 737-3Q8(SF); Cargo ; 18 Jan 2008 ;; 34.9 Years ;;
; EC-MAD ;Boeing 737-4Y0(SF); Cargo ; 17 Feb 2014 ;; 29.9 Years ;;
; EC-MCI ;Boeing 737-4Q8(SF); Cargo ; 9 Jun 2014 ;; 28.2 Years ;;
; EC-MEY ;Boeing 737-476(SF); Cargo ; 18 Feb 2015 ;opf DHL ; 30.3 Years ;;
; EC-MFE ;Boeing 737-476(SF); Cargo ; 2 Mar 2015 ;opf DHL ; 28.4 Years ;;
; EC-MIE ;Boeing 737-4Y0(SF); Cargo ; 31 Aug 2015 ;lsd ; 29.5 Years ;;
; EC-MNM ;Boeing 737-4Y0(SF); Cargo ; 2 Sep 2016 ;lsd ; 29.5 Years ;;
; EC-NLS ;Boeing 737-436(SF); Cargo ; 12 Oct 2020 ;lsd ; 29.1 Years ;;
; EC-NLU ;Boeing 737-4Q8(SF); Cargo ; 28 Sep 2020 ;opf DHL ; 29.8 Years ;;
; EC-NMJ ;Boeing 737-4K5(SF); Cargo ; 30 Nov 2020 ;; 32.9 Years ;;
; EC-NMK ;Boeing 737-406(SF); Cargo ; 29 Oct 2020 ;lsd, opf DHL ; 31.3 Years ;;
; EC-NML ;Boeing 737-436(SF); Cargo ; 27 Oct 2020 ;lsd ; 28.4 Years ;;
; EC-IXO ;Boeing 737-883(BDSF)(WL); Cargo ; 10 Dec 2021 ;lsf DHL, opf DHL ; 21.6 Years ;;
; EC-NUG ;Boeing 737-883; Cargo ; Due ; Stored ; 21 Years ;;
; EC-NIU ;Boeing 757-223(PCF)(WL); Cargo ; 27 Aug 2020 ;; 30.1 Years ;;
; EC-NIV ;Boeing 757-223(PCF)(WL); Cargo ; 21 Apr 2020 ;; 30.3 Years ;;
; EC-NQJ ;Boeing 757-23APF;; 12 Jun 2021 ;; 31.5 Years ;;
; EC-GQA ; Embraer EMB-120FC Brasilia ; Cargo ; Jun 2007 ;; 35.7 Years ;;
; EC-HTS ; Embraer EMB-120FC Brasilia ; Cargo ; 31 May 2001 ;; 32.7 Years ;;
; EC-IMX ; Embraer EMB-120FC Brasilia ; Cargo ; 27 Mar 2003 ;; 32.7 Years ;;
; EC-JBD ; Embraer EMB-120FC Brasilia ; Cargo ; 22 Dec 2004 ;; 36 Years ;;
; EC-JBE ; Embraer EMB-120FC Brasilia ; Cargo ; 22 Dec 2004 ;; 35.7 Years ;;
; EC-JKH ; Embraer EMB-120FC Brasilia ; Cargo ; 25 Nov 2005 ;; 33.7 Years ;;
