;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; HB-IPA ;Airbus A310-221;; 25 Mar 1983 ; Oct 1995 ;N446FE FedEx Express ;Aargau, lsd ;;
; HB-IPB ;Airbus A310-221;; 31 May 1983 ; 8 Jul 1995 ;N447FE FedEx Express ;Neuchâtel , lsd ;;
; HB-IPC ;Airbus A310-221;; 28 Jun 1983 ; 26 Mar 1995 ;F-GOCJ Air Liberté ;Schwyz, lsd ;;
; HB-IPD ;Airbus A310-221;; 14 Oct 1983 ; 31 May 1996 ;N448FE FedEx Express ;Solothurn, lsd ;;
; HB-IPE ;Airbus A310-221;; 21 Mar 1984 ; 21 Jun 1995 ;F-GPDJ Air Liberté ;Basel-Land, lsd ;;
; HB-IPF ;Airbus A310-322; F16C54Y105 ; 16 Dec 1985 ; 17 Mar 1999 ;D-ASRA Boeing Capital Corporation (BCC) ;Glarus ;;
; HB-IPG ;Airbus A310-322; F16C54Y105 ; 20 Dec 1985 ; 29 Sep 1999 ;F-WIHT Airbus Financial Services (AFS) ;Zug ;;
; HB-IPH ;Airbus A310-322; F16C54Y105 ; 15 Jan 1986 ; 31 Mar 1999 ;A4O-OA Oman Air ;Appenzell i Rh ;;
; HB-IPI ;Airbus A310-322; F16C54Y105 ; 31 Jan 1986 ; 9 Apr 1999 ;A4O-OB Oman Air ;Luzern ;;
; HB-IPK ;Airbus A310-322; C49Y159 ; Feb 1993 ; 8 May 1999 ;D-ASRB Boeing Capital Corporation (BCC) ;Liestal ;;
; HB-IPN ;Airbus A310-325; C42Y151 ; 25 Jan 1996 ; 10 Oct 1999 ;F-WIHP Airbus Financial Services (AFS) ;;;
; HB-IPR ;Airbus A319-112; CY126 ; 12 May 1999 ; 31 Mar 2002 ;HB-IPR Swiss ;Commune de Champagne, lsd ;;
; HB-IPS ;Airbus A319-112; CY126 ; 22 Oct 1997 ; 31 Mar 2002 ;HB-IPS Swiss ;Weiach, lsd ;;
; HB-IPT ;Airbus A319-112; CY126 ; 26 Sep 1997 ; 31 Mar 2002 ;HB-IPT Swiss ;Städel ;;
; HB-IPU ;Airbus A319-112; CY126 ; 30 Aug 1997 ; 31 Mar 2002 ;HB-IPU Swiss ;Hochfelden ;;
; HB-IPV ;Airbus A319-112; CY126 ; 25 Apr 1996 ; 31 Mar 2002 ;HB-IPV Swiss ;Rümlang , lsd ;;
; HB-IPW ;Airbus A319-112;; 23 May 1996 ; 31 Mar 2002 ;HB-IPW Swiss ;Bachenbülach , lsd ;;
; HB-IPX ;Airbus A319-112; CY126 ; 23 Aug 1996 ; 31 Mar 2002 ;HB-IPX Swiss ;Steinmaur ;;
; HB-IPY ;Airbus A319-112; CY126 ; 18 Oct 1996 ; 31 Mar 2002 ;HB-IPY Swiss ;Höri ;;
; HB-IPZ ;Airbus A319-112;; 15 Nov 1996 ; 14 Jul 2003 ;SU-LBF Lotus Air ;Oberglatt ;;
; OO-SSJ ;Airbus A319-112; CY138 ; 1 Sep 2000 ; 28 Oct 2000 ;OO-SSJ Sabena ;lsf Sabena ;;
; HB-IJA ;Airbus A320-214;; 31 May 1995 ; 27 Sep 2002 ;B-2224 China Northwest Airlines ;Opfikon , lsd ;;
; HB-IJB ;Airbus A320-214; CY150 ; 29 Aug 1995 ; 23 Jul 2004 ;TC-JLA Turkish Airlines ;Embrach ;;
; HB-IJC ;Airbus A320-214; CY150 ; 15 Sep 1995 ; 8 Oct 2002 ;B-2214 China Northwest Airlines ;Winkel ;;
; HB-IJD ;Airbus A320-214; CY150 ; 23 Oct 1995 ; 14 Nov 2003 ;EI-CZV Aer Lingus ;Regensdorf ;;
; HB-IJE ;Airbus A320-214; CY150 ; 24 Nov 1995 ; 14 Nov 2003 ;EI-CZW Aer Lingus ;Dübendorf ;;
; HB-IJF ;Airbus A320-214; CY150 ; 15 Dec 1995 ; 31 Mar 2002 ;HB-IJF Swiss ;Bellevue ;;
; HB-IJG ;Airbus A320-214; CY150 ; 19 Jan 1996 ; 30 Jul 2004 ;TC-JLC Turkish Airlines ;Illnau-Effretikon , lsd ;;
; HB-IJH ;Airbus A320-214; CY150 ; 29 Feb 1996 ; 20 Aug 2004 ;TC-JLD Turkish Airlines ;Wangen-Brüttisellen ;;
