;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; YK-AKA ;Airbus A320-232; C7Y144 ; 22 Oct 1998 ; Parked DAM ; Ugarit ; 23.5 Years ;;
; YK-AKB ;Airbus A320-232; C7Y144 ; 12 Apr 1999 ; Parked DAM ; Ebla ; 23.3 Years ;;
; YK-AKC ;Airbus A320-232; C7Y144 ; 16 Jul 1999 ; Parked DAM ; Afamia ; 22.8 Years ;;
; YK-AKD ;Airbus A320-232; C7Y144 ; 23 Sep 1999 ;; Mari ; 22.5 Years ;;
; YK-AKE ;Airbus A320-232; C7Y144 ; 15 Oct 1999 ; Parked DAM ; Bosra ; 22.5 Years ;;
; YK-AKF ;Airbus A320-232; C7Y144 ; 15 Dec 1999 ; Parked DAM ; Amrit ; 22.4 Years ;;
; YK-AZA ;Airbus A340-312;; Feb 2017 ; Parked ;; 21.2 Years ;;
; YK-AZB ;Airbus A340-313;; 16 Mar 2020 ;;; 22.6 Years ;;
; YK-AVA ;ATR 72-500 (72-212A); Y66 ; 13 Apr 2010 ; Parked DAM ;; 13.3 Years ;;
; YK-AVB ;ATR 72-500 (72-212A); Y66 ; 16 Apr 2010 ; Parked DAM ;; 13.2 Years ;;
