;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PT-LEP ;British Aerospace 146-100;; 8 Dec 1983 ; Jun 1985 ;N802RW Royal West Airlines ;lsd ;;
; PT-LEQ ;British Aerospace 146-100;; 23 Dec 1983 ; Jun 1985 ;N803RW Royal West Airlines ;lsd ;;
; PT-OKA ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 28 Mar 1991 ; 5 Jul 1996 ;C-FYPL Time Air ;lsd ;;
; PT-OKB ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 12 Apr 1991 ; 23 Jul 1996 ;C-FYUP Time Air ;lsd ;;
; PT-OKC ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 29 Jun 1991 ; 10 Sep 1996 ;C-FZBL Time Air ;lsd ;;
; PT-OKD ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 1 Feb 1992 ; 30 Oct 1993 ;EI-CIU Guinness Peat Aviation (GPA) ;lsd ;;
; PT-OKE ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 24 Dec 1992 ; 15 Feb 1995 ;VT-ETP Archana Airways ;lsd ;;
; PT-OKF ;De Havilland Canada DHC-8-311(SCD) Dash 8; Y50/Cargo ; 26 Apr 1993 ; 25 Apr 1995 ;VT-ETQ Archana Airways ;lsd ;;
; PT-MCN ;Fokker F100;; 6 Jul 1993 ; 22 Dec 1995 ;PH-RRN Aircraft Finance & Trading ;;;
; PT-MCO ;Fokker F100;; 3 Dec 1993 ; 22 Dec 1995 ;PH-MXW Fokker ;;;
; PP-SDH ;Handley Page HPR-7 Herald 214; Y50 ; 4 Apr 1976 ; Jun 1976 ;PP-SDH Transbrasil ;lsf Transbrasil ;;
; PP-SDL ;Handley Page HPR-7 Herald 214; Y50 ; Feb 1976 ; May 1976 ;PP-SDL Transbrasil ;lsf Transbrasil ;;
