;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N480TA ;Airbus A319-132; C12Y108 ; 14 Mar 2007 ; 28 May 2013 ;N480TA Avianca Costa Rica ;;;
; N520TA ;Airbus A319-132; C12Y108 ; 10 Sep 2007 ; 28 May 2013 ;N520TA Avianca Costa Rica ;;;
; N493TA ;Airbus A320-233; C12Y138 ; 23 Oct 2006 ; 28 May 2013 ;N493TA Avianca Costa Rica ;;;
; N495TA ;Airbus A320-233; C12Y138 ; 17 Apr 2007 ; 28 May 2013 ;N495TA Avianca Costa Rica ;;;
; N496TA ;Airbus A320-233; C12Y138 ; 27 Apr 2007 ; 28 May 2013 ;N496TA Avianca Costa Rica ;;;
; N680TA ;Airbus A320-233; C12Y138 ; 2 Jul 2008 ; 28 May 2013 ;N680TA Avianca Costa Rica ;lsd ;;
; N683TA ;Airbus A320-233; C12Y138 ; 30 Nov 2011 ; 28 May 2013 ;N683TA Avianca Costa Rica ;lsd ;;
; N684TA ;Airbus A320-233; C12Y138 ; 20 Dec 2011 ; 28 May 2013 ;N684TA Avianca Costa Rica ;lsd ;;
; N689TA ;Airbus A320-214; C12Y138 ; 2 Nov 2012 ; 28 May 2013 ;N689TA Avianca Costa Rica ;Star Alliance cs ;;
; N570TA ;Airbus A321-231; C12Y182 ; 29 Apr 2009 ; 28 May 2013 ;N570TA Avianca Costa Rica ;;;
