;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; XA-SYG ;Airbus A300B4-203;; Jul 1995 ; 25 Aug 1996 ;N862PA Pan American Airways ;;;
; XA-TBO ;Airbus A300B4-203;; 12 Dec 1997 ; 13 Mar 1998 ;N823SC EAL ;;;
; XA-RME ;ATR 42-320;; Jul 1992 ; Oct 1995 ;XA-RME Aviacion Del Noroeste ;;;
; XA-RQY ;ATR 42-320;; Jul 1992 ; 6 Oct 1999 ;N168WA Aircraft R US Corp ;;;
; XA-PBA ;Boeing 737-2H6(A);; 18 Nov 1998 ;; Scrapped ;lsf Airlease Ltd ;;
; XA-SIW ;Boeing 737-2T4(A);; 29 Jun 1993 ; Aug 2000 ;XA-SIW AVIACSA ;;;
; XA-SIX ;Boeing 737-2T4(A);; 29 Jun 1993 ; Aug 2000 ;XA-SIX AVIACSA ;lsd ;;
; XA-SLC ;Boeing 737-2T4(A);; 6 Nov 1993 ; 26 Dec 1995 ;N467AT AirTran Airways ;lsd ;;
; XA-TLJ ;Boeing 737-2H6(A);; 4 Aug 1998 ; 24 Nov 1999 ; Scrapped ;;;
; N492GD ;Boeing 737-3Q8;; 22 Jan 1999 ; 2 Aug 2000 ;UR-VVA AeroSvit Airlines ;lsd ;;
; N934PG ;Boeing 737-382;; 2 Jun 1999 ; 6 Aug 2000 ;CP-2391 Lloyd Aéreo Boliviano - LAB ;lsd ;;
; XA-AMH ;Boeing 737-3Q8;; 15 Jun 1999 ; 3 Apr 2000 ;N737FA International Aircraft Investors (IAI) ;lsd ;;
; XA-RJP ;Boeing 737-3Y0;; 15 Dec 1991 ; 15 May 1992 ;EI-CFQ TEA Switzerland ;lsd ;;
; XA-RJR ;Boeing 737-3Y0;; 12 Feb 1992 ; 27 Jul 1995 ;EI-CLZ Guinness Peat Aviation (GPA) ;lsd ;;
; XA-SAB ;Boeing 737-3Y0;; 26 Mar 1992 ; 23 Jun 1995 ;EI-CLW Sobelair ;lsd ;;
; XA-SEM ;Boeing 737-3Y0;; 5 Dec 1993 ; 2 Feb 1996 ;OO-LTV EuroBelgian Airlines (EBA) ;lsd ;;
; XA-SEO ;Boeing 737-3Y0;; 10 Dec 1993 ; 28 Feb 1996 ;OO-LTY EuroBelgian Airlines (EBA) ;lsd ;;
; XA-SGJ ;Boeing 737-33A;; 1 Feb 1994 ; 31 Mar 1996 ;VH-CZS Ansett Australia ;lsd ;;
; XA-SIY ;Boeing 737-3Y0;; 10 Nov 1993 ; 4 Jun 1994 ;EC-667 Air Europa ;lsd ;;
; XA-SIZ ;Boeing 737-3Y0;; 10 Nov 1993 ; 18 Oct 1994 ;SE-DLO Nordic East Airways ;lsd ;;
; XA-SLY ;Boeing 737-33A;; Jul 1997 ; 7 Apr 2000 ;N98NG WTC - Wilmington Trust Company ;;;
; XA-SNC ;Boeing 737-3M8;; 15 Jul 1997 ; 11 Apr 2000 ;N77NG WTC - Wilmington Trust Company ;;;
; XA-STM ;Boeing 737-3K2;; 5 Nov 1998 ; 20 Mar 1999 ;PH-HVF Transavia ;lsf Transavia ;;
; XA-STN ;Boeing 737-3K2;; Dec 1996 ; 14 Apr 1997 ;PH-HVG Transavia ;lsf Transavia ;;
; XA-SVQ ;Boeing 737-3K2;; 8 Dec 1994 ; 31 Mar 1995 ;PH-HVK Transavia ;lsf Transavia ;;
; XA-SWO ;Boeing 737-33A;; 26 Aug 1998 ; 10 Feb 2000 ;N284AN Ansett Worldwide (AWAS) ;lsd ;;
; XA-TQI ;Boeing 737-33A;; 27 Oct 1999 ; 11 Feb 2000 ;N496AN Ansett Worldwide (AWAS) ;lsd ;;
; XA-TQJ ;Boeing 737-33A;; 27 Oct 1999 ; 11 Feb 2000 ;N497AN Ansett Worldwide (AWAS) ;lsd ;;
; XA-SCA ;Boeing 737-4Y0;; 16 Jun 1992 ; 2 Apr 1993 ;OO-SBN Sobelair ;lsd ;;
; XA-TKM ;Boeing 737-4Q8;; 9 May 1998 ; 12 Jan 1999 ;N242GD Ansett Worldwide (AWAS) ;;;
; XA-RJS ;Boeing 737-5Y0;; 18 Feb 1992 ; Mar 1995 ;XA-RJS Guinness Peat Aviation (GPA) ;lsd ;;
; XA-RKP ;Boeing 737-5Y0;; 11 Mar 1992 ; 3 Jun 1995 ;PT-SLU Rio Sul ;lsd ;;
; XA-RKQ ;Boeing 737-5Y0;; 13 Mar 1992 ; 28 Mar 1995 ;PT-SLV Rio Sul ;lsd ;;
; XA-SAC ;Boeing 737-5Y0;; 14 Apr 1992 ; 1 May 1996 ;PT-SSA Rio Sul ;lsd ;;
; XA-SAS ;Boeing 737-5Y0;; Feb 1994 ; 20 May 1996 ;N191G Guinness Peat Aviation (GPA) ;lsd ;;
; XA-KWK ;Boeing 757-2Y0;; 10 Aug 1993 ; 4 May 1995 ;SX-BBY Venus Airlines ;lsd ;;
; XA-MMX ;Boeing 757-236;; 4 Dec 1991 ; 24 Nov 1995 ;N100FS GECAS ;Don Catarino, lsd ;;
; XA-RLM ;Boeing 757-23A;; Jun 1999 ; 14 Feb 2000 ;N566AN Ansett Worldwide (AWAS) ;lsd ;;
; XA-SPG ;Boeing 757-2J4;; 6 Jul 1994 ; 31 Mar 1995 ;N115FS Vulcan Northwest Inc ;lsf Lonella Ltd ;;
; XA-TAE ;Boeing 757-2Y0;; 19 Oct 1991 ; 16 Feb 1995 ;N400KL FSBU First Security Bank of Utah ;lsd ;;
; XA-TCD ;Boeing 757-225;; 16 Jul 1993 ; 29 Apr 1994 ;N907AW America West Airlines ;lsd ;;
; XA-TMU ;Boeing 757-2K2;; 30 Nov 1998 ; 27 Mar 1999 ;PH-TKD Transavia ;lsf Transavia ;;
; XA-SKY ;Boeing 767-3Y0ER;; 2 Jun 1992 ; 1 May 1995 ;EI-CLR Air Europe SpA ;lsd ;;
; XA-SYE ;McDonnell Douglas DC-10-30;; Jul 1996 ; 9 Apr 1997 ;OY-CNO Premiair ;;;
; XA-TDC ;McDonnell Douglas DC-10-30CF;; 3 Aug 1999 ; 29 Jan 2000 ;N105AM CIT Leasing Corporation ;lsd ;;
; XA-TFM ;McDonnell Douglas DC-10-30;; 20 Dec 1996 ; 2 Mar 1997 ;N39081 Continental Air Lines ;;;
; XA-SXS ;McDonnell Douglas DC-9-14;; 3 May 1995 ; 24 Nov 1999 ; Preserved ;lsf Inter (Intercontinental de Aviación) ;;
; XA-SXT ;McDonnell Douglas DC-9-15; Y83 ; 5 May 1995 ; 24 Nov 1999 ; Scrapped ;lsf Inter (Intercontinental de Aviación) ;;
; XA-SXV ;McDonnell Douglas DC-9-14;; 26 Apr 1995 ; 24 Nov 1999 ; Stored ;;;
; XA-SYF ;McDonnell Douglas DC-9-15; Y83 ; 15 Jun 1995 ; 24 Nov 1999 ; Scrapped ;lsf Inter (Intercontinental de Aviación) ;;
