;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; OB-1713 ;Boeing 737-244;; Mar 2000 ; 6 Sep 2005 ;FAP350 Peruvian Air Force ;;;
; OB-1718 ;Boeing 737-248;; Mar 2000 ; Dec 2006 ;FAP353 Peruvian Air Force ;;;
; OB-1719 ;Boeing 737-248;; 1 Dec 1998 ; Dec 2006 ;FAP354 Peruvian Air Force ;;;
; OB-1724 ;Boeing 737-282(A);; 19 Mar 2000 ; 2008 ;FAP352 Peruvian Air Force ;;;
; OB-1743 ;Boeing 737-2N7(A);; 20 Apr 2000 ; 20 Mar 2002 ;N119SW BBC Aircraft LLC ;;;
; OB-1781-P ;Boeing 737-241(A);; 4 Oct 2004 ;; Scrapped ;;;
; OB-1806-P ;Boeing 737-244(A);; 14 Jun 2005 ; 1 Jun 2006 ;ZS-SIB Safair ;lsf Safair ;;
; OB-1808 ;Boeing 737-244(A);; Jun 2005 ; 19 Jan 2007 ;ZS-SIC Safair ;;;
; OB-1809-P ;Boeing 737-244(A);; 17 Jun 2005 ; 23 Aug 2005 ; Written Off ;;;
; ZS-STO ;Boeing 737-217;; 26 Mar 2005 ;; Scrapped ;;;
