;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; YR-ASA ;Airbus A318-111; C14Y99 ; 15 Nov 2006 ;; Aurel Vlaicu ; 15.3 Years ;;
; YR-ASB ;Airbus A318-111; C14Y99 ; 4 Dec 2006 ;; Traian Vuia ; 15.3 Years ;;
; YR-ASC ;Airbus A318-111; C14Y99 ; 5 Nov 2007 ;; Henri Coandă ; 14.3 Years ;;
; YR-ASD ;Airbus A318-111; C14Y99 ; 5 Dec 2007 ;; Smaranda Brăescu ; 14.3 Years ;;
; YR-ATC ;ATR 42-500; Y48 ; 12 Mar 1999 ; Parked, SkyTeam cs ; Criș ; 23.6 Years ;;
; YR-ATD ;ATR 42-500; Y48 ; 12 Mar 1999 ; Parked ; Mureș ; 23.4 Years ;;
; YR-ATF ;ATR 42-500; Y48 ; 12 Mar 1999 ; Parked ; Argeș ; 23 Years ;;
; YR-ATG ;ATR 42-500; Y48 ; 24 Feb 2000 ; Parked ; Dâmbovița ; 22.2 Years ;;
; YR-ATH ;ATR 72-500 (72-212A); Y68 ; 7 May 2009 ;; Someș ; 12.9 Years ;;
; YR-ATI ;ATR 72-500 (72-212A); Y68 ; 5 Jun 2009 ; Parked ; Ialomița ; 12.8 Years ;;
; YR-ATJ ;ATR 72-600 (72-212A); Y72 ; 18 Feb 2020 ;lsd ; G.V. Bibescu ; 2.2 Years ;;
; YR-ATK ;ATR 72-600 (72-212A); Y72 ; 24 Feb 2020 ;lsd ; C. Bâzu Cantacuzino ; 2.2 Years ;;
; YR-ATL ;ATR 72-600 (72-212A); Y72 ; 3 Mar 2020 ;lsd ; Alexandru Șerbănescu ; 2.2 Years ;;
; YR-ATM ;ATR 72-600 (72-212A); Y72 ; 11 Mar 2020 ;lsd ; Vasile Craiu ; 2 Years ;;
; YR-ATN ;ATR 72-600 (72-212A); Y72 ; On Order ;lsd ;; 1.8 Years ;;
; YR-ATO ;ATR 72-600 (72-212A); Y72 ; On Order ;lsd ;; 1.3 Years ;;
; YR-ATP ;ATR 72-600 (72-212A); Y72 ; On Order ;lsd ;; 2.8 Years ;;
; YR-ATQ ;ATR 72-600 (72-212A); Y72 ; On Order ;lsd ;; 2.1 Years ;;
; YR-BGA ;Boeing 737-38J; C8Y126 ; 18 Oct 1993 ; Parked ; Alba Iulia ; 28.5 Years ;;
; YR-BGB ;Boeing 737-38J; C8Y126 ; 18 Oct 1993 ; Parked ; București ; 28.5 Years ;;
; YR-BGD ;Boeing 737-38J; C8Y126 ; 7 Nov 1994 ; Parked ; Deva ; 27.4 Years ;;
; YR-BGE ;Boeing 737-38J; C8Y126 ; 18 Nov 1994 ; Parked ; Timișoara ; 27.3 Years ;;
; YR-BGF ;Boeing 737-78J(WL); C14Y102 ; 27 Mar 2001 ;SkyTeam cs ; Brăila ; 21 Years ;;
; YR-BGG ;Boeing 737-78J(WL); C14Y102 ; 25 Apr 2001 ;Happy 66 years cs ; Craiova ; 20.9 Years ;;
; YR-BGH ;Boeing 737-78J(WL); C14Y102 ; 5 Nov 2003 ;; Hunedoara ; 18.4 Years ;;
; YR-BGI ;Boeing 737-78J(WL); C14Y102 ; 10 Dec 2003 ; Parked ; Iași ; 18.3 Years ;;
; YR-BGJ ;Boeing 737-82R(WL); Y189 ; 15 May 2017 ;lsd ; Sarmizegetusa ; 4.8 Years ;;
; YR-BGK ;Boeing 737-82R(WL); Y189 ; 25 May 2017 ;lsd ; Marea Unire ; 4.8 Years ;;
; YR-BGL ;Boeing 737-8H6(WL); C16Y144 ; 6 Jun 2018 ;lsd ; Alexandru Ioan Cuza ; 8.9 Years ;;
; YR-BGM ;Boeing 737-8H6(WL); C16Y144 ; 6 Jun 2018 ;lsd ; Mihai Viteazul ; 8.3 Years ;;
