;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; PH-TFN ;Boeing 737-8 MAX; Y189 ; 18 Dec 2018 ;; Boa Vista ; 3.2 Years ;;
; PH-TFO ;Boeing 737-8 MAX; Y189 ; 23 Jan 2019 ;; Antalya ; 3.1 Years ;;
; PH-TFP ;Boeing 737-8 MAX; Y189 ; 26 Feb 2019 ;; Lanzarote ; 3 Years ;;
; PH-TFR ;Boeing 737-8 MAX; Y189 ; 29 Dec 2021 ;; Santorini ; 0.2 Years ;;
; PH-TFT ;Boeing 737-8 MAX; Y189 ; 16 Jun 2021 ;lsd ; Ivalo ; 1 Years ;;
; PH-TFU ;Boeing 737-8 MAX; Y189 ; 21 Jun 2021 ;lsd ; Hurghada ; 0.7 Years ;;
; PH-OYI ;Boeing 767-304ER(WL); Y298 ; 1 Oct 2015 ;lsd ;; 22.1 Years ;;
; PH-TFK ;Boeing 787-8 Dreamliner; W25Y280 ; 1 Oct 2015 ;lsd ;; 7.8 Years ;;
; PH-TFL ;Boeing 787-8 Dreamliner; W25Y280 ; 1 Oct 2015 ;lsd ;; 7.3 Years ;;
; PH-TFM ;Boeing 787-8 Dreamliner; W25Y280 ; 1 Oct 2015 ;lsd ;; 7 Years ;;
