;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N330QT ;Airbus A330-243F; Cargo ; 19 Dec 2012 ; 28 May 2013 ;N330QT Avianca Cargo ;;;
; N331QT ;Airbus A330-243F; Cargo ; 22 Mar 2013 ; 28 May 2013 ;N331QT Avianca Cargo ;;;
; N767QT ;Boeing 767-241ER(BDSF); Cargo ; 10 Sep 2004 ; 28 May 2013 ;N767QT Avianca Cargo ;lsd ;;
; N768QT ;Boeing 767-241ER(BDSF); Cargo ; 21 Nov 2004 ; 28 May 2013 ;N768QT Avianca Cargo ;lsd ;;
; N769QT ;Boeing 767-241ER(BDSF); Cargo ; 9 Jan 2005 ; 28 May 2013 ;N769QT Avianca Cargo ;lsd ;;
; N770QT ;Boeing 767-241ER(BDSF); Cargo ; 16 Feb 2005 ; 28 May 2013 ;N770QT Avianca Cargo ;lsd ;;
; N771QT ;Boeing 767-381F; Cargo ; 1 Aug 2011 ; 28 May 2013 ;N771QT Avianca Cargo ;lsd ;;
; N55FB ;Douglas DC-8-55CF Jet Trader; Cargo ; 1 Jan 1992 ; 15 Apr 1992 ;N55FB Fine Air Services ;lsd ;;
; HK-3490X ;Douglas DC-8-63(F); Cargo ; 15 May 1989 ; 17 Jan 1991 ;N814AX Airborne Express ;lsd ;;
; HK-3785X ;Douglas DC-8-71(F); Cargo ; 23 Oct 1992 ; 24 Oct 2004 ;N460DN Airplanes Finance ;lsd ;;
; HK-3786X ;Douglas DC-8-71(F); Cargo ; 21 Nov 1992 ; 28 Jun 2004 ;N849AL Airplanes Finance ;lsd ;;
; HK-4176 ;Douglas DC-8-71(F); Cargo ; 14 Jan 1999 ; Apr 2006 ;N945GE Airplanes Finance ;lsd ;;
; HK-4277 ;Douglas DC-8-71(F); Cargo ; 12 Feb 2003 ; 4 Feb 2007 ; Written Off ;lsd ;;
; HK-4294X ;Douglas DC-8-71(F); Cargo ; 12 Jun 2003 ; 29 Apr 2005 ;N872SJ Murray Air ;lsd ;;
