;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BVYA ;Airbus A320-231;; 26 Oct 2004 ; 7 Mar 2005 ;VT-EYJ Indian Airlines ;;;
; G-BVYB ;Airbus A320-231; Y180 ; 7 Oct 2004 ; 7 Dec 2004 ;XA-UCZ Mexicana ;;;
; G-BVYC ;Airbus A320-231;; 18 Oct 2004 ; 14 Mar 2005 ;VT-EYK Indian Airlines ;lsd ;;
; G-BXKA ;Airbus A320-214; Y180 ; 12 Apr 2005 ; 14 Jan 2008 ;VP-BFY Vladivostok Air ;lsd ;;
; G-BXKC ;Airbus A320-214;; 26 Apr 2007 ; 16 Jan 2008 ;VP-BFX Vladivostok Air ;lsd ;;
; G-BXKD ;Airbus A320-214; Y180 ; 27 Mar 2003 ; 7 Feb 2008 ;VP-BFZ Ural Airlines ;lsd ;;
; G-BYTH ;Airbus A320-231; Y180 ; 21 Nov 2007 ; 15 Feb 2010 ;VH-FNP Skywest Airlines ;;;
; G-CRPH ;Airbus A320-231; Y180 ; 21 Nov 2007 ; 24 Nov 2012 ;F-WTDF Unknown ;;;
; G-CVYD ;Airbus A320-231;; 27 Mar 2003 ; 10 Jul 2003 ;I-LINF Wind Jet ;lsd ;;
; G-CVYE ;Airbus A320-231;; 27 Mar 2003 ; 23 May 2003 ;OO-TCE Thomas Cook Airlines Belgium ;lsf JMC Air ;;
; G-CVYG ;Airbus A320-231; Y180 ; 21 Nov 2003 ; 23 Apr 2004 ;AP-BGV AirBlue ;lsd ;;
; G-DHJZ ;Airbus A320-214; Y180 ; 30 Mar 2010 ; 30 Oct 2013 ;VP-CXG flynas ;lsd ;;
; G-DHRG ;Airbus A320-214; Y180 ; 26 Mar 2009 ; 31 Oct 2013 ;VP-CXF flynas ;lsd ;;
; G-FTDF ;Airbus A320-231;; 21 Nov 2007 ; 4 Jan 2011 ; Scrapped ;lsd ;;
; G-GTDL ;Airbus A320-231;; 3 Apr 2008 ; 28 Nov 2010 ;N476PB Pembroke ;;;
; G-KKAZ ;Airbus A320-214; Y180 ; 1 Apr 2010 ; 30 Sep 2013 ;D-ABNE Air Berlin ;lsd ;;
; G-OMYA ;Airbus A320-214; Y180 ; 21 Nov 2007 ; 14 May 2012 ;D-AHHD Hamburg Airways ;lsd ;;
; G-SUEW ;Airbus A320-214; Y180 ; 30 Mar 2010 ; 17 Nov 2013 ;D-ABNF Air Berlin ;lsd ;;
; G-TCAC ;Airbus A320-232; Y180 ; 11 Jun 2010 ; 31 Mar 2011 ;SP-HAB Small Planet Airlines Poland ;lsd ;;
; G-TCAD ;Airbus A320-214; Y180 ; 23 Jun 2009 ; 14 May 2014 ;OO-TCQ Thomas Cook Airlines Belgium ;lsd ;;
; G-TCAE ;Airbus A320-214; Y180 ; 27 Oct 2017 ; 20 Mar 2018 ;EC-MTJ Thomas Cook Airlines Balearics ;lsd ;;
