;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-1030 ;Airbus A320-214; Y174 ; 14 Sep 2017 ;; 9.6 Years ;;
; B-1031 ;Airbus A320-214; Y174 ; 21 Oct 2017 ;quan yang quan cs ; 9.4 Years ;;
; B-1052 ;Airbus A320-232(WL); Y186 ; 22 Dec 2017 ;lsd ; 4.4 Years ;;
; B-1618 ;Airbus A320-232(WL); Y180 ; 17 Sep 2014 ; Parked, lsd ; 8.3 Years ;;
; B-1619 ;Airbus A320-232(WL); Y180 ; 5 Nov 2014 ;lsd ; 8.3 Years ;;
; B-1620 ;Airbus A320-232(WL); Y180 ; 10 Dec 2014 ;lsd ; 8.3 Years ;;
; B-1658 ;Airbus A320-232(WL); Y174 ; 13 Feb 2015 ; Parked, lsd ; 7.1 Years ;;
; B-1659 ;Airbus A320-214(WL); Y174 ; 12 Feb 2015 ;lsd ; 7.1 Years ;;
; B-1692 ;Airbus A320-214(WL); Y174 ; 13 Jul 2015 ;lsd ; 6.7 Years ;;
; B-1849 ;Airbus A320-232(WL); Y180 ; 28 May 2014 ; Parked TSN, lsd ; 8.2 Years ;;
; B-1850 ;Airbus A320-232(WL); Y180 ; 16 Jan 2014 ;lsd ; 8.2 Years ;;
; B-1851 ;Airbus A320-232(WL); Y180 ; 19 Feb 2014 ; Parked, lsd ; 8.1 Years ;;
; B-300S ;Airbus A320-232(WL); Y186 ; 30 Apr 2018 ;lsd ; 4.3 Years ;;
; B-300T ;Airbus A320-232(WL); Y186 ; 30 Apr 2018 ;lsd ; 4.3 Years ;;
; B-6789 ;Airbus A320-232; Y174 ; 26 Oct 2011 ;lsd, Yujiapu cs ; 10.4 Years ;;
; B-6837 ;Airbus A320-232; Y180 ; 13 Dec 2011 ;lsd, Xiyuan cs ; 10.2 Years ;;
; B-6865 ;Airbus A320-214; C8Y150 ; 29 Feb 2012 ;lsd, 9th University Game of PRC cs ; 10.1 Years ;;
; B-6903 ;Airbus A320-214; C8Y150 ; 14 May 2012 ;lsd ; 9.9 Years ;;
; B-8062 ;Airbus A320-232(WL); Y174 ; 13 Nov 2015 ;lsd ; 6.3 Years ;;
; B-8066 ;Airbus A320-232(WL); Y174 ; 26 Nov 2015 ;lsd ; 6.3 Years ;;
; B-8069 ;Airbus A320-232(WL); Y174 ; 21 Dec 2015 ;lsd ; 6.2 Years ;;
; B-8075 ;Airbus A320-232(WL); Y174 ; 30 Dec 2015 ;lsd ; 6.2 Years ;;
; B-8505 ;Airbus A320-214(WL); Y174 ; 21 Apr 2016 ;lsd ; 5.9 Years ;;
; B-9948 ;Airbus A320-232; Y180 ; 22 Jul 2013 ;lsd ; 16.7 Years ;;
; B-9963 ;Airbus A320-214; Y174 ; 21 Jun 2013 ;lsd, 5th East Asian Games cs ; 11.1 Years ;;
; B-9983 ;Airbus A320-214(WL); Y180 ; 22 Oct 2013 ; Parked, Tianjin Tour cs ; 8.4 Years ;;
; B-9987 ;Airbus A320-214(WL); Y180 ; 5 Dec 2013 ;; 8.3 Years ;;
; B-9989 ;Airbus A320-232; Y180 ; 13 Jan 2014 ; Parked TSN, lsd ; 17.3 Years ;;
; B-302A ;Airbus A320-271N; Y186 ; 16 Nov 2018 ;lsd ; 4.1 Years ;;
; B-302C ;Airbus A320-271N; Y186 ; 21 Dec 2018 ;lsd ; 4.1 Years ;;
; B-320W ;Airbus A320-271N;; 18 Dec 2020 ;lsd ; 1.4 Years ;;
; B-320X ;Airbus A320-271N; Y186 ; 18 Dec 2020 ;lsd ; 1.3 Years ;;
; B-8381 ;Airbus A320-271N; Y174 ; 28 Sep 2017 ; Parked, lsd ; 4.9 Years ;;
; B-8382 ;Airbus A320-271N; Y174 ; 15 Dec 2017 ; Parked TSN, lsd ; 4.3 Years ;;
; B-8597 ;Airbus A320-271N; Y174 ; 15 Dec 2017 ; Parked, lsd ; 4.2 Years ;;
; B-8952 ;Airbus A320-271N; Y174 ; 7 Sep 2017 ;lsd ; 5.1 Years ;;
; B-8953 ;Airbus A320-271N; Y174 ; 22 Dec 2017 ; Parked TSN, lsd ; 4.9 Years ;;
; B-302X ;Airbus A321-231(WL); Y220 ; 28 Jul 2018 ;lsd, 100th Aircraft cs ; 5.4 Years ;;
; B-8389 ;Airbus A321-231(WL); Y220 ; 27 Jul 2017 ;lsd, National Games of China - Tianjin 2017 cs ; 4.6 Years ;;
; B-8596 ;Airbus A330-243; C18Y242 ; 19 Sep 2017 ; Parked TSN, lsd ; 4.7 Years ;;
; B-8659 ;Airbus A330-243; C18Y242 ; 16 Dec 2016 ;lsd ; 5.2 Years ;;
; B-8776 ;Airbus A330-243; C18Y242 ; 13 Dec 2016 ;lsd ; 5.3 Years ;;
; B-8959 ;Airbus A330-243; C18Y242 ; 10 Mar 2017 ; Parked, lsd ; 5.1 Years ;;
; B-1045 ;Airbus A330-343; C24Y279 ; 13 Jul 2018 ;; 4.2 Years ;;
; B-302D ;Airbus A330-343; C24Y279 ; 6 Aug 2018 ;; 4.1 Years ;;
; B-3120 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 8 Jun 2009 ; Parked XIY ; 13.9 Years ;;
; B-3121 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 8 Jun 2009 ; Parked TSN ; 13.8 Years ;;
; B-3123 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 8 Jun 2009 ; Parked TSN ; 13.7 Years ;;
; B-3127 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y98 ; 8 Jun 2009 ; Parked XIY ; 13.5 Years ;;
; B-3128 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 8 Jun 2009 ;; 13.3 Years ;;
