;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VH-FJR ;Airbus A320-232; Y180 ; 21 Apr 2011 ; 2 Jun 2011 ;9V-TJR Tiger Airways ;lsf Falcon Aircraft Limited ;;
; VH-VNB ;Airbus A320-232; Y180 ; 5 Oct 2007 ; 3 Jul 2013 ;VH-VNB Tigerair Australia ;lsd ;;
; VH-VNC ;Airbus A320-232; Y180 ; 17 Oct 2007 ; 3 Jul 2013 ;VH-VNC Tigerair Australia ;lsd ;;
; VH-VND ;Airbus A320-232; Y180 ; 7 Nov 2007 ; 3 Jul 2013 ;VH-VND Tigerair Australia ;lsd ;;
; VH-VNF ;Airbus A320-232; Y180 ; 6 Dec 2007 ; 3 Jul 2013 ;VH-VNF Tigerair Australia ;lsd ;;
; VH-VNG ;Airbus A320-232; Y180 ; 24 Feb 2009 ; 3 Jul 2013 ;VH-VNG Tigerair Australia ;lsd ;;
; VH-VNH ;Airbus A320-232; Y180 ; 9 Jan 2009 ; 3 Jul 2013 ;VH-VNH Tigerair Australia ;lsd ;;
; VH-VNJ ;Airbus A320-232; Y180 ; 3 Sep 2009 ; 3 Jul 2013 ;VH-VNJ Tigerair Australia ;lsd ;;
; VH-VNK ;Airbus A320-232; Y180 ; 15 Jan 2010 ; 3 Jul 2013 ;VH-VNK Tigerair Australia ;lsd ;;
; VH-VNO ;Airbus A320-232; Y180 ; 4 Mar 2010 ; 3 Jul 2013 ;VH-VNO Tigerair Australia ;lsd ;;
; VH-VNP ;Airbus A320-232; Y180 ; 15 Nov 2010 ; 3 Jul 2013 ;VH-VNP Tigerair Australia ;lsd ;;
; VH-VNQ ;Airbus A320-232; Y180 ; 10 Aug 2012 ; 3 Jul 2013 ;VH-VNQ Tigerair Australia ;lsd ;;
