;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-FDND ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 1 Nov 1990 ; 1 Apr 1993 ;C-FDND Canadian Regional Airlines ;lsf Air Atlantic ;;
; C-GAAC ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 21 Nov 1990 ; 21 Nov 1991 ;C-GAAC Air Atlantic ;lsf Air Atlantic ;;
; C-GTAE ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 30 Apr 1987 ; 23 Oct 1992 ;C-GTAE Henson, The Piedmont Regional Airline ;181 ;;
; C-GTAF ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 10 Jul 1987 ; 1 May 1992 ;C-GTAF Henson, The Piedmont Regional Airline ;183 ;;
; C-GTAI ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 4 Jun 1987 ; 1 May 1992 ;C-GTAI Henson, The Piedmont Regional Airline ;182 ;;
; C-GTBP ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 31 Oct 1991 ; 1 Apr 1993 ;C-GTBP Canadian Regional Airlines ;lsf Time Air ;;
; C-GWRR ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 2 Apr 1987 ; May 1992 ;C-GWRR Henson, The Piedmont Regional Airline ;180 ;;
; C-FJFM ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 11 Dec 1990 ; 1 Apr 1993 ;C-FJFM Canadian Regional Airlines ;191, lsf Aviation Investors Group Inc ;;
; C-FJXZ ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 22 Mar 1991 ; 1 Apr 1993 ;C-FJXZ Canadian Regional Airlines ;193, lsf Aviation Investors Group Inc ;;
; C-FTAK ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 20 Dec 1990 ; 1 Apr 1993 ;C-FTAK Canadian Regional Airlines ;190 ;;
; C-FTUX ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 21 Dec 1994 ; 4 Mar 1995 ;OE-LRW Rheintalflug ;;;
; C-FTUY ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 21 Dec 1994 ; 14 Mar 1995 ;LN-WFA Wideroe ;lsd ;;
; C-FYPL ;De Havilland Canada DHC-8-311 Dash 8;; 5 Jul 1996 ; 11 Jul 1996 ;YR-GPX Dac Air ;lsf Bombardier Aircraft Trading ;;
; C-FYUP ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 23 Jul 1996 ; 29 Aug 1996 ;YR-GPW Dac Air ;lsf Bombardier Aircraft Trading ;;
; C-FZBL ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 10 Sep 1996 ; 24 Sep 1996 ;PH-SDT Schreiner Airways ;;;
; C-GETA ;De Havilland Canada DHC-8-301 Dash 8;; 15 Dec 1989 ; 1 Apr 1993 ;C-GETA Canadian Regional Airlines ;188 ;;
; C-GEWQ ;De Havilland Canada DHC-8-311 Dash 8;; 15 Mar 1991 ; 1 Apr 1993 ;C-GEWQ Canadian Regional Airlines ;192 ;;
; C-GHTA ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; 14 Mar 1990 ; 1 Apr 1993 ;C-GHTA Canadian Regional Airlines ;179 ;;
; C-GKTA ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; 27 Feb 1989 ; 1 Apr 1993 ;C-GKTA Canadian Regional Airlines ;184 ;;
; C-GLTA ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; 7 Jul 1989 ; 1 Apr 1993 ;C-GLTA Canadian Regional Airlines ;185 ;;
; C-GMTA ;De Havilland Canada DHC-8-301 Dash 8;; 20 Oct 1989 ; 1 Apr 1993 ;C-GMTA Canadian Regional Airlines ;186 ;;
; C-GSTA ;De Havilland Canada DHC-8-301 Dash 8;; 25 Nov 1989 ; 1 Apr 1993 ;C-GSTA Canadian Regional Airlines ;187 ;;
; C-GTAG ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; 27 Mar 1990 ; 1 Apr 1993 ;C-GTAG Canadian Regional Airlines ;178 ;;
; C-GTAQ ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; 3 Jan 1991 ; 1 Apr 1993 ;C-GTAQ Canadian Regional Airlines ;176 ;;
; C-GTAT ;De Havilland Canada DHC-8-301 Dash 8;; 28 Dec 1990 ; 1 Apr 1993 ;C-GTAT Canadian Regional Airlines ;177 ;;
; C-GVTA ;De Havilland Canada DHC-8-301 Dash 8; Y50 ; Dec 1989 ; 31 Mar 1993 ;C-GVTA Canadian Regional Airlines ;189 ;;
