;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N501TR ;Airbus A300B4-203(F); Cargo ; 7 Sep 2000 ; Oct 2009 ;N501TR Transcarga International Airways ;;;
; N502TA ;Airbus A300B4-203(F); Cargo ; 17 Aug 2000 ; 30 Aug 2007 ;TC-ACD ACT Airlines ;lsf S-C Aviation ;;
; N504TA ;Airbus A300B4-203(F); Cargo ; Oct 2006 ;; Scrapped ;;;
; N505TA ;Airbus A300B4-203(F); Cargo ; 21 Nov 2006 ;; Scrapped ;;;
; N506TA ;Airbus A300B4-203(F); Cargo ; 7 Feb 2005 ;; Scrapped ;;;
; N510TA ;Airbus A300B4-203(F); Cargo ; 3 Dec 2002 ;; Scrapped ;;;
; N511TA ;Airbus A300B4-203(F); Cargo ; 3 Oct 2002 ; 7 Feb 2004 ;TC-ABL Baron Air ;;;
; N512TA ;Airbus A300B4-203(F); Cargo ; 3 Mar 2005 ; 27 Mar 2006 ;TC-ACU ACT Airlines ;;;
; N820SC ;Airbus A300B4-203(F); Cargo ; 9 Nov 1999 ; 20 Mar 2007 ;TC-ACE ACT Airlines ;;;
; N821SC ;Airbus A300B4-203(F); Cargo ; 21 Nov 2006 ; 4 Sep 2011 ;N821SC Sky Lease Cargo ;;;
; N508MC ;Boeing 747-230B(SF); Cargo ; 10 Oct 2006 ; 1 Jul 2008 ;N508MC Atlas Air ;;;
; N524UP ;Boeing 747-237B(SF); Cargo ; 23 Oct 2004 ; 8 Aug 2007 ; Scrapped ;;;
; N526UP ;Boeing 747-212B(SF); Cargo ; 4 Dec 2005 ; 28 Aug 2008 ;N526UP Kalitta Air ;;;
; N531TA ;Boeing 747-230B(SF); Cargo ; 21 Sep 2007 ; 5 Sep 2008 ;TF-ARH Air Atlanta Icelandic ;;;
; N922FT ;Boeing 747-2U3B(SF); Cargo ; 16 Sep 2004 ; 7 Jun 2006 ; Written Off ;lsf Triton Aviation Services ;;
; N923FT ;Boeing 747-2U3B(SF); Cargo ; 11 Nov 2004 ; 26 Sep 2008 ;Z3-CAA Star Airlines (Macedonia) ;lsd ;;
; N311EA ;Lockheed L-1011-385-1 TriStar 1(F); Cargo ; 26 Feb 1991 ; 23 Feb 2004 ;HS-SEB Sky Eyes ;Kate, 311, lsd ;;
; N6410B ;Lockheed L-1011-385-1 TriStar 1; Y362 ; 19 Jul 2000 ; Nov 2000 ; Scrapped ;;;
