;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; CF-TJA ;Douglas DC-8-43;; 25 Sep 1960 ; 1 Jun 1964 ;CF-TJA Air Canada ;801 ;;
; CF-TJB ;Douglas DC-8-43;; 25 May 1960 ; 1 Jun 1964 ;CF-TJB Air Canada ;802 ;;
; CF-TJC ;Douglas DC-8-43;; 27 Mar 1960 ; 1 Jun 1964 ;CF-TJC Air Canada ;803 ;;
; CF-TJD ;Douglas DC-8-43;; 7 Feb 1960 ; 1 Jun 1964 ;CF-TJD Air Canada ;804 ;;
; CF-TJE ;Douglas DC-8-43;; 17 Oct 1960 ; 1 Jun 1964 ;CF-TJE Air Canada ;805 ;;
; CF-TJF ;Douglas DC-8-43;; 14 Dec 1960 ; 1 Jun 1964 ;CF-TJF Air Canada ;806 ;;
; CF-TJG ;Douglas DC-8-43;; 22 Dec 1960 ; 1 Jun 1964 ;CF-TJG Air Canada ;807 ;;
; CF-TJH ;Douglas DC-8-43;; 12 Jan 1961 ; 1 Jun 1964 ;CF-TJH Air Canada ;808 ;;
; CF-TJI ;Douglas DC-8-43;; 2 Feb 1961 ; 1 Jun 1964 ;CF-TJI Air Canada ;809 ;;
; CF-TJJ ;Douglas DC-8-43;; 22 Mar 1961 ; 1 Jun 1964 ;CF-TJJ Air Canada ;810 ;;
; CF-TJK ;Douglas DC-8-43;; 16 Dec 1961 ; 1 Jun 1964 ;CF-TJK Air Canada ;811 ;;
; CF-TJL ;Douglas DC-8-54CF Jet Trader;; 24 Apr 1963 ; 1 Jun 1964 ;CF-TJL Air Canada ;812 ;;
; CF-TJM ;Douglas DC-8-54CF Jet Trader;; 30 Jan 1963 ; 1 Jun 1964 ;CF-TJM Air Canada ;813 ;;
; CF-TJN ;Douglas DC-8-54CF Jet Trader;; 8 Feb 1963 ; 29 Nov 1963 ; Written Off ;814 ;;
; CF-TJO ;Douglas DC-8-54CF Jet Trader;; 27 Feb 1963 ; 1 Jun 1964 ;CF-TJO Air Canada ;815 ;;
; CF-TJP ;Douglas DC-8-54CF Jet Trader;; 25 Mar 1964 ; 1 Jun 1964 ;CF-TJP Air Canada ;816 ;;
; CF-TKA ;Vickers Vanguard 952; F38Y70 ; 6 Nov 1961 ; 1 Jun 1964 ;CF-TKA Air Canada ;901 ;;
; CF-TKB ;Vickers Vanguard 952; F38Y70 ; 15 Apr 1961 ; 1 Jun 1964 ;CF-TKB Air Canada ;902 ;;
; CF-TKC ;Vickers Vanguard 952; F38Y70 ; 14 Dec 1960 ; 1 Jun 1964 ;CF-TKC Air Canada ;903 ;;
; CF-TKD ;Vickers Vanguard 952; F38Y70 ; 7 Dec 1960 ; 1 Jun 1964 ;CF-TKD Air Canada ;904 ;;
; CF-TKE ;Vickers Vanguard 952; F38Y70 ; 1 Feb 1961 ; 1 Jun 1964 ;CF-TKE Air Canada ;905 ;;
; CF-TKF ;Vickers Vanguard 952; F38Y70 ; 7 Jan 1961 ; 1 Jun 1964 ;CF-TKF Air Canada ;906 ;;
; CF-TKG ;Vickers Vanguard 952; F38Y70 ; 19 Jan 1961 ; 1 Jun 1964 ;CF-TKG Air Canada ;907 ;;
; CF-TKH ;Vickers Vanguard 952; F38Y70 ; 18 Feb 1961 ; 1 Jun 1964 ;CF-TKH Air Canada ;908 ;;
; CF-TKI ;Vickers Vanguard 952; F38Y70 ; 11 Mar 1961 ; 1 Jun 1964 ;CF-TKI Air Canada ;909 ;;
; CF-TKJ ;Vickers Vanguard 952; F38Y70 ; 5 May 1961 ; 1 Jun 1964 ;CF-TKJ Air Canada ;910 ;;
; CF-TKK ;Vickers Vanguard 952; F38Y70 ; 24 May 1961 ; 1 Jun 1964 ;CF-TKK Air Canada ;911 ;;
; CF-TKL ;Vickers Vanguard 952; F38Y70 ; 24 May 1961 ; 1 Jun 1964 ;CF-TKL Air Canada ;912 ;;
; CF-TKM ;Vickers Vanguard 952; F38Y70 ; 27 Apr 1961 ; 1 Jun 1964 ;CF-TKM Air Canada ;913 ;;
; CF-TKN ;Vickers Vanguard 952; F38Y70 ; 1 May 1961 ; 1 May 1964 ;CF-TKN Air Canada ;914 ;;
; CF-TKO ;Vickers Vanguard 952; F38Y70 ; 26 Jun 1961 ; 1 Jun 1964 ;CF-TKO Air Canada ;915 ;;
; CF-TKP ;Vickers Vanguard 952; F38Y70 ; 16 Jun 1961 ; 1 Jun 1964 ;CF-TKP Air Canada ;916 ;;
; CF-TKQ ;Vickers Vanguard 952; F38Y70 ; 12 Aug 1961 ; 1 Jun 1964 ;CF-TKQ Air Canada ;917 ;;
; CF-TKR ;Vickers Vanguard 952; F38Y70 ; 19 Aug 1961 ; 1 Jun 1964 ;CF-TKR Air Canada ;918 ;;
; CF-TKS ;Vickers Vanguard 952; F38Y70 ; 28 Oct 1961 ; 1 Jun 1964 ;CF-TKS Air Canada ;919 ;;
; CF-TKT ;Vickers Vanguard 952; F38Y70 ; 7 Oct 1961 ; 1 May 1964 ;CF-TKT Air Canada ;920 ;;
; CF-TKU ;Vickers Vanguard 952; F38Y70 ; 7 Nov 1962 ; 1 Jun 1964 ;CF-TKU Air Canada ;921 ;;
; CF-TKV ;Vickers Vanguard 952; F38Y70 ; 7 Jul 1962 ; 1 Jun 1964 ;CF-TKV Air Canada ;922 ;;
; CF-TKW ;Vickers Vanguard 952; F38Y70 ; 3 Apr 1964 ; 1 Jun 1964 ;CF-TKW Air Canada ;923 ;;
