;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; FAB-111 ;Boeing 727-224(A); C10Y144 ; 12 May 2011 ; 2014 ; Stored ;;;
; FAB-112 ;Boeing 737-2Q3(A);; 30 Jun 2012 ;; Stored ;;;
; FAB-113 ;Boeing 737-2Q3(A);; 28 Sep 2012 ;; Stored ;;;
; FAB-114 ;Boeing 737-230(A);; 17 Dec 2012 ; 2014 ; Stored ;;;
; FAB-116 ;Boeing 737-230(A);; May 2013 ;; Stored ;;;
; FAB-117 ;Boeing 737-230(A);; 4 May 2014 ;; Stored ;;;
; FAB-118 ;Boeing 737-230(A);; 20 Jul 2014 ; 2015 ; Stored ;;;
; FAB-115 ;Boeing 737-322;; 9 Aug 2013 ;; Stored ;;;
; FAB-100 ;British Aerospace 146-200A; Y88 ; 14 Feb 2007 ; 2014 ; Stored ;;;
; FAB-101 ;British Aerospace 146-200A; Y88 ; 8 Jun 2007 ; 2014 ; Stored ;;;
; FAB-102 ;British Aerospace 146-200A; Y88 ; 8 Jan 2009 ; 2013 ; Stored ;;;
; FAB-103 ;British Aerospace 146-200A; Y88 ; 20 Jan 2009 ; 2013 ; Preserved ;;;
; FAB-104 ;British Aerospace 146-200; CY87 ; 11 Sep 2009 ; Oct 2009 ; Derelict ;;;
; FAB-105 ;British Aerospace 146-200A; Y88 ; 28 Nov 2012 ; Sep 2016 ; Stored ;;;
; FAB-106 ;British Aerospace 146-200A; Y88 ; 1 Nov 2013 ; 2017 ; Stored ;;;
; TAM-01 ;Lockheed L-188A Electra;; May 1975 ; 1995 ; Preserved ;;;
